".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"df"	"p"	"p.adj"	"p.adj.signif"
"1"	"AICc"	"20.44"	"27.82"	10	10	50.8871682512523	9	2.19e-12	6.13e-11	"****"
"2"	"AICc"	"20.44"	"37.71"	10	10	56.3127694623234	9	8.84e-13	2.48e-11	"****"
"3"	"AICc"	"20.44"	"41.2"	10	10	45.9524299899585	9	5.48e-12	1.53e-10	"****"
"4"	"AICc"	"20.44"	"47.8"	10	10	41.4366257633863	9	1.38e-11	3.86e-10	"****"
"5"	"AICc"	"20.44"	"HPP"	10	10	-98.7225301796562	9	5.69e-15	1.59e-13	"****"
"6"	"AICc"	"20.44"	"NHPP"	10	10	-70.9977310175185	9	1.1e-13	3.08e-12	"****"
"7"	"AICc"	"20.44"	"TPP"	10	10	55.8039885742857	9	9.59e-13	2.69e-11	"****"
"8"	"AICc"	"27.82"	"37.71"	10	10	-9.56572245928593	9	5.17e-06	0.000145	"***"
"9"	"AICc"	"27.82"	"41.2"	10	10	-33.28549349688	9	9.82e-11	2.75e-09	"****"
"10"	"AICc"	"27.82"	"47.8"	10	10	-40.5853509054101	9	1.67e-11	4.68e-10	"****"
"11"	"AICc"	"27.82"	"HPP"	10	10	-117.079439834987	9	1.23e-15	3.44e-14	"****"
"12"	"AICc"	"27.82"	"NHPP"	10	10	-107.975279302574	9	2.54e-15	7.11e-14	"****"
"13"	"AICc"	"27.82"	"TPP"	10	10	8.32990835100641	9	1.6e-05	0.000448	"***"
"14"	"AICc"	"37.71"	"41.2"	10	10	-52.76640644155	9	1.58e-12	4.42e-11	"****"
"15"	"AICc"	"37.71"	"47.8"	10	10	-35.7546371963479	9	5.18e-11	1.45e-09	"****"
"16"	"AICc"	"37.71"	"HPP"	10	10	-129.868793670761	9	4.83e-16	1.35e-14	"****"
"17"	"AICc"	"37.71"	"NHPP"	10	10	-120.027137640009	9	9.82e-16	2.75e-14	"****"
"18"	"AICc"	"37.71"	"TPP"	10	10	14.1463014449941	9	1.87e-07	5.24e-06	"****"
"19"	"AICc"	"41.2"	"47.8"	10	10	3.90869342808158	9	0.004	0.1	"ns"
"20"	"AICc"	"41.2"	"HPP"	10	10	-119.111264022623	9	1.05e-15	2.94e-14	"****"
"21"	"AICc"	"41.2"	"NHPP"	10	10	-110.574193238304	9	2.05e-15	5.74e-14	"****"
"22"	"AICc"	"41.2"	"TPP"	10	10	37.1175073383536	9	3.71e-11	1.04e-09	"****"
"23"	"AICc"	"47.8"	"HPP"	10	10	-107.713920902	9	2.6e-15	7.28e-14	"****"
"24"	"AICc"	"47.8"	"NHPP"	10	10	-101.994495571106	9	4.25e-15	1.19e-13	"****"
"25"	"AICc"	"47.8"	"TPP"	10	10	40.7304991974246	9	1.61e-11	4.51e-10	"****"
"26"	"AICc"	"HPP"	"NHPP"	10	10	13.4312598236827	9	2.93e-07	8.2e-06	"****"
"27"	"AICc"	"HPP"	"TPP"	10	10	115.961653993185	9	1.34e-15	3.75e-14	"****"
"28"	"AICc"	"NHPP"	"TPP"	10	10	105.933592633569	9	3.02e-15	8.46e-14	"****"
