".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"df"	"p"	"p.adj"	"p.adj.signif"
"1"	"AICc"	"19.04"	"21.0"	10	10	50.7966064319984	9	2.23e-12	1.74e-10	"****"
"2"	"AICc"	"19.04"	"29.4"	10	10	75.0097277737717	9	6.73e-14	5.25e-12	"****"
"3"	"AICc"	"19.04"	"30.77"	10	10	79.7437517508903	9	3.88e-14	3.03e-12	"****"
"4"	"AICc"	"19.04"	"38.2"	10	10	78.6532558990504	9	4.39e-14	3.42e-12	"****"
"5"	"AICc"	"19.04"	"41.7"	10	10	44.9188640255762	9	6.72e-12	5.24e-10	"****"
"6"	"AICc"	"19.04"	"46.0"	10	10	73.095722749714	9	8.49e-14	6.62e-12	"****"
"7"	"AICc"	"19.04"	"49.0"	10	10	45.1085520780036	9	6.47e-12	5.05e-10	"****"
"8"	"AICc"	"19.04"	"51.0"	10	10	44.4936658553107	9	7.31e-12	5.7e-10	"****"
"9"	"AICc"	"19.04"	"54.0"	10	10	68.1490270386223	9	1.59e-13	1.24e-11	"****"
"10"	"AICc"	"19.04"	"HPP"	10	10	-103.292739164732	9	3.79e-15	2.96e-13	"****"
"11"	"AICc"	"19.04"	"NHPP"	10	10	-98.025112179522	9	6.07e-15	4.73e-13	"****"
"12"	"AICc"	"19.04"	"TPP"	10	10	74.5298664088698	9	7.13e-14	5.56e-12	"****"
"13"	"AICc"	"21.0"	"29.4"	10	10	10.9495040281699	9	1.67e-06	0.00013	"***"
"14"	"AICc"	"21.0"	"30.77"	10	10	16.3955226289379	9	5.2e-08	4.06e-06	"****"
"15"	"AICc"	"21.0"	"38.2"	10	10	5.88983842524859	9	0.000232	0.018	"*"
"16"	"AICc"	"21.0"	"41.7"	10	10	-10.3274856233274	9	2.73e-06	0.000213	"***"
"17"	"AICc"	"21.0"	"46.0"	10	10	1.0338129756203	9	0.328	1	"ns"
"18"	"AICc"	"21.0"	"49.0"	10	10	3.53725828377064	9	0.006	0.495	"ns"
"19"	"AICc"	"21.0"	"51.0"	10	10	-3.92565529879325	9	0.003	0.271	"ns"
"20"	"AICc"	"21.0"	"54.0"	10	10	15.0683772797257	9	1.08e-07	8.42e-06	"****"
"21"	"AICc"	"21.0"	"HPP"	10	10	-104.747261981829	9	3.34e-15	2.61e-13	"****"
"22"	"AICc"	"21.0"	"NHPP"	10	10	-95.8634101363778	9	7.42e-15	5.79e-13	"****"
"23"	"AICc"	"21.0"	"TPP"	10	10	28.1384516674515	9	4.4e-10	3.43e-08	"****"
"24"	"AICc"	"29.4"	"30.77"	10	10	9.19865615632169	9	7.14e-06	0.000557	"***"
"25"	"AICc"	"29.4"	"38.2"	10	10	-2.85054953072965	9	0.019	1	"ns"
"26"	"AICc"	"29.4"	"41.7"	10	10	-18.1122312627751	9	2.17e-08	1.69e-06	"****"
"27"	"AICc"	"29.4"	"46.0"	10	10	-7.13485643461044	9	5.46e-05	0.004	"**"
"28"	"AICc"	"29.4"	"49.0"	10	10	-5.08285670779224	9	0.00066	0.051	"ns"
"29"	"AICc"	"29.4"	"51.0"	10	10	-10.203794153873	9	3.02e-06	0.000236	"***"
"30"	"AICc"	"29.4"	"54.0"	10	10	2.68903700100576	9	0.025	1	"ns"
"31"	"AICc"	"29.4"	"HPP"	10	10	-110.628186385231	9	2.05e-15	1.6e-13	"****"
"32"	"AICc"	"29.4"	"NHPP"	10	10	-102.268367964222	9	4.15e-15	3.24e-13	"****"
"33"	"AICc"	"29.4"	"TPP"	10	10	9.82203577359105	9	4.15e-06	0.000324	"***"
"34"	"AICc"	"30.77"	"38.2"	10	10	-5.30296071990551	9	0.000492	0.038	"*"
"35"	"AICc"	"30.77"	"41.7"	10	10	-18.9565854783332	9	1.46e-08	1.14e-06	"****"
"36"	"AICc"	"30.77"	"46.0"	10	10	-9.57085103646474	9	5.15e-06	0.000402	"***"
"37"	"AICc"	"30.77"	"49.0"	10	10	-7.28401047866635	9	4.64e-05	0.004	"**"
"38"	"AICc"	"30.77"	"51.0"	10	10	-13.4469805560396	9	2.9e-07	2.26e-05	"****"
"39"	"AICc"	"30.77"	"54.0"	10	10	-0.320449275794311	9	0.756	1	"ns"
"40"	"AICc"	"30.77"	"HPP"	10	10	-109.746704991361	9	2.2e-15	1.72e-13	"****"
"41"	"AICc"	"30.77"	"NHPP"	10	10	-101.417674421201	9	4.47e-15	3.49e-13	"****"
"42"	"AICc"	"30.77"	"TPP"	10	10	6.42701963215931	9	0.000121	0.009	"**"
"43"	"AICc"	"38.2"	"41.7"	10	10	-19.8645665093035	9	9.64e-09	7.52e-07	"****"
"44"	"AICc"	"38.2"	"46.0"	10	10	-4.09598006476605	9	0.003	0.21	"ns"
"45"	"AICc"	"38.2"	"49.0"	10	10	-2.2919467648401	9	0.048	1	"ns"
