".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"df"	"p"	"p.adj"	"p.adj.signif"
"1"	"AICc"	"19.04"	"21.0"	8	8	8.94611196068353	7	4.44e-05	0.004	"**"
"2"	"AICc"	"19.04"	"29.4"	8	8	3.12643534137906	7	0.017	1	"ns"
"3"	"AICc"	"19.04"	"30.77"	8	8	14.748532672278	7	1.58e-06	0.000144	"***"
"4"	"AICc"	"19.04"	"33.6"	8	8	9.34479226699358	7	3.34e-05	0.003	"**"
"5"	"AICc"	"19.04"	"38.2"	8	8	12.9793701738156	7	3.75e-06	0.000341	"***"
"6"	"AICc"	"19.04"	"41.7"	8	8	-14.1853368102613	7	2.05e-06	0.000187	"***"
"7"	"AICc"	"19.04"	"46.0"	8	8	-0.514596460271898	7	0.623	1	"ns"
"8"	"AICc"	"19.04"	"49.0"	8	8	9.04802411332125	7	4.12e-05	0.004	"**"
"9"	"AICc"	"19.04"	"51.0"	8	8	2.32929920909505	7	0.053	1	"ns"
"10"	"AICc"	"19.04"	"54.0"	8	8	10.6840929018199	7	1.38e-05	0.001	"**"
"11"	"AICc"	"19.04"	"HPP"	8	8	-53.228627309268	7	2.16e-10	1.97e-08	"****"
"12"	"AICc"	"19.04"	"NHPP"	8	8	-54.4443070858251	7	1.85e-10	1.68e-08	"****"
"13"	"AICc"	"19.04"	"TPP"	8	8	13.6985852818761	7	2.6e-06	0.000237	"***"
"14"	"AICc"	"21.0"	"29.4"	8	8	-8.15977261936475	7	8.03e-05	0.007	"**"
"15"	"AICc"	"21.0"	"30.77"	8	8	4.35831626329314	7	0.003	0.302	"ns"
"16"	"AICc"	"21.0"	"33.6"	8	8	-1.77737220667286	7	0.119	1	"ns"
"17"	"AICc"	"21.0"	"38.2"	8	8	-1.21290597193149	7	0.265	1	"ns"
"18"	"AICc"	"21.0"	"41.7"	8	8	-16.6924972285006	7	6.77e-07	6.16e-05	"****"
"19"	"AICc"	"21.0"	"46.0"	8	8	-12.2863503644321	7	5.43e-06	0.000494	"***"
"20"	"AICc"	"21.0"	"49.0"	8	8	-0.684287984539606	7	0.516	1	"ns"
"21"	"AICc"	"21.0"	"51.0"	8	8	-6.15306835714972	7	0.000466	0.042	"*"
"22"	"AICc"	"21.0"	"54.0"	8	8	-1.77403555623687	7	0.119	1	"ns"
"23"	"AICc"	"21.0"	"HPP"	8	8	-50.2865651176529	7	3.22e-10	2.93e-08	"****"
"24"	"AICc"	"21.0"	"NHPP"	8	8	-49.5530148872546	7	3.57e-10	3.25e-08	"****"
"25"	"AICc"	"21.0"	"TPP"	8	8	6.89163072538122	7	0.000233	0.021	"*"
