collection_no	source_database	collection.authorizer	family_name	family_extant	genus_extant	species_extant	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	country	state	period	epoch	stage	ma_max	ma_min	formation
5241	Fossilworks	"J. Alroy"	Prorastomidae			no	"n. gen."	Pezosiren	"n. sp."	portelli		Sirenia		indet.	Jamaica		Paleogene	Eocene	Lutetian	48.600	40.400	Chapelton
5241	Fossilworks	"J. Alroy"	Hyrachyidae		no	no		Hyrachyus		modestus		Hyrachyus	aff.	sp.	Jamaica		Paleogene	Eocene	Lutetian	48.600	40.400	Chapelton
12970	Fossilworks	"J. Alroy"						Prothoatherium		colombianus					Colombia	Huila	Neogene	Miocene		11.608	5.332	Villavieja
12970	Fossilworks	"J. Alroy"	Mylodontidae		no	no		Pseudoprepotherium		confusum					Colombia	Huila	Neogene	Miocene		11.608	5.332	Villavieja
12971	Fossilworks	"J. Alroy"						Prothoatherium		colombianus					Colombia	"Huila Department"	Neogene	Miocene		23.030	5.332	Villavieja
12971	Fossilworks	"J. Alroy"	Dasyproctidae	yes	no	no		Neoreomys		huilensis					Colombia	"Huila Department"	Neogene	Miocene		23.030	5.332	Villavieja
12971	Fossilworks	"J. Alroy"	Dinomyidae	yes	no	no		Scleromys		colombianus					Colombia	"Huila Department"	Neogene	Miocene		23.030	5.332	Villavieja
12971	Fossilworks	"J. Alroy"	Hondadelphidae			no		Hondadelphys		fieldsi					Colombia	"Huila Department"	Neogene	Miocene		23.030	5.332	Villavieja
12971	Fossilworks	"J. Alroy"	Caviidae	yes	no	no		Rhodanodolichotis		antepridiana					Colombia	"Huila Department"	Neogene	Miocene		23.030	5.332	Villavieja
12971	Fossilworks	"J. Alroy"	Dinomyidae	yes	no	no		Drytomomys		aequatorialis		Olenopsis		aequatorialis	Colombia	"Huila Department"	Neogene	Miocene		23.030	5.332	Villavieja
12971	Fossilworks	"J. Alroy"	Caviidae	yes	no	no		Prodolichotis		pridiana					Colombia	"Huila Department"	Neogene	Miocene		23.030	5.332	Villavieja
12971	Fossilworks	"J. Alroy"	Caviidae	yes	no	no		Eodolichotis		maddeni					Colombia	"Huila Department"	Neogene	Miocene		23.030	5.332	Villavieja
12971	Fossilworks	"J. Alroy"	Dinomyidae	yes	no	no		Scleromys		schurmanni					Colombia	"Huila Department"	Neogene	Miocene		23.030	5.332	Villavieja
12971	Fossilworks	"J. Alroy"	Interatheriidae	no	no	no		Miocochilius		anomopodus					Colombia	"Huila Department"	Neogene	Miocene		23.030	5.332	Villavieja
