Age	Elevation
0	1237.89473684211
0.5	1223.15789473684
1	1208.42105263158
1.5	1197.89473684211
2	1187.36842105263
2.5	1175.26315789474
3	1163.15789473684
3.5	1150.78947368421
4	1138.42105263158
4.5	1124.21052631579
5	1110
5.5	1095.52631578947
6	1081.05263157895
6.5	1070
7	1058.94736842105
7.5	1045.52631578947
8	1032.10526315789
8.5	1015.52631578947
9	998.947368421053
9.5	984.473684210526
10	970
10.5	948.421052631579
11	926.842105263158
11.5	911.052631578947
12	895.263157894737
12.5	882.631578947368
13	870
13.5	858.421052631579
14	846.842105263158
14.5	836.052631578947
15	825.263157894737
15.5	821.315789473684
16	817.368421052632
16.5	813.157894736842
17	808.947368421053
17.5	804.210526315789
18	799.473684210526
18.5	792.631578947368
19	785.789473684211
19.5	778.947368421053
20	772.105263157895
20.5	764.210526315789
21	756.315789473684
21.5	750
22	743.684210526316
22.5	735
23	726.315789473684
23.5	720.526315789474
24	714.736842105263
24.5	707.368421052632
25	700
25.5	695.526315789474
26	691.052631578947
26.5	687.105263157895
27	683.157894736842
27.5	681.052631578947
28	678.947368421053
28.5	676.052631578947
29	673.157894736842
29.5	670
30	666.842105263158
30.5	663.947368421053
31	661.052631578947
31.5	656.578947368421
32	652.105263157895
32.5	646.052631578947
33	640
33.5	635.526315789474
34	631.052631578947
34.5	624.473684210526
35	617.894736842105
35.5	610
36	602.105263157895
36.5	593.947368421053
37	585.789473684211
37.5	578.157894736842
38	570.526315789474
38.5	562.105263157895
39	553.684210526316
39.5	545.263157894737
40	536.842105263158
40.5	539.254385964912
41	541.666666666667
41.5	528.888888888889
42	516.111111111111
42.5	501.111111111111
43	486.111111111111
43.5	474.722222222222
44	463.333333333333
44.5	449.722222222222
45	436.111111111111
45.5	431.111111111111
46	426.111111111111
46.5	420.833333333333
47	415.555555555556
47.5	411.111111111111
48	406.666666666667
48.5	400.277777777778
49	393.888888888889
49.5	390.277777777778
50	386.666666666667
50.5	382.5
51	378.333333333333
51.5	375.277777777778
52	372.222222222222
52.5	366.944444444444
53	361.666666666667
53.5	361.666666666667
54	361.666666666667
54.5	360.555555555556
55	359.444444444444
55.5	360
56	360.555555555556
56.5	360.833333333333
57	361.111111111111
57.5	363.055555555556
58	365
58.5	366.666666666667
59	368.333333333333
59.5	370.277777777778
60	372.222222222222
60.5	374.166666666667
61	376.111111111111
61.5	373.055555555556
62	370
62.5	366.111111111111
63	362.222222222222
63.5	357.222222222222
64	352.222222222222
64.5	348.888888888889
65	345.555555555556
65.5	343.055555555556
66	340.555555555556
66.5	339.444444444444
67	338.333333333333
67.5	335.833333333333
68	333.333333333333
68.5	331.944444444444
69	330.555555555556
69.5	330.277777777778
70	330
70.5	321.666666666667
71	313.333333333333
71.5	307.777777777778
72	302.222222222222
72.5	296.111111111111
73	290
73.5	281.666666666667
74	273.333333333333
74.5	265.555555555556
75	257.777777777778
75.5	250.555555555556
76	243.333333333333
76.5	242.222222222222
77	241.111111111111
77.5	241.111111111111
78	241.111111111111
78.5	240.277777777778
79	239.444444444444
79.5	239.444444444444
80	239.444444444444
