Age	Temperature
23	18.35
23.5	18.0273333333333
24	18.3766666666667
24.5	18.0033333333333
25	17.8166666666667
25.5	17.5233333333333
26	17.8646666666667
26.5	17.47
27	16.8646666666667
27.5	17.31
28	17.7046666666667
28.5	17.95
29	17.31
29.5	17.15
30	17.4166666666667
30.5	18.11
31	17.9233333333333
31.5	18.0033333333333
32	18.59
32.5	17.6566666666667
33	18.35
33.5	16.67
34	19.39
34.5	20.15
35	20.67
35.5	19.95
36	19.87
36.5	21.138
37	21.754
37.5	22.01
38	20.934
38.5	21.69
39	21.054
39.5	21.898
40	22.058
40.5	23.714
41	22.31
41.5	23.158
42	23.518
42.5	23.018
43	24.95
43.5	25.286
44	24.042
44.5	23.67
45	23.95
45.5	23.246
46	24.678
46.5	24.054
47	25.39
47.5	25.474
48	26.91
48.5	25.834
49	27.626
49.5	28.266
50	28.054
50.5	29.518
51	26.726
51.5	28.15
52	26.818
52.5	28.07
53	28.27
53.5	27.202
54	26.922
54.5	27.994
55	25.386
55.5	26.446
56	25.262
