Age	Elevation
0	1995.55555555556
0.5	1977.77777777778
1	1960
1.5	1942.77777777778
2	1925.55555555556
2.5	1910
3	1894.44444444444
3.5	1876.38888888889
4	1858.33333333333
4.5	1842.5
5	1826.66666666667
5.5	1810.55555555556
6	1794.44444444444
6.5	1759.16666666667
7	1723.88888888889
7.5	1684.16666666667
8	1644.44444444444
8.5	1606.94444444444
9	1569.44444444444
9.5	1537.22222222222
10	1505
10.5	1476.38888888889
11	1447.77777777778
11.5	1417.77777777778
12	1387.77777777778
12.5	1371.94444444444
13	1356.11111111111
13.5	1336.94444444444
14	1317.77777777778
14.5	1301.94444444444
15	1286.11111111111
15.5	1259.44444444444
16	1232.77777777778
16.5	1208.88888888889
17	1185
17.5	1162.22222222222
18	1139.44444444444
18.5	1117.5
19	1095.55555555556
19.5	1073.33333333333
20	1051.11111111111
20.5	1033.05555555556
21	1015
21.5	1005.55555555556
22	996.111111111111
22.5	986.666666666667
23	977.222222222222
23.5	974.166666666667
24	971.111111111111
24.5	966.388888888889
25	961.666666666667
25.5	960.833333333333
26	960
26.5	955.833333333333
27	951.666666666667
27.5	950.277777777778
28	948.888888888889
28.5	945.555555555556
29	942.222222222222
29.5	941.388888888889
30	940.555555555556
30.5	938.611111111111
31	936.666666666667
31.5	936.666666666667
32	936.666666666667
32.5	931.944444444444
33	927.222222222222
33.5	926.111111111111
34	925
34.5	918.611111111111
35	912.222222222222
35.5	903.888888888889
36	895.555555555556
36.5	892.5
37	889.444444444444
37.5	886.111111111111
38	882.777777777778
38.5	871.944444444444
39	861.111111111111
39.5	852.777777777778
40	844.444444444444
40.5	830.833333333333
41	817.222222222222
41.5	806.111111111111
42	795
42.5	785.277777777778
43	775.555555555556
43.5	765
44	754.444444444444
44.5	745.833333333333
45	737.222222222222
45.5	730.277777777778
46	723.333333333333
46.5	713.611111111111
47	703.888888888889
47.5	695.277777777778
48	686.666666666667
48.5	678.611111111111
49	670.555555555556
49.5	661.944444444444
50	653.333333333333
50.5	643.055555555556
51	632.777777777778
51.5	623.888888888889
52	615
52.5	605.833333333333
53	596.666666666667
53.5	586.666666666667
54	576.666666666667
54.5	567.222222222222
55	557.777777777778
55.5	548.888888888889
56	540
56.5	528.888888888889
57	517.777777777778
57.5	507.5
58	497.222222222222
58.5	485.833333333333
59	474.444444444444
59.5	462.777777777778
60	451.111111111111
60.5	438.333333333333
61	425.555555555556
61.5	407.5
62	389.444444444444
62.5	373.333333333333
63	357.222222222222
63.5	341.944444444444
64	326.666666666667
64.5	313.333333333333
65	300
65.5	294.722222222222
66	289.444444444444
66.5	291.111111111111
67	292.777777777778
67.5	294.166666666667
68	295.555555555556
68.5	300.277777777778
69	305
69.5	305.277777777778
70	305.555555555556
70.5	307.777777777778
71	310
71.5	308.888888888889
72	307.777777777778
72.5	307.222222222222
73	306.666666666667
73.5	303.333333333333
74	300
74.5	299.166666666667
75	298.333333333333
75.5	298.055555555556
76	297.777777777778
76.5	296.666666666667
77	295.555555555556
77.5	295
78	294.444444444444
78.5	291.666666666667
79	288.888888888889
79.5	286.388888888889
80	283.888888888889
