Age	Temperature
0	13.458
0.5	11.0702666666667
1	11.9678666666667
1.5	13.194
2	12.01
2.5	12.8716666666667
3	13.4583333333333
3.5	14.9433333333333
4	14.45
4.5	13.45
5	15.6833333333333
5.5	15.0966666666667
6	14.95
6.5	14.67
7	15.7366666666667
7.5	15.4433333333333
8	15.7633333333333
8.5	15.6566666666667
9	15.7366666666667
9.5	15.23
10	16.6166666666667
10.5	16.03
11	15.95
11.5	15.6833333333333
12	16.67
12.5	16.19
13	15.2566666666667
13.5	17.0166666666667
14	18.43
14.5	18.6433333333333
15	18.2166666666667
15.5	19.2833333333333
16	20.2353333333333
16.5	19.318
17	17.822
17.5	18.2513333333333
18	16.9366666666667
18.5	18.214
19	17.2086666666667
19.5	16.9633333333333
20	17.8166666666667
20.5	17.6566666666667
21	17.582
21.5	17.5073333333333
22	18.0833333333333
22.5	18.0006666666667
23	18.35
23.5	18.0273333333333
24	18.3766666666667
24.5	18.0033333333333
25	17.8166666666667
25.5	17.5233333333333
26	17.8646666666667
26.5	17.47
27	16.8646666666667
27.5	17.31
28	17.7046666666667
28.5	17.95
29	17.31
29.5	17.15
30	17.4166666666667
30.5	18.11
31	17.9233333333333
31.5	18.0033333333333
32	18.59
32.5	17.6566666666667
33	18.35
33.5	16.67
34	19.39
34.5	20.15
35	20.67
35.5	19.95
36	19.87
36.5	21.138
37	21.754
37.5	22.01
38	20.934
38.5	21.69
39	21.054
39.5	21.898
40	22.058
40.5	23.714
41	22.31
41.5	23.158
42	23.518
42.5	23.018
43	24.95
43.5	25.286
44	24.042
44.5	23.67
45	23.95
45.5	23.246
46	24.678
46.5	24.054
47	25.39
47.5	25.474
48	26.91
48.5	25.834
49	27.626
49.5	28.266
50	28.054
50.5	29.518
51	26.726
51.5	28.15
52	26.818
52.5	28.07
53	28.27
53.5	27.202
54	26.922
54.5	27.994
55	25.386
55.5	26.446
56	25.262
56.5	25.342
57	24.866
57.5	25.03
58	25.922
58.5	25.69
59	23.07
59.5	22.642
60	24.602
60.5	23.734
61	23.17
61.5	24.31
62	24.75
62.5	24.63
63	24.39
63.5	26.75
64	25.11
64.5	25.27
65	25.03
65.5	25.27
66	23.494
