Age	d13C_atmospheric
0	-0.8
0.5	-0.31
1	-0.4
1.5	-0.33
2	-0.18
2.5	-0.1
3	-0.51
3.5	-0.08
4	-0.44
4.5	0.08
5	-0.49
5.5	0.06
6	-0.57
6.5	-0.46
7	0.16
7.5	0.49
8	0.43
8.5	0.81
9	0.32
9.5	0.29
10	0.52
10.5	0.61
11	0.48
11.5	0.63
12	0.22
12.5	0.77
13	0.78
13.5	0.86
14	1.01
14.5	1.53
15	1.39
15.5	1.3
16	1.002
16.5	1.103
17	0.665
17.5	0.595
18	0.52
18.5	0.681
19	0.788
19.5	0.945
20	0.392
20.5	0.76
21	0.65
21.5	0.44
22	0.63
22.5	0.94
23	0.98
23.5	0.92
24	0.43
24.5	0.62
25	0.48
25.5	0.48
26	0.54
26.5	0.27
27	0.42
27.5	0.8
28	0.19
28.5	0.03
29	0.65
29.5	0.72
30	0.03
30.5	0.66
31	1.05
31.5	0.91
32	0.92
32.5	0.83
33	1
33.5	1.5
34	1.23
34.5	0.88
35	0.66
35.5	1.03
36	1.037
36.5	1.305
37	1.213
37.5	0.845
38	0.5661
38.5	0.4976
39	0.7759
39.5	0.6517
40	1.2069
40.5	0.904
41	0.581
41.5	0.1534
42	0.396
42.5	0.376
43	0.596
43.5	0.196
44	0.432
44.5	0.427
45	0.416
45.5	0.445
46	0.3533
46.5	0.4631
47	0.6033
47.5	0.6676
48	0.569
48.5	0.5942
49	0.9177
49.5	0.3556
50	0.574
50.5	0.037
51	0.896
51.5	-0.11
52	0.255
52.5	0.05
53	0.07
53.5	0.06
54	-0.0778
54.5	0.001
55	0.887
55.5	0.8397
56	0.9243
56.5	1.5716
57	2.062
57.5	2.0692
58	2.1511
58.5	2.0515
59	2.2557
59.5	1.6571
60	1.2406
60.5	1.4458
61	1.485
61.5	0.993
62	0.645
62.5	0.829
63	1.124
63.5	1.065
64	1.081
64.5	0.972
65	1.269
65.5	1.183
66	1.7332
