Age	Sea_level
0	-10.86
0.5	-5.84
1	-35.46
1.5	-42.21
2	-17.25
2.5	-8.61
3	-14.26
3.5	26.87
4	-25.49
4.5	-6.66
5	-1.66
5.5	-7.34
6	-15.39
6.5	-20.15
7	-5.78
7.5	-9.64
8	-18.7
8.5	-13.88
9	-20.58
9.5	-18.03
10	-2.14
10.5	1.12
11	4.61
11.5	5
12	20.14
12.5	-4.1
13	-23.89
13.5	5.47
14	40.67
14.5	30.08
15	25.78
15.5	39.28
16	62.41
16.5	35.57
17	2.55
17.5	5.6
18	-22.54
18.5	0
19	-23.9
19.5	-25.25
20	-0.46
20.5	-40.63
21	-17.02
21.5	-26.47
22	34
22.5	8.36
23	-34.01
23.5	3.97
24	32.96
24.5	8.99
25	15.93
25.5	-14.4
26	17.04
26.5	27.08
27	16.24
27.5	-29.02
28	-18.96
28.5	-2.32
29	-9.18
29.5	-16.36
30	-11.18
30.5	-4.92
31	-45.07
31.5	-5.01
32	-4.19
32.5	-0.2
33	-15.21
33.5	-21.88
34	46.27
34.5	34
35	44.63
35.5	41.21
36	39.5
36.5	23
37	34
37.5	17.79
38	25.25
38.5	10.92
39	32.53
39.5	39.5
40	27.13
40.5	34
41	25.3
41.5	27.24
42	33.99
42.5	44.15
43	36.89
43.5	33.35
44	40.66
44.5	36.89
45	27.16
45.5	27.27
46	35.7
46.5	38.99
47	20.92
47.5	29.98
48	57.01
48.5	62.99
49	64.57
49.5	73.85
50	67.2
50.5	58.52
51	63.61
51.5	29.23
52	34.31
52.5	53.7
53	71.98
53.5	49.76
54	32.66
54.5	27.78
55	22.24
55.5	19.54
56	2.31
56.5	13.01
57	18.05
57.5	25.06
58	88.23
58.5	26.91
59	28.3
59.5	22.56
60	33.27
60.5	35.14
61	35
61.5	43.3
62	43.78
62.5	49.04
63	54.78
63.5	64.67
64	61.14
64.5	65.01
65	56.09
65.5	46.13
66	33.34
