Age	Diversity
0	1
0.5	1
1	0.846351820920547
1.5	0.877063019274942
2	0.846351820920547
2.5	0.877063019274942
3	0.877063019274942
3.5	0.905314583119034
4	0.905314583119034
4.5	0.905314583119034
5	0.877063019274942
5.5	0.877063019274942
6	0.877063019274942
6.5	0.812711509291959
7	0.812711509291959
7.5	0.812711509291959
8	0.812711509291959
8.5	0.812711509291959
9	0.812711509291959
9.5	0.812711509291959
10	0.812711509291959
10.5	0.733951626354678
11	0.733951626354678
11.5	0.686820903599663
12	0.38776193503849
12.5	0.38776193503849
13	0.38776193503849
13.5	0.38776193503849
14	0.244650542118226
14.5	0.244650542118226
15	0.244650542118226
15.5	0.244650542118226
16	0
16.5	0
17	0
17.5	0
18	0
18.5	0
19	0
19.5	0
20	0
20.5	0
21	0
21.5	0
22	0
22.5	0
23	0
23.5	0
24	0
24.5	0
25	0
25.5	0
26	0
26.5	0
27	0
27.5	0
28	0
28.5	0
29	0
29.5	0
30	0
30.5	0
31	0
31.5	0
32	0
32.5	0
33	0
33.5	0
34	0
34.5	0
35	0
35.5	0
36	0
36.5	0
37	0
37.5	0
38	0
38.5	0
39	0
39.5	0
40	0
40.5	0
41	0
41.5	0
42	0
42.5	0
43	0
43.5	0
44	0
44.5	0
45	0
45.5	0
46	0
46.5	0
47	0
47.5	0
48	0
48.5	0
49	0
49.5	0
50	0
50.5	0
51	0
51.5	0
52	0
52.5	0
53	0
53.5	0
54	0
54.5	0
55	0
55.5	0
56	0
56.5	0
57	0
57.5	0
58	0
58.5	0
59	0
59.5	0
60	0
60.5	0
61	0
61.5	0
62	0
62.5	0
63	0
63.5	0
64	0
