Age	Diversity
23	-0.533276730647209
23.5	-0.533276730647209
24	-0.533276730647209
24.5	-0.533276730647209
25	-0.533276730647209
25.5	-0.533276730647209
26	-0.533276730647209
26.5	-0.533276730647209
27	-0.533276730647209
27.5	-0.533276730647209
28	-0.533276730647209
28.5	-0.533276730647209
29	-0.533276730647209
29.5	-0.533276730647209
30	-0.533276730647209
30.5	-0.533276730647209
31	-0.533276730647209
31.5	-0.533276730647209
32	-0.533276730647209
32.5	-0.533276730647209
33	-0.533276730647209
33.5	-0.533276730647209
34	-0.533276730647209
34.5	-0.533276730647209
35	-0.533276730647209
35.5	-0.533276730647209
36	-0.533276730647209
36.5	-0.533276730647209
37	-0.533276730647209
37.5	-0.533276730647209
38	-0.533276730647209
38.5	-0.533276730647209
39	-0.533276730647209
39.5	-0.533276730647209
40	-0.533276730647209
40.5	-0.533276730647209
41	-0.533276730647209
41.5	-0.533276730647209
42	-0.533276730647209
42.5	-0.533276730647209
43	-0.533276730647209
43.5	-0.533276730647209
44	-0.533276730647209
44.5	-0.533276730647209
45	-0.533276730647209
45.5	-0.533276730647209
46	-0.533276730647209
46.5	-0.533276730647209
47	-0.533276730647209
47.5	-0.533276730647209
48	-0.533276730647209
48.5	-0.533276730647209
49	-0.533276730647209
49.5	-0.533276730647209
50	-0.533276730647209
50.5	-0.533276730647209
51	-0.533276730647209
51.5	-0.533276730647209
52	-0.533276730647209
52.5	-0.533276730647209
53	-0.533276730647209
53.5	-0.533276730647209
54	-0.533276730647209
54.5	-0.533276730647209
55	-0.533276730647209
55.5	-0.533276730647209
56	-0.533276730647209
