Age	Altitude
34	885.333333333333
34.5	876.666666666667
35	868
35.5	857.5
36	847
36.5	840.666666666667
37	834.333333333333
37.5	828
38	821.666666666667
38.5	811
39	800.333333333333
39.5	791.666666666667
40	783
40.5	771.833333333333
41	760.666666666667
41.5	747.166666666667
42	733.666666666667
42.5	721.5
43	709.333333333333
43.5	699
44	688.666666666667
44.5	678.166666666667
45	667.666666666667
45.5	660.833333333333
46	654
46.5	647
47	640
47.5	633.833333333333
48	627.666666666667
48.5	620.666666666667
49	613.666666666667
49.5	607.666666666667
50	601.666666666667
50.5	594.166666666667
51	586.666666666667
