Age Altitude
0 1180
0 1200
0 1880
0 1340
0 480
0 1140
0 530
0 2280
0 2040
0 1190
0 820
0 560
0 2900
0 2690
0 960
0 2030
0 4320
0 3950
0 4120
0 4020
0 3070
0 890
0 820
0 1230
0 3240
0 3810
0 2200
0 1130
0 810
0 840
1 1000
1 1200
1 1880
1 1310
1 430
1 1110
1 530
1 2260
1 2020
1 1180
1 800
1 550
1 2840
1 2660
1 950
1 1990
1 4280
1 3950
1 4120
1 4020
1 3040
1 800
1 740
1 1210
1 3140
1 3730
1 2180
1 960
1 790
1 810
2 830
2 1200
2 1840
2 1290
2 390
2 1080
2 530
2 2230
2 2000
2 1170
2 790
2 550
2 2780
2 2640
2 950
2 1950
2 4280
2 3950
2 4120
2 4020
2 3040
2 710
2 660
2 1180
2 3050
2 3660
2 2160
2 790
2 760
2 790
3 830
3 1180
3 1690
3 1260
3 360
3 1060
3 520
3 2210
3 1980
3 1150
3 760
3 540
3 2730
3 2610
3 940
3 1910
3 4280
3 3950
3 4120
3 4020
3 3010
3 620
3 570
3 1160
3 2950
3 3580
3 2160
3 620
3 750
3 770
4 830
4 1140
4 1540
4 1130
4 320
4 1040
4 500
4 2190
4 1960
4 1140
4 750
4 540
4 2670
4 2580
4 930
4 1870
4 4230
4 3950
4 4120
4 4020
4 3010
4 530
4 490
4 1130
4 2850
4 3470
4 2130
4 450
4 730
4 760
5 830
5 1080
5 1390
5 990
5 280
5 1010
5 480
5 2170
5 1940
5 1130
5 730
5 530
5 2610
5 2560
5 920
5 1830
5 4230
5 3950
5 4120
5 4020
5 2980
5 440
5 410
5 1110
5 2750
5 3390
5 2110
5 320
5 710
5 740
6 830
6 1020
6 1240
6 860
6 240
6 980
6 450
6 2140
6 1920
6 1120
6 710
6 530
6 2550
6 2530
6 910
6 1830
6 4230
6 3950
6 4120
6 4020
6 2980
6 360
6 330
6 1080
6 2660
6 3280
6 2110
6 170
6 700
6 720
7 830
7 960
7 1090
7 780
7 200
7 960
7 420
7 2140
7 1920
7 1110
7 690
7 520
7 2490
7 2500
7 900
7 1830
7 4190
7 3400
7 4120
7 4020
7 2950
7 270
7 250
7 1060
7 2560
7 3200
7 2090
7 160
7 680
7 710
8 830
8 850
8 940
8 710
8 160
8 930
8 380
8 2120
8 1900
8 1090
8 670
8 520
8 2440
8 2450
8 880
8 1830
8 4190
8 2840
8 4120
8 4020
8 2950
8 180
8 160
8 1030
8 2460
8 3090
8 1870
8 150
8 660
8 690
9 830
9 740
9 850
9 630
9 120
9 910
9 330
9 2100
9 1880
9 1070
9 650
9 510
9 2380
9 2390
9 870
9 1830
9 4190
9 2290
9 4120
9 4020
9 2920
9 90
9 80
9 1010
9 2370
9 3010
9 1650
9 140
9 650
9 670
10 830
10 640
10 750
10 560
10 90
10 890
10 280
10 2070
10 1860
10 1020
10 630
10 500
10 2320
10 2370
10 860
10 1830
10 4150
10 1740
10 4120
10 4020
10 2920
10 -20
10 -20
10 980
10 2270
10 2550
10 1430
10 120
10 680
10 710
11 810
11 530
11 710
11 480
11 50
11 860
11 230
11 2050
11 1840
11 980
11 620
11 500
11 2260
11 2310
11 840
11 1830
11 4150
11 1740
11 4200
11 4020
11 2610
11 -20
11 -20
11 960
11 2170
11 2100
11 1210
11 110
11 720
11 740
12 800
12 420
12 680
12 420
12 0
12 830
12 190
12 2030
12 1820
12 940
12 590
12 490
12 2200
12 2290
12 840
12 1830
12 4100
12 1700
12 4280
12 4020
12 2360
12 20
12 20
12 930
12 2070
12 1640
12 990
12 100
12 720
12 740
13 790
13 420
13 640
13 340
13 -50
13 810
13 190
13 2030
13 1820
13 900
13 570
13 490
13 2150
13 2230
13 820
13 1830
13 4100
13 1700
13 4370
13 4020
13 2060
13 -20
13 -20
13 910
13 1980
13 1490
13 950
13 90
13 720
13 740
14 770
14 420
14 600
14 270
14 -50
14 790
14 190
14 2010
14 1800
14 870
14 560
14 480
14 2090
14 2210
14 810
14 1830
14 4060
14 1660
14 4450
14 4020
14 1780
14 -20
14 -20
14 890
14 1880
14 1370
14 880
14 80
14 720
14 740
15 740
15 420
15 560
15 250
15 -50
15 750
15 190
15 1980
15 1770
15 830
15 530
15 480
15 2060
15 2150
15 790
15 1830
15 4060
15 1660
15 4490
15 4020
15 1500
15 -20
15 -20
15 860
15 1780
15 1300
15 840
15 70
15 720
15 740
16 730
16 420
16 530
16 250
16 -50
16 730
16 190
16 1960
16 1750
16 820
16 520
16 470
16 2060
16 2150
16 790
16 1830
16 4020
16 1620
16 4490
16 3460
16 1470
16 20
16 20
16 840
16 1680
16 1300
16 770
16 60
16 720
16 710
17 720
17 420
17 490
17 250
17 -50
17 710
17 190
17 1940
17 1730
17 810
17 500
17 460
17 2060
17 2130
17 780
17 1830
17 3970
17 1620
17 4490
17 2860
17 1420
17 40
17 30
17 810
17 1590
17 1260
17 730
17 60
17 720
17 690
18 710
18 400
18 450
18 240
18 -50
18 680
18 170
18 1940
18 1730
18 800
18 480
18 460
18 2060
18 2130
18 780
18 1830
18 3930
18 1580
18 4490
18 2480
18 1400
18 50
18 50
18 790
18 1490
18 1260
18 680
18 60
18 720
18 660
19 700
19 370
19 390
19 240
19 -50
19 650
19 160
19 1920
19 1710
19 790
19 460
19 450
19 2060
19 2070
19 770
19 1830
19 3890
19 1580
19 4490
19 1990
19 1380
19 70
19 70
19 760
19 1390
19 1220
19 620
19 60
19 720
19 640
20 680
20 350
20 360
20 240
20 -50
20 630
20 150
20 1890
20 1690
20 770
20 440
20 450
20 2060
20 2040
20 760
20 1830
20 3840
20 1540
20 4490
20 1560
20 1330
20 90
20 80
20 740
20 1300
20 1220
20 570
20 60
20 720
20 640
21 670
21 320
21 320
21 230
21 -50
21 600
21 140
21 1870
21 1670
21 760
21 420
21 430
21 2060
21 1990
21 740
21 1830
21 3800
21 1540
21 4490
21 1170
21 1310
21 110
21 100
21 710
21 1200
21 1140
21 510
21 60
21 720
21 640
22 660
22 300
22 260
22 230
22 -50
22 580
22 130
22 1850
22 1650
22 750
22 400
22 410
22 2030
22 1960
22 730
22 1830
22 3760
22 1500
22 4490
22 970
22 1290
22 120
22 110
22 690
22 1100
22 1070
22 440
22 60
22 720
22 640
23 650
23 280
23 230
23 230
23 -50
23 550
23 120
23 1820
23 1630
23 740
23 390
23 410
23 2030
23 1910
23 710
23 1830
23 3720
23 1460
23 4490
23 920
23 1270
23 140
23 130
23 660
23 1000
23 990
23 370
