Sample label	Depth sed [m]	Depth comp [mcd]	Tuned time [Ma]	Foram benth δ13C [‰ PDB]	Foram benth δ18O [‰ PDB]	Foram benth	Reference	Method comm	Comment
208-1265A-20H-1, 39-37	180.880	205.400	38.05483	1.087	1.020	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
208-1265A-20H-1, 49-47	180.980	205.500	38.08058	1.101	0.904	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
208-1265A-20H-1, 59-57	181.080	205.600	38.10624	0.897	0.850	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
208-1265A-20H-1, 69-67	181.180	205.700	38.13198	0.955	0.967	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
208-1265A-20H-1, 81-79	181.300	205.820	38.16288	1.083	1.077	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
208-1265A-20H-1, 89-87	181.380	205.900	38.18339	0.935	1.134	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
208-1265A-20H-1, 99-97	181.480	206.000	38.20914	0.712	1.011	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
208-1265A-20H-1, 109-107	181.580	206.100	38.21979	0.702	0.980	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
208-1265A-20H-1, 119-117	181.680	206.200	38.23035	0.821	0.950	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
208-1265A-20H-1, 131-129	181.800	206.320	38.24318	0.553	0.681	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
208-1265A-20H-1, 139-137	181.880	206.400	38.25165	0.691	1.040	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
208-1265A-20H-1, 149-147	181.980	206.500	38.26229	0.770	0.964	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
208-1265A-20H-2, 9-7	182.080	206.600	38.28083	0.819	1.075	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
208-1265A-20H-2, 19-17	182.180	206.700	38.30230	0.678	0.885	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
208-1265A-20H-2, 29-27	182.280	206.800	38.32376	0.716	0.981	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.02per mil for d13C; 0.05per mil for d18O
