/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S11. Bulk stable carbon and oxygen isotope data of ODP Site 208-1263. PANGAEA, https://doi.org/10.1594/PANGAEA.917512, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM DEPTH, sediment/rock: 70.740 m * MAXIMUM DEPTH, sediment/rock: 285.300 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	δ13C [‰ PDB] (δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: VPDB
	δ18O [‰] (δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: VPDB
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	23242 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Tuned time [Ma]	δ13C [‰ PDB]	δ18O [‰]	Reference
208-1263B-3H-4,124	70.740	80.690		1.8010	1.4760	MARUM Bremen this study
208-1263B-3H-4,127	70.770	80.720		1.8230	1.6990	MARUM Bremen this study
208-1263B-3H-4,130	70.800	80.750		1.8070	1.6620	MARUM Bremen this study
208-1263B-3H-4,133	70.830	80.780		1.8110	1.6330	MARUM Bremen this study
208-1263B-3H-4,136	70.860	80.810		1.7780	1.5290	MARUM Bremen this study
208-1263B-3H-4,139	70.890	80.840		1.8290	1.5750	MARUM Bremen this study
208-1263B-3H-4,142	70.920	80.870		1.7850	1.5350	MARUM Bremen this study
208-1263B-3H-4,145	70.950	80.900		1.8330	1.7840	MARUM Bremen this study
208-1263B-3H-4,148	70.980	80.930		1.8580	1.7690	MARUM Bremen this study
208-1263B-3H-5,1	71.010	80.960		1.8870	1.7770	MARUM Bremen this study
208-1263B-3H-5,4	71.040	80.990		1.9100	1.7200	MARUM Bremen this study
208-1263B-3H-5,7	71.070	81.020		1.8350	1.6300	MARUM Bremen this study
208-1263B-3H-5,10	71.100	81.050		1.8260	1.6250	MARUM Bremen this study
208-1263B-3H-5,13	71.130	81.080		1.8100	1.6260	MARUM Bremen this study
208-1263B-3H-5,16	71.160	81.110		1.8040	1.5670	MARUM Bremen this study
208-1263B-3H-5,19	71.190	81.140		1.8410	1.4450	MARUM Bremen this study
208-1263B-3H-5,22	71.220	81.170		1.8630	1.4880	MARUM Bremen this study
208-1263B-3H-5,25	71.250	81.200		1.8760	1.4230	MARUM Bremen this study
208-1263B-3H-5,28	71.280	81.230		1.9630	1.5940	MARUM Bremen this study
208-1263B-3H-5,31	71.310	81.260		1.9710	1.6780	MARUM Bremen this study
208-1263B-3H-5,34	71.340	81.290		2.0020	1.6010	MARUM Bremen this study
208-1263B-3H-5,37	71.370	81.320		1.9670	1.6230	MARUM Bremen this study
208-1263B-3H-5,40	71.400	81.350		1.9910	1.5170	MARUM Bremen this study
208-1263B-3H-5,43	71.430	81.380		1.9460	1.5640	MARUM Bremen this study
208-1263B-3H-5,46	71.460	81.410		1.9540	1.5280	MARUM Bremen this study
208-1263A-9H-2,50	70.800	81.440		1.8930	1.5340	MARUM Bremen this study
208-1263A-9H-2,53	70.830	81.470		1.9360	1.5630	MARUM Bremen this study
208-1263A-9H-2,56	70.860	81.500		1.9240	1.4620	MARUM Bremen this study
208-1263A-9H-2,59	70.890	81.530		1.9200	1.4070	MARUM Bremen this study
208-1263A-9H-2,62	70.920	81.560		1.9190	1.5280	MARUM Bremen this study
208-1263A-9H-2,65	70.950	81.590		1.9160	1.4740	MARUM Bremen this study
208-1263A-9H-2,68	70.980	81.620		1.9310	1.5530	MARUM Bremen this study
208-1263A-9H-2,71	71.010	81.650		1.9350	1.4590	MARUM Bremen this study
208-1263A-9H-2,74	71.040	81.680		1.8570	1.4620	MARUM Bremen this study
208-1263A-9H-2,77	71.070	81.710		1.8770	1.5760	MARUM Bremen this study
208-1263A-9H-2,80	71.100	81.740		1.8820	1.5790	MARUM Bremen this study
208-1263A-9H-2,83	71.130	81.770		1.8920	1.6420	MARUM Bremen this study
208-1263A-9H-2,86	71.160	81.800		1.8650	1.6280	MARUM Bremen this study
208-1263A-9H-2,89	71.190	81.830		1.8200	1.5880	MARUM Bremen this study
208-1263A-9H-2,92	71.220	81.860		1.8920	1.6480	MARUM Bremen this study
208-1263A-9H-2,95	71.250	81.890		1.8970	1.6480	MARUM Bremen this study
