/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S13. List of tie points to create the revised composite depth scale (rmcd) for ODP Site 208-1263. PANGAEA, https://doi.org/10.1594/PANGAEA.917519, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM DEPTH, sediment/rock: 2.000 m * MAXIMUM DEPTH, sediment/rock: 288.800 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Comment:	printed version: bold indicate change with respect to Westerhold et al. 2015.
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tie point type (Tie point type) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	369 data points
*/
Sample label	Depth sed [m] (mbsf)	Depth comp r [rmcd]	Tie point type	Sample label	Depth sed [m] (mbsf)	Depth comp r [rmcd]	Reference
1263A-1H-2,50	2.000	2.000	Append to	1263A-2H-1,0	2.300	2.710	ship
1263A-2H-7,30	11.600	12.010	Append to	1263A-3H-1,0	11.800	13.920	ship
1263A-3H-7,30	21.100	23.220	Append to	1263A-4H-1,0	21.300	25.130	ship
1263A-4H-7,35	30.650	34.480	Tie to	1263A-6H-1,0	40.300	47.550	ship
1263A-6H-5,12.5	46.425	53.175	Tie to	1263B-1H-1,37.5	46.375	53.175	Westerhold et al. 2015
1263B-1H-6,57.5	54.075	60.885	Tie to	1263A-7H-2,102.5	52.325	60.885	Westerhold et al. 2015
1263A-7H-5,47.5	56.275	64.845	Tie to	1263B-2H-1,85	56.350	64.845	Westerhold et al. 2015
1263B-2H-5,52.5	62.025	70.535	Tie to	1263A-8H-2,12.5	60.925	70.535	Westerhold et al. 2015
1263A-8H-6,42.5	67.225	76.745	Tie to	1263B-3H-2,40	66.900	76.845	Westerhold et al. 2015
1263B-3H-5,47.5	71.475	81.435	Tie to	1263A-9H-2,50	70.800	81.435	Westerhold et al. 2015
1263A-9H-7,7.5	77.375	88.025	Tie to	1263B-4H-2,110	77.100	88.025	Westerhold et al. 2015
1263B-4H-6,45	82.450	93.390	Tie to	1263A-10H-3,130	82.600	93.390	Westerhold et al. 2015
1263A-10H-7,42.5	87.725	98.525	Tie to	1263B-5H-1,77.5	84.775	98.525	Westerhold et al. 2015
1263B-5H-7,17.5	92.705	106.465	Tie to	1263C-1H-3,125	94.250	106.465	Westerhold et al. 2015
1263C-1H-6,12.5	97.625	109.870	Tie to	1263B-6H-2,10	95.100	109.870	Westerhold et al. 2015
1263B-6H-6,127.5	102.275	117.045	Tie to	1263C-2H-1,55	100.050	117.045	Westerhold et al. 2015
1263C-2H-7,80	108.800	125.800	Tie to	1263B-7H-2,98	105.480	125.800	this study
1263B-7H-6,137.5	111.875	132.075	Tie to	1263C-3H-2,10	110.600	132.075	Westerhold et al. 2015
1263C-3H-4,47.5	113.975	135.465	Tie to	1263B-8H-1,140	113.900	135.465	Westerhold et al. 2015
1263B-8H-4,55	117.550	139.130	Tie to	1263A-14H-2,30	118.100	139.130	Westerhold et al. 2015
1263A-14H-6,150	123.890	144.930	Append to	1263B-9H-1,0	122.000	145.230	Westerhold et al. 2015
1263B-9H-4,115	127.650	150.880	Tie to	1263A-15H-1,135	127.150	150.880	Westerhold et al. 2015
1263A-15H-5,40	132.200	155.940	Tie to	1263B-10H-1,40	131.900	155.940	Westerhold et al. 2015
1263B-10H-5,30	137.800	161.850	Tie to	1263A-16H-1,142.5	136.725	161.850	Westerhold et al. 2015
1263A-16H-6,17.5	142.975	168.105	Tie to	1263B-11H-2,57.5	143.075	168.105	Westerhold et al. 2015
1263B-11H-6,75	149.250	174.290	Tie to	1263A-17H-3,15	147.950	174.290	Westerhold et al. 2015
1263A-17H-6,15	152.450	178.800	Tie to	1263B-12H-2,60	152.600	178.800	Westerhold et al. 2015
1263B-12H-6,80	157.500	183.710	Tie to	1263A-18H-2,47.5	156.275	183.710	Westerhold et al. 2015
1263A-18H-5,102.5	161.325	188.765	Tie to	1263B-13H-1,60	160.600	188.765	Westerhold et al. 2015
1263B-13H-4,132.5	165.825	194.005	Tie to	1263A-19H-1,115	164.950	194.005	Westerhold et al. 2015
1263A-19H-5,102.5	170.825	199.895	Tie to	1263B-14H-1,72.5	170.225	199.895	Westerhold et al. 2015
1263B-14H-5,137.5	176.875	206.555	Tie to	1263A-20H-2,40	175.200	206.555	Westerhold et al. 2015
1263A-20H-5,70	180.000	211.370	Tie to	1263B-15H-3,52.5	180.525	211.370	Westerhold et al. 2015
1263B-15H-7,5	186.050	216.900	Tie to	1263A-21H-1,27.5	183.075	216.900	Westerhold et al. 2015
1263A-21H-3,97.5	186.775	220.605	Tie to	1263B-16H-1,97.5	187.475	220.605	Westerhold et al. 2015
1263B-16H-7,57.5	196.075	229.215		strong coring disturbance from 229.22 to 233.60			
				1263B-19H-1	201.000	233.600	Westerhold et al. 2007
1263B-19H-3,8	204.080	236.680	Tie to	1263A-23H-2,83.5	204.130	236.680	Westerhold et al. 2007
1263A-23H-4,48	206.760	239.310	Tie to	1263B-20H-1,70	205.600	239.310	Westerhold et al. 2007
1263B-20H-7,33	214.220	247.930	Tie to	1263A-24H-4,67.5	213.280	247.930	Westerhold et al. 2007
1263A-24H-7,25	217.250	251.900	Tie to	1263B-21H-2,7.5	215.980	251.900	Westerhold et al. 2007
1263B-21H-5,103	221.420	257.340	Tie to	1263C-7H-2,11	223.070	257.340	Westerhold et al. 2007
1263C-7H-4,15	225.280	259.550	Tie to	1263A-26H-1,10	222.700	259.550	Westerhold et al. 2007
1263A-26H-3,120	226.800	263.650	Tie to	1263B-22H-1,142	225.320	263.650	Westerhold et al. 2007
1263B-22H-7,65	233.550	271.880	Append to	1263A-27H-1,0	232.100	272.130	Westerhold et al. 2007
1263A-27H-6,55	240.150	280.180	Tie to	1263C-9H-4,98.5	240.390	280.180	Westerhold et al. 2007
1263C-9H-7,65	244.550	284.340	Tie to	1263A-28H-1,22.5	241.820	284.340	Westerhold et al. 2007
1263A-28H-3,78	245.380	287.900	Tie to	1263B-24H-2,121	245.610	287.900	Westerhold et al. 2007
1263B-24H-6,20	250.600	292.890	Tie to	1263C-10H-5,61	251.010	292.890	Westerhold et al. 2007
1263C-10H-7,122	254.120	296.000	Tie to	1263A-29H-1,112	252.220	296.000	Westerhold et al. 2007
1263A-29H-5,120	258.300	302.000	Tie to	1263C-11H-3,138.5	258.290	302.080	Westerhold et al. 2007
1263C-11H-7,5	263.350	307.060	Tie to	1263A-30H-1,75	261.350	307.140	Westerhold et al. 2007
1263A-30H-7,33	269.920	315.630	Tie to	1263C-12H-5,81	270.210	315.710	Westerhold et al. 2007
1263C-12H-CC,28	273.090	318.590	Tie to	1263D-1H-1,82.5	272.825	318.585	Westerhold et al. 2007
1263D-1H-2,115	274.650	320.410	Tie to	1263B-27X-1,3	271.130	320.410	Westerhold et al. 2007
1263B-27X-1,145	272.550	321.830	Tie to	1263A-32H-1,115	272.750	321.830	Westerhold et al. 2007
1263A-32H-5,30	277.900	326.980	Tie to	1263C-13H-5,10	279.000	326.980	Westerhold et al. 2007
1263C-13H-cc,10	282.870	330.770	Append to	1263D-3H-1,0.0	281.500	331.840	Röhl et al. 2007
1263D-3H-1,90	282.400	332.740	Tie to	1263C-14H-1,43	282.830	332.740	Röhl et al. 2007
1263C-14H-2,149	285.390	335.300	Tie to	1263D-4H-1,70	285.000	335.300	Röhl et al. 2007
1263D-4H-1,90	285.200	335.500	Tie to	1263A-34X-1,54	284.640	335.500	Röhl et al. 2007
1263A-34X-2,146	287.060	337.920	Tie to	1263C-16X-1,114	286.840	337.920	Röhl et al. 2007
1263C-16X-3,60	288.800	339.880	end of splice				
