/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S14. Mapping pairs for ODP Site 208-1263 to correlate intervals outside the splice to the splice. PANGAEA, https://doi.org/10.1594/PANGAEA.917520, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM ELEVATION: -2717.1 m * MAXIMUM ELEVATION: -2717.1 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Comment:	W2015 = Westerhold et al. 2015, W2017 = Westerhold et al. 2017.
	printed version: bold indicate change with respect to Westerhold et al. 2015, 2017.
	#-999.99 =no adjustment
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: outside splice
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: of splice
	Identification (ID) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: outside splice
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: of splice
	Identification (ID) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: outside splice
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: of splice
	Identification (ID) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	3510 data points
*/
Sample label	Depth comp [mcd] (outside splice)	Depth comp [mcd] (of splice)	ID	Reference	Sample label	Depth comp [mcd] (outside splice)	Depth comp [mcd] (of splice)	ID	Reference	Sample label	Depth comp [mcd] (outside splice)	Depth comp [mcd] (of splice)	ID	Reference
1263A-1H-5H	#-999.99				1263B-1H	52.90	52.88	corr	W2015	1263C-1H	101.49	102.22	corr	W2017
					1263B-1H	53.18	53.18	splice	W2015	1263C-1H	102.38	101.69	corr	W2015
1263A-6H	47.05	47.05	splice	W2015	1263B-1H	60.89	60.89	splice	W2015	1263C-1H	102.87	102.35	corr	W2015
1263A-6H	53.18	53.18	splice	W2015	1263B-1H	61.59	61.63	corr	W2015	1263C-1H	103.32	102.82	corr	W2015
1263A-6H	53.41	53.52	corr	W2015	1263B-1H	62.22	62.20	corr	W2017	1263C-1H	103.89	103.34	corr	W2015
1263A-6H	53.99	54.01	corr	W2015						1263C-1H	104.47	104.03	corr	W2015
1263A-6H	55.03	55.14	corr	W2015	1263B-2H	64.00	64.00	corr	W2017	1263C-1H	104.88	104.48	corr	W2015
1263A-6H	55.38	55.61	corr	W2015	1263B-2H	64.85	64.85	splice	W2015	1263C-1H	105.44	105.14	corr	W2015
1263A-6H	55.90	55.76	corr	W2017	1263B-2H	70.54	70.54	splice	W2015	1263C-1H	105.84	105.68	corr	W2015
					1263B-2H	71.60	71.46	corr	W2015	1263C-1H	106.02	105.94	corr	W2015
1263A-7H	58.43	58.14	corr	W2015	1263B-2H	72.26	72.05	corr	W2015	1263C-1H	106.47	106.47	splice	W2015
1263A-7H	59.53	59.36	corr	W2015	1263B-2H	72.63	72.50	corr	W2015	1263C-1H	109.87	109.87	splice	W2015
1263A-7H	60.89	60.89	splice	W2015	1263B-2H	72.78	72.64	corr	W2017	1263C-1H	110.09	110.10	corr	W2015
1263A-7H	64.85	64.85	splice	W2015						1263C-1H	110.39	110.42	corr	W2015
1263A-7H	66.27	66.35	corr	W2015	1263B-3H	75.01	74.62	corr	W2015	1263C-1H	110.60	110.66	corr	W2015
1263A-7H	66.63	66.64	corr	W2015	1263B-3H	75.44	75.05	corr	W2015	1263C-1H	111.65	111.85	corr	W2015
1263A-7H	67.29	67.19	corr	W2015	1263B-3H	75.81	75.48	corr	W2015	1263C-1H	112.08	112.29	corr	W2017
1263A-7H	67.96	67.78	corr	W2015	1263B-3H	76.11	75.87	corr	W2015					
1263A-7H	68.22	68.13	corr	W2017	1263B-3H	76.32	76.18	corr	W2015	1263C-2H	116.50	116.45	corr	W2017
					1263B-3H	76.57	76.56	corr	W2015	1263C-2H	117.05	117.05	splice	W2015
1263A-8H	68.97	68.90	corr	W2015	1263B-3H	76.85	76.85	splice	W2015	1263C-2H	125.80	125.80	splice	W2015
1263A-8H	69.13	69.09	corr	W2015	1263B-3H	81.44	81.44	splice	W2015	1263C-2H	125.81	125.81	corr	W2017
1263A-8H	69.76	69.69	corr	W2015	1263B-3H	82.18	82.12	corr	W2015					
1263A-8H	70.54	70.54	splice	W2015	1263B-3H	82.73	82.73	corr	W2015					
1263A-8H	76.85	76.85	splice	W2015	1263B-3H	83.00	83.00	corr	W2015	1263C-3H	130.48	130.36	corr	W2017
1263A-8H	77.39	77.39	corr	W2015	1263B-3H	83.70	83.62	corr	W2015	1263C-3H	130.67	130.55	corr	W2017
1263A-8H	77.82	77.82	corr	W2015	1263B-3H	83.91	83.81	corr	W2015	1263C-3H	131.13	131.07	corr	W2017
					1263B-3H	84.25	84.17	corr	W2015	1263C-3H	131.34	131.32	corr	W2017
1263A-9H	79.55	79.32	corr	W2015	1263B-3H	84.38	84.27	corr	W2017	1263C-3H	131.73	131.76	corr	W2017
1263A-9H	79.73	79.61	corr	W2015						1263C-3H	132.08	132.08	splice	W2015
1263A-9H	80.17	80.07	corr	W2015	1263B-4H	85.43	85.00	corr	W2017	1263C-3H	135.47	135.47	splice	W2015
1263A-9H	80.42	80.28	corr	W2015	1263B-4H	85.68	85.28	corr	W2015	1263C-3H	135.70	135.75	corr	W2015
1263A-9H	80.91	80.84	corr	W2015	1263B-4H	86.22	86.08	corr	W2015	1263C-3H	135.99	136.01	corr	W2015
1263A-9H	81.44	81.44	splice	W2015	1263B-4H	86.58	86.54	corr	W2015	1263C-3H	136.26	136.25	corr	W2015
1263A-9H	88.03	88.03	splice	W2015	1263B-4H	87.47	87.45	corr	W2015	1263C-3H	136.63	136.65	corr	W2015
1263A-9H	88.32	88.45	corr	W2015	1263B-4H	88.03	88.03	splice	W2015	1263C-3H	137.33	137.26	corr	W2015
1263A-9H	88.61	88.90	corr	W2015	1263B-4H	93.39	93.39	splice	W2015	1263C-3H	138.01	137.84	corr	W2015
					1263B-4H	93.80	94.10	corr	W2015	1263C-3H	138.69	138.42	corr	W2015
1263A-10H	89.22	88.97	corr	W2015	1263B-4H	94.24	94.71	corr	W2015	1263C-3H	139.43	139.13	corr	W2015
1263A-10H	89.67	89.38	corr	W2015	1263B-4H	94.47	95.03	corr	W2015	1263C-3H	139.77	139.48	corr	W2015
1263A-10H	89.97	89.84	corr	W2015	1263B-4H	95.02	95.56	corr	W2017	1263C-3H	140.07	139.77	corr	W2017
1263A-10H	90.32	90.13	corr	W2015										
1263A-10H	90.99	90.83	corr	W2015	1263B-5H	97.75	97.70	corr	W2017	1263C-4H	224.87	224.87	corr	uncertain
