/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S16. Revised site-to-site correlation tie points between ODP Sites 208-1263 and 208-1267. PANGAEA, https://doi.org/10.1594/PANGAEA.917523, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.098083 * LONGITUDE: 1.710967
	DATE/TIME START: 2003-04-21T00:00:00 * DATE/TIME END: 2003-04-26T00:00:00
	MINIMUM DEPTH, sediment/rock: 44.930 m * MAXIMUM DEPTH, sediment/rock: 288.570 m
Event(s):	208-1267 * LATITUDE: -28.098083 * LONGITUDE: 1.710967 * DATE/TIME START: 2003-04-21T00:00:00 * DATE/TIME END: 2003-04-26T00:00:00 * ELEVATION: -4354.7 m * Penetration: 641.1 m * Recovery: 636.6 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 69 cores; 641.1 m cored; 0 m drilled; 99.3 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tie point (Tie point) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: corrected
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1470 data points
*/
Sample label	Depth sed [m] (mbsf)	Depth comp [mcd]	Tie point	Sample label	Depth sed [m] (mbsf)	Depth comp r [rmcd]	Depth comp r [rmcd] (corrected)	Reference
208-1267B-13-4,7	112.120	124.12	Ties To	208-1263A-6-4,13	44.93	52.17	51.67	Westerhold et al. 2017, corrected by -0.50 cm
208-1267B-13-4,77	112.820	124.82	Ties To	208-1263B-1-1,115	47.15	54.45	53.95	Westerhold et al. 2017, corrected by -0.50 cm
208-1267A-13-3,55	116.950	128.55	Ties To	208-1263B-2-3,75	59.25	68.25	67.75	Westerhold et al. 2017, corrected by -0.50 cm
208-1267A-13-4,125	119.150	130.75	Ties To	208-1263A-8-2,103	61.83	71.93	71.43	Westerhold et al. 2017, corrected by -0.50 cm
208-1267B-14-3,135	121.410	134.91	Ties To	208-1263B-3-5,45	71.45	81.90	81.40	Westerhold et al. 2017, corrected by -0.50 cm
208-1267B-14-4,118	122.740	136.24	Ties To	208-1263A-9-4,82	74.12	85.26	84.76	Westerhold et al. 2017, corrected by -0.50 cm
208-1267B-14-5,138	124.440	137.93	Ties To	208-1263B-4-3,53	78.03	89.46	88.96	Westerhold et al. 2017, corrected by -0.50 cm
208-1267A-14-2,145	125.850	139.05	Ties To	208-1263B-4-5,47	80.97	92.40	91.90	Westerhold et al. 2017, corrected by -0.50 cm
208-1267A-14-3,47	126.370	139.57	Ties To	208-1263B-4-6,43	82.43	93.86	93.36	Westerhold et al. 2017, corrected by -0.50 cm
208-1267A-14-3,100	126.900	140.10	Ties To	208-1263A-10-4,110	83.90	95.19	94.69	Westerhold et al. 2017, corrected by -0.50 cm
208-1267A-14-5,28	129.180	142.38	Ties To	208-1263B-5-1,82	84.82	99.07	98.57	Westerhold et al. 2017, corrected by -0.50 cm
208-1267A-14-5,72	129.620	142.82	Ties To	208-1263B-5-2,106	86.39	100.64	100.14	Westerhold et al. 2017, corrected by -0.50 cm
208-1267A-14-5,120	130.100	143.30	Ties To	208-1263B-5-3,91	87.74	101.99	101.49	Westerhold et al. 2017, corrected by -0.50 cm
208-1267A-14-5,138	130.280	143.48	Ties To	208-1263B-5-4,22	88.55	102.80	102.30	Westerhold et al. 2017, corrected by -0.50 cm
208-1267A-14-6,25	130.650	143.85	Ties To	208-1263B-5-5,79	90.62	104.87	104.37	Westerhold et al. 2017, corrected by -0.50 cm
208-1267A-14-6,79	131.190	144.39	Ties To	208-1263C-1-4,80	95.30	108.02	107.52	Westerhold et al. 2017, corrected by -0.50 cm
208-1267B-15-3,54	130.140	144.54	Ties To	208-1263C-1-4,147	95.97	108.69	108.19	Westerhold et al. 2017, corrected by -0.50 cm
208-1267B-15-3,74	130.340	144.74	Ties To	208-1263B-6-2,30	95.30	110.57	110.07	Westerhold et al. 2017, corrected by -0.50 cm
208-1267B-15-3,114	130.740	145.14	Ties To	208-1263B-6-5,2	99.52	114.79	114.29	Westerhold et al. 2017, corrected by -0.50 cm
208-1267B-15-4,28	131.380	145.78	Ties To	208-1263C-2-2,2	101.02	118.52	118.02	Westerhold et al. 2017, corrected by -0.50 cm
208-1267B-15-4,134	132.440	146.84	Ties To	208-1263C-2-6,14	107.14	124.64	124.14	Westerhold et al. 2017, corrected by -0.50 cm
208-1267B-15-5,147	134.070	148.47	Ties To	208-1263B-8-2,85	114.85	136.42		Westerhold et al. 2017
208-1267A-15-2,148	135.380	149.08	Ties To	208-1263A-14-3,103	120.33	141.36		Westerhold et al. 2017
208-1267A-15-3,30	135.700	149.40	Ties To	208-1263A-14-6,56	122.95	143.98		Westerhold et al. 2017
208-1267A-15-3,70	136.100	149.80	Ties To	208-1263B-9-1,74	122.74	145.97		Westerhold et al. 2017
208-1267A-15-4,84	137.740	151.44	Ties To	208-1263B-10-1,40	131.90	155.94		Westerhold et al. 2017
208-1267A-15-5,12	138.520	152.22	Ties To	208-1263B-10-3,39	134.89	158.93		Westerhold et al. 2017
208-1267A-15-5,82	139.220	152.92	Ties To	208-1263A-16-2,14	136.94	162.07		Westerhold et al. 2017
