/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S17. Revised site-to-site correlation tie points between Sites 208-1263 and 208-1262. PANGAEA, https://doi.org/10.1594/PANGAEA.917526, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -27.185833 * LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00
	MINIMUM DEPTH, sediment/rock: 59.250 m * MAXIMUM DEPTH, sediment/rock: 287.390 m
Event(s):	208-1262 * LATITUDE: -27.185833 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00 * ELEVATION: -4755.4 m * Penetration: 583.9 m * Recovery: 502.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 54 cores; 493.9 m cored; 90 m drilled; 101.7 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tie point (Tie point) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: corrected
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1062 data points
*/
Sample label	Depth sed [m] (mbsf)	Depth comp [mcd]	Tie point	Sample label	Depth sed [m] (mbsf)	Depth comp r [rmcd]	Depth comp r [rmcd] (corrected)	Reference
208-1262A-7-3,27	60.270	71.66	Ties To	208-1263B-2-3,75	59.25	68.25	67.75	Westerhold et al. 2017, corrected by -0.50 cm
208-1262B-9-4,11	72.010	78.88	Ties To	208-1263A-10-6,92	86.72	98.01	97.51	Westerhold et al. 2017, corrected by -0.50 cm
208-1262A-8-1,90	67.400	81.44	Ties To	208-1263C-2-6,14	107.14	124.64	124.14	Westerhold et al. 2017, corrected by -0.50 cm
208-1262A-8-1,126	67.760	81.80	Ties To	208-1263B-8-2,85	114.85	136.42		Westerhold et al. 2017
208-1262A-8-2,78	68.700	82.74	Ties To	208-1263A-15-3,83	129.63	153.36		Westerhold et al. 2017
208-1262A-8-2,102	68.940	82.98	Ties To	208-1263B-10-1,127	132.77	156.81		Westerhold et al. 2017
208-1262A-8-3,46	69.880	83.92	Ties To	208-1263B-11-3,134	145.34	170.37		Westerhold et al. 2017
208-1262A-8-3,74	70.160	84.20	Ties To	208-1263B-11-6,1	148.51	173.54		Westerhold et al. 2017
208-1262A-8-3,104	70.460	84.50	Ties To	208-1263B-12-2,135	153.35	179.55		Westerhold et al. 2017
208-1262A-8-4,26	70.780	84.82	Ties To	208-1263B-12-6,35	157.05	183.25		Westerhold et al. 2017
208-1262A-8-5,7	71.200	85.24	Ties To	208-1263A-18-4,102	159.82	187.26		Westerhold et al. 2017
208-1262B-10-2,30	78.700	86.12	Ties To	208-1263A-19-3,64	167.44	196.50		Westerhold et al. 2017
208-1262B-10-2,74	79.140	86.56	Ties To	208-1263A-19-4,68	168.98	198.04		Westerhold et al. 2017
208-1262B-10-2,100	79.400	86.82	Ties To	208-1263A-19-4,145	169.75	198.81		Westerhold et al. 2017
208-1262B-10-3,34	80.240	87.66	Ties To	208-1263B-14-3,30	172.80	202.47		Westerhold et al. 2017
208-1262B-10-3,88	80.780	88.20	Ties To	208-1263B-14-5,10	175.60	205.27		Westerhold et al. 2017
208-1262B-10-3,110	81.000	88.42	Ties To	208-1263B-14-5,131	176.81	206.48		Westerhold et al. 2017
208-1262B-10-3,142	81.320	88.74	Ties To	208-1263A-20-3,18	176.48	207.84		Westerhold et al. 2017
208-1262B-10-4,102	82.420	89.84	Ties To	208-1263B-15-4,30	181.80	212.65		Westerhold et al. 2017
208-1262B-10-6,43	84.830	92.25	Ties To	208-1263B-16-3,124	190.74	223.87		Westerhold et al. 2017
208-1262B-10-6,66	85.060	92.48	Ties To	208-1263B-16-4,134	192.34	225.47		Westerhold et al. 2017
208-1262A-9-2,10	77.600	92.81	Ties To	208-1263B-16-6,102	195.02	228.15		Westerhold et al. 2017
208-1262A-9-2,32	77.820	93.03		208-gap in 1263, correlated to 1265		230.22		Westerhold et al. 2017
208-1262A-9-2,55	78.050	93.26		208-gap in 1263, correlated to 1265		231.55		Westerhold et al. 2017
208-1262A-9-2,73	78.230	93.44		208-gap in 1263, correlated to 1265		233.11		Westerhold et al. 2017
208-1262A-9-2,119	78.690	93.90	Ties To	208-1263B-19-2,76	203.26	235.86		Westerhold et al. 2017
208-1262A-9-2,144	78.940	94.15	Ties To	208-1263A-23-3,10	204.89	237.44		Westerhold et al. 2017
208-1262A-9-3,24	79.240	94.45	Ties To	208-1263A-23-3,126	206.05	238.60		Westerhold et al. 2017
208-1262A-9-3,92	79.920	95.13	Ties To	208-1263B-20-2,31	206.71	240.42		Westerhold et al. 2017
208-1262A-9-3,137	80.370	95.58	Ties To	208-1263B-20-3,4	207.94	241.65		Westerhold et al. 2017
208-1262A-9-4,22	80.720	95.93	Ties To	208-1263B-20-3,144	209.34	243.05		Westerhold et al. 2017
208-1262A-9-4,49	80.990	96.20	Ties To	208-1263B-20-4,76	210.16	243.87		Westerhold et al. 2017
208-1262A-9-4,84	81.340	96.55	Ties To	208-1263B-20-5,38	211.28	244.99		Westerhold et al. 2017
