/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S18. Calcareous Nannofossil Events at ODP Site 208-1263. PANGAEA, https://doi.org/10.1594/PANGAEA.917530, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM ELEVATION: -2717.1 m * MAXIMUM ELEVATION: -2717.1 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Comment:	Note: *ship, &Westerhold et al. 2017, B = Base, T = Top, Bc = Base common occurence, Tc = Top common occurence, Br = Base rare occurence.
Parameter(s):	Nannofossil event (Nannofossil e) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Standard deviation [±] (Std dev) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: Top
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: Bottom
	Depth, top/min [m] (Depth top) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, bottom/max [m] (Depth bot) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised top [rmcd] (Depth comp r top) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite revised bottom [rmcd] (Depth comp r bot) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite revised mean [rmcd] (Depth comp r mean) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite revised error [rmcd] (Depth comp r e) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	341 data points
*/
Nannofossil e	Tuned time [Ma]	Std dev [±]	Sample label (Top)	Sample label (Bottom)	Depth top [m] (mbsf)	Depth bot [m] (mbsf)	Depth comp r top [rmcd]	Depth comp r bot [rmcd]	Depth comp r mean [rmcd]	Depth comp r e [rmcd]
T Nannotetrina spp.*	42.13	0.120	1263A-15H-8,0	1263A-16H-1,45	135.23	135.75	158.98	160.89	159.93	0.95
B Reticulofenestra umbilicus >14µm*	42.50	0.059	1263A-16H-2,45	1263A-16H-2,140	137.25	138.20	162.38	163.33	162.86	0.47
T Nannotetrina fulgens*	44.53	0.597	1263B-11H-3,80	1263B-11H-4,80	144.80	146.30	169.83	171.33	170.58	0.75
T Chiasmolithus gigas*	43.35	0.082	1263B-12H-1,40	1263B-12H-1,140	150.90	151.90	177.09	178.07	177.58	0.49
B Reticulofenestra umbilicus >14µm*	44.16	0.057	1263B-11H-8,0	1263B-12H-9,0	150.76	160.46	175.68	186.86	181.27	5.59
B Chiasmolithus gigas*	45.62	0.029	1263B-13H-3,120	1263B-13H-4,40	164.21	164.90	192.38	193.07	192.73	0.34
B Nannotetrina fulgens*	46.41	0.027	1263B-14H-3,40	1263B-14H-3,120	172.90	173.70	202.57	203.37	202.97	0.40
B Nannotetrina spp.&	47.52	0.079	1263B-15H-6,65	1263A-21H-1,30	185.15	183.10	216.00	216.93	216.47	0.47
B Nannotetrina spp.*	47.67	0.051	1263A-21H-1,40	1263A-21H-1,140	183.20	184.20	217.03	218.03	217.53	0.50
T Discoaster lodoensis*	47.81	0.045	1263A-21H-2,40	1263A-21H-2,140	184.70	185.70	218.53	219.53	219.03	0.50
T Discoaster lodoensis&	47.85	0.045	1263A-21H-2,80	1263A-21H-3,30	185.10	186.10	218.93	219.93	219.43	0.50
B Blackites inflatus*	48.43	0.002	1263A-21H-7,55	1263A-21H-8,0	192.35	192.40	226.18	226.23	226.21	0.03
B Discoaster sublodoensis*	48.76	0.019	1263A-22H-3,130	1263A-22H-4,40	196.34	196.94	230.05	230.51	230.28	0.23
T Tribrachiatus orthostylus*	50.53	0.025	1263A-24H-3,140	1263A-24H-4,45	212.50	213.05	247.07	247.68	247.37	0.30
B Discoaster lodoensis*	52.92	0.038	1263A-27H-3,45	1263A-27H-3,140	235.55	236.50	275.58	276.53	276.06	0.48
B Toweius crassus*	53.39	0.121	1263A-27H-7,60	1263A-28H-1,80	241.20	242.40	281.02	284.92	282.97	1.95
T Discoaster multiradiatus*	53.65	0.043	1263A-28H-2,80	1263A-28H-3,80	243.90	245.40	286.42	287.92	287.17	0.75
Br Discoaster lodoensis&	53.66	0.019	1263A-28H-2,140	1263A-28H-3,57	244.50	245.17	287.02	287.69	287.36	0.33
B Girgisia gammation&	53.68	0.001	1263A-28H-3,57	1263A-28H-3,61	245.17	245.21	287.69	287.73	287.71	0.02
B Sphenolithus radians*	53.73	0.039	1263A-28H-3,80	1263A-28H-4,80	245.40	246.90	287.92	289.44	288.68	0.76
B Sphenolithus radians&	54.29	0.026	1263B-24H-6,131	1263C-10H-6,9	251.71	251.99	293.82	293.87	293.84	0.03
B Tribrachiatus orthostylus*	54.10	0.025	1263A-29H-1,50	1263A-29H-1,140	251.60	252.50	295.31	296.28	295.79	0.49
T Tribrachiatus contortus&	54.00	0.001	1263A-29H-1,115	1263A-29H-2,55	252.25	253.15	296.03	296.93	296.48	0.45
Tc Discoaster multiradiatus&	54.13	0.023	1263A-29H-3,105	1263A-29H-4,55	255.15	256.15	298.93	299.93	299.43	0.50
B Tribrachiatus orthostylus&	54.29	0.026	1263A-29H-3,105	1263A-29H-4,55	255.15	256.15	298.93	299.93	299.43	0.50
B Discoaster diastypus*	54.42	0.141	1263A-29H-3,140	1263A-29H-8,0	255.50	260.84	299.28	304.63	301.96	2.68
B Tribrachiatus contortus&	54.73	0.007	1263A-30H-2,30	1263A-30H-2,60	262.40	262.70	308.19	308.49	308.34	0.15
B Discoaster diastypus&	54.83	0.007	1263A-30H-3,93	1263A-30H-3,126	264.53	264.86	310.32	310.65	310.49	0.16
T Fasciculithus spp. *	55.45	0.057	1263A-32H-2,60	1263A-32H-4,60	273.70	276.70	322.78	325.78	324.28	1.50
B Tribrachiatus bramlettei&	55.52	0.006	1263A-32H-4,80	1263A-32H-4,113	276.90	277.23	325.98	326.31	326.15	0.17
T Fasciculithus spp.&	55.55	0.007	1263C-13H-5,10	1263A-32H-5,65	279.00	278.25	326.98	327.36	327.17	0.19
