/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S20. Magnetostratigraphic interpretation of characteristic remanent magnetization for ODP Site 208-1263. PANGAEA, https://doi.org/10.1594/PANGAEA.917718, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM DEPTH, sediment/rock: 46.520 m * MAXIMUM DEPTH, sediment/rock: 281.120 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite, adjusted [amcd] (Depth adj mcd) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Inclination [deg] (Incl) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Declination [deg] (Decl) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Maximum angular deviation [deg] (MAD) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Chronozone (Chronozone) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	6308 data points
*/
Sample label	Reference	Depth sed [m]	Depth comp r [rmcd]	Depth adj mcd [amcd]	Incl [deg]	Decl [deg]	MAD [deg]	Chronozone
208-1263B-1H-1,52	Bowles2006	46.520	53.820000	53.820	43.70	185.80	2.40	
208-1263B-1H-2,52	Bowles2006	48.020	55.320000	55.320	-5.70	181.90	3.20	
208-1263B-1H-3,52	Bowles2006	49.520	56.820000	56.820	-0.80	196.90	3.60	
208-1263B-1H-5,52	Bowles2006	52.520	59.820000	59.820	-9.70	231.80	1.20	
208-1263B-1H-6,52	Bowles2006	54.020	61.320000	61.320	-9.40	217.40	1.30	
208-1263B-2H-3,3	this study INGV	58.520	67.531000	67.531	6.70	358.19	0.79	C12n ?
208-1263B-2H-3,23	this study INGV	58.720	67.734000	67.734	6.01	358.75	0.73	C12n ?
208-1263B-2H-3,43	this study INGV	58.920	67.937000	67.937	-6.01	358.66	0.80	C12n ?
208-1263B-2H-3,63	this study INGV	59.120	68.140000	68.140	-11.51	6.71	0.86	C12n ?
208-1263B-2H-3,83	this study INGV	59.320	68.332000	68.332	-1.24	9.19	1.70	C12n ?
208-1263B-2H-3,103	this study INGV	59.520	68.515000	68.515	2.30	6.33	0.73	C12n ?
208-1263B-2H-3,123	this study INGV	59.720	68.718000	68.718	2.92	6.80	0.98	C12n ?
208-1263B-2H-3,143	this study INGV	59.920	68.920000	68.920	7.00	3.87	1.09	C12n ?
208-1263B-2H-4,13	this study INGV	60.120	69.123000	69.123	9.26	2.12	1.29	C12n ?
208-1263B-2H-4,33	this study INGV	60.320	69.326000	69.326	8.17	354.53	1.82	C12n ?
208-1263B-2H-4,53	this study INGV	60.520	69.529000	69.529	-6.09	9.30	0.88	C12n ?
208-1263B-2H-4,73	this study INGV	60.720	69.732000	69.732	0.54	188.09	1.62	C12n ?
208-1263B-2H-4,93	this study INGV	60.920	69.934000	69.934	6.12	2.24	1.83	C12n ?
208-1263B-2H-4,113	this study INGV	61.120	70.137000	70.137	3.83	351.79	2.27	C12n ?
208-1263B-2H-4,133	this study INGV	61.320	70.340000	70.340	9.68	4.17	1.71	C12n ?
208-1263B-2H-5,3	this study INGV	61.520	70.543000	70.543	10.46	3.09	2.14	C12n ?
208-1263B-2H-5,23	this study INGV	61.720	70.746000	70.746	24.81	2.76	1.49	C12n ?
208-1263B-2H-5,43	this study INGV	61.920	70.935000	70.935	16.68	359.44	2.87	C12n ?
208-1263A-8H-2,13	this study INGV	60.920	71.041000	71.041	66.54	14.09	1.44	C12r
208-1263B-2H-5,63	this study INGV	62.120	71.099000	71.092	9.77	6.89	2.24	C12r
208-1263B-2H-5,83	this study INGV	62.320	71.262000	71.232	34.98	3.17	2.37	C12r
208-1263A-8H-2,36	this study INGV	61.150	71.249000	71.249	69.35	25.55	1.62	C12r
208-1263A-8H-2,53	this study INGV	61.320	71.426000	71.426	73.63	23.81	1.40	C12r
208-1263A-8H-2,73	this study INGV	61.520	71.635000	71.635	71.41	15.35	1.24	C12r
208-1263A-8H-2,93	this study INGV	61.720	71.844000	71.844	70.59	25.19	0.75	C12r
208-1263A-8H-2,113	this study INGV	61.920	72.053000	72.053	72.88	31.23	0.80	C12r
208-1263A-8H-2,133	this study INGV	62.120	72.262000	72.262	65.69	14.58	1.84	C12r
208-1263A-8H-3,3	this study INGV	62.320	72.453000	72.453	28.14	1.10	6.01	C12r
208-1263A-8H-3,23	this study INGV	62.520	72.626000	72.626	55.52	353.56	7.27	C12r
208-1263A-8H-3,43	this study INGV	62.720	72.835000	72.835	39.19	8.87	9.70	C12r
208-1263A-8H-3,63	this study INGV	62.920	73.044000	73.044	18.04	5.33	1.32	C12r
208-1263A-8H-3,83	this study INGV	63.120	73.253000	73.253	20.96	9.38	2.00	C12r
208-1263A-8H-3,103	this study INGV	63.320	73.462000	73.462	24.98	9.03	1.90	C12r
208-1263A-8H-3,123	this study INGV	63.520	73.636000	73.636	25.73	3.95	2.32	C12r
208-1263A-8H-3,143	this study INGV	63.720	73.825000	73.825	29.08	355.05	2.26	C12r
208-1263A-8H-4,13	this study INGV	63.920	74.034000	74.034	19.95	6.28	3.20	C12r
208-1263A-8H-4,32	this study INGV	64.110	74.233000	74.233	27.24	359.44	3.37	C12r
208-1263A-8H-4,53	this study INGV	64.320	74.449000	74.449	21.23	9.00	4.03	C12r
208-1263A-8H-4,73	this study INGV	64.520	74.625000	74.625	48.68	346.70	3.18	C12r
208-1263A-8H-4,93	this study INGV	64.720	74.834000	74.834	34.13	354.84	4.75	C12r
208-1263A-8H-4,112	this study INGV	64.910	75.033000	75.033	21.62	9.73	2.13	C12r
208-1263A-8H-4,133	this study INGV	65.120	75.252000	75.252	26.77	5.64	2.08	C12r
208-1263A-8H-5,3	this study INGV	65.320	75.455000	75.455	72.61	3.53	8.14	C12r
208-1263A-8H-5,23	this study INGV	65.520	75.622000	75.622	83.30	30.12	2.60	C12r
208-1263A-8H-5,41	this study INGV	65.700	75.804000	75.804	74.11	191.71	2.80	C12r
208-1263A-8H-5,63	this study INGV	65.920	76.034000	76.034	80.68	355.46	2.21	C12r
208-1263A-8H-5,83	this study INGV	66.120	76.243000	76.243	78.99	217.67	1.78	C12r
208-1263A-8H-5,103	this study INGV	66.320	76.451000	76.451	73.67	356.68	7.53	C12r
208-1263A-8H-5,120	this study INGV	66.490	76.609000	76.609	65.10	354.64	5.50	C12r
208-1263A-8H-5,136	this study INGV	66.650	76.760000	76.760	49.77	10.92	3.36	C12r
208-1263A-8H-6,13	this study INGV	66.920	77.042000	77.042	79.59	269.45	2.29	C12r
208-1263A-8H-6,33	this study INGV	67.120	77.251000	77.251	55.76	342.45	4.36	C12r
208-1263B-3H-2,41	this study INGV	66.900	77.351000	77.351	73.74	347.99	1.28	C12r
208-1263A-8H-6,53	this study INGV	67.320	77.460000	77.460	74.93	227.77	2.04	C12r
208-1263B-3H-2,61	this study INGV	67.100	77.554000	77.554	58.04	7.90	5.73	C12r
208-1263B-3H-2,81	this study INGV	67.300	77.757000	77.757	49.23	355.94	1.34	C12r
208-1263B-3H-2,101	this study INGV	67.500	77.960000	77.960	57.06	335.44	2.18	C12r
208-1263B-3H-2,121	this study INGV	67.700	78.162000	78.162	57.27	289.11	1.02	C12r
208-1263B-3H-2,141	this study INGV	67.900	78.365000	78.365	70.22	292.47	3.66	C12r
208-1263B-3H-3,11	this study INGV	68.100	78.568000	78.568	52.19	28.17	2.56	C12r
208-1263B-3H-3,31	this study INGV	68.300	78.755000	78.755	38.93	0.85	1.46	C12r
208-1263B-3H-3,51	this study INGV	68.500	78.947000	78.947	9.63	6.04	1.52	C12r
208-1263B-3H-3,71	this study INGV	68.700	79.150000	79.150	25.71	0.52	1.63	C12r
208-1263B-3H-3,91	this study INGV	68.900	79.353000	79.353	6.71	356.01	1.71	C12r
208-1263B-3H-3,111	this study INGV	69.100	79.555000	79.555	5.00	0.72	1.38	C12r
208-1263B-3H-3,131	this study INGV	69.300	79.758000	79.758	23.04	359.01	1.58	C12r
208-1263B-3H-4,2	this study INGV	69.510	79.971000	79.971	12.65	1.70	1.64	C12r
208-1263B-3H-4,4.5	this study INGV	69.535	79.997000	79.997	1.76	174.43	3.18	C12r
208-1263B-3H-4,21	this study INGV	69.700	80.164000	80.164	13.99	1.48	1.80	C12r
208-1263B-3H-4,41	this study INGV	69.900	80.367000	80.367	8.10	355.69	1.70	C12r
208-1263B-3H-4,48.5	this study INGV	69.975	80.443000	80.443	7.85	0.56	1.31	C12r
208-1263B-3H-4,61	this study INGV	70.100	80.569000	80.569	-4.66	6.39	3.01	C12r
208-1263B-3H-4,81	this study INGV	70.300	80.752000	80.752	-12.17	10.29	1.11	C12r
208-1263B-3H-4,97	this study INGV	70.460	80.912000	80.912	11.18	3.69	2.03	C12r
208-1263B-3H-4,101	this study INGV	70.500	80.952000	80.952	8.39	5.82	3.34	C12r
208-1263B-3H-4,121	this study INGV	70.700	81.155000	81.155	7.34	4.00	0.89	C12r
208-1263B-3H-4,141	this study INGV	70.900	81.358000	81.358	32.61	8.70	1.53	C12r
208-1263B-3H-4,143	this study INGV	70.920	81.378000	81.378	45.73	319.06	2.57	C12r
208-1263B-3H-5,11	this study INGV	71.100	81.561000	81.561	27.67	356.61	1.28	C12r
208-1263B-3H-5,31	this study INGV	71.300	81.763000	81.763	37.55	352.41	1.71	C12r
208-1263A-9H-2,43	this study INGV	70.720	81.850000	81.838	42.20	16.01	1.87	C12r
208-1263B-3H-5,51	this study INGV	71.500	81.966000	81.964	25.21	2.50	3.01	C12r
208-1263B-3H-5,54	this study INGV	71.530	81.997000	81.992	52.48	334.82	3.00	C12r
208-1263A-9H-2,63	this study INGV	70.920	82.067000	82.067	6.57	346.51	0.86	C12r
208-1263B-3H-5,71	this study INGV	71.700	82.158000	82.141	22.70	356.16	6.44	C12r
208-1263A-9H-2,83	this study INGV	71.120	82.276000	82.276	36.89	336.71	2.30	C12r
208-1263B-3H-5,91	this study INGV	71.900	82.321000	82.290	44.01	347.07	3.30	C12r
208-1263A-9H-2,98	this study INGV	71.270	82.432000	82.432	77.67	308.33	1.82	C12r
208-1263B-3H-5,111	this study INGV	72.100	82.491000	82.447	26.99	353.86	1.85	C12r
208-1263A-9H-2,103	this study INGV	71.320	82.485000	82.485	28.99	346.22	2.40	C12r
208-1263B-3H-5,131	this study INGV	72.300	82.679000	82.619	37.28	358.05	2.50	C12r
208-1263A-9H-2,123	this study INGV	71.520	82.681000	82.681	49.08	351.25	2.81	C12r
208-1263A-9H-2,143	this study INGV	71.720	82.848000	82.848	56.54	310.96	0.93	C12r
208-1263A-9H-2,143	this study INGV	71.720	82.848000	82.848	10.32	8.08	1.25	C12r
208-1263B-3H-6,2	this study INGV	72.510	82.906000	82.871	67.56	34.60	3.38	C12r
208-1263A-9H-3,13	this study INGV	71.920	83.057000	83.057	23.21	356.70	1.60	C12r
208-1263B-3H-6,21	this study INGV	72.700	83.112000	83.099	67.23	358.60	3.56	C12r
208-1263A-9H-3,33	this study INGV	72.120	83.266000	83.266	12.72	6.17	1.54	C12r
208-1263B-3H-6,41	this study INGV	72.900	83.325000	83.325	84.33	83.44	2.20	C12r
208-1263A-9H-3,47.5	this study INGV	72.265	83.418000	83.418	62.12	303.33	1.29	C12r
208-1263A-9H-3,53	this study INGV	72.320	83.475000	83.475	14.54	339.12	1.65	C12r
208-1263B-3H-6,63	this study INGV	73.120	83.515000	83.513	83.98	347.76	2.54	C12r
208-1263B-3H-6,81	this study INGV	73.300	83.661000	83.643	59.35	21.35	1.87	C12r
208-1263A-9H-3,73	this study INGV	72.520	83.675000	83.675	9.55	359.43	1.22	C12r
208-1263B-3H-6,101	this study INGV	73.500	83.857000	83.816	54.52	325.60	0.90	C12r
208-1263A-9H-3,90	this study INGV	72.690	83.826000	83.826	5.85	330.37	1.29	C12r
208-1263A-9H-3,99	this study INGV	72.780	83.920000	83.920	41.83	7.65	2.85	C12r
208-1263B-3H-6,119	this study INGV	73.680	84.039000	83.978	65.51	321.58	2.37	C12r
208-1263A-9H-3,113	this study INGV	72.920	84.066000	84.066	10.02	347.05	2.15	C12r
208-1263B-3H-7,19	this study INGV	73.880	84.242000	84.158	68.38	273.62	1.97	C12r
208-1263A-9H-3,133	this study INGV	73.120	84.275000	84.275	21.52	358.61	2.58	C12r
208-1263B-3H-7,41	this study INGV	74.100	84.465000	84.369	56.84	275.83	2.54	C12r
208-1263A-9H-3,143	this study INGV	73.220	84.379000	84.379	61.44	331.14	1.35	C12r
208-1263A-9H-4,6	this study INGV	73.350	84.515000	84.515	30.57	1.93	3.18	C12r
208-1263B-3H-7,61	this study INGV	74.300	84.668000	84.583	40.27	320.81	5.45	C12r
208-1263A-9H-4,23	this study INGV	73.520	84.693000	84.693	23.10	359.22	2.21	C12r
208-1263A-9H-4,43	this study INGV	73.720	84.866000	84.866	9.11	349.56	1.40	C12r
208-1263A-9H-4,55.5	this study INGV	73.845	84.978000	84.978	52.28	312.06	3.48	C12r
208-1263A-9H-4,61	this study INGV	73.900	85.036000	85.036	29.27	354.42	2.40	C12r
208-1263A-9H-4,83	this study INGV	74.120	85.266000	85.266	19.37	357.94	4.10	C12r
208-1263B-4H-1,12	this study INGV	74.610	85.880000	85.448	54.00	288.80	2.10	C12r
208-1263A-9H-4,104	this study INGV	74.330	85.485000	85.485	45.08	62.15	3.35	C12r
208-1263A-9H-4,121	this study INGV	74.500	85.663000	85.663	15.53	346.31	4.03	C12r
208-1263B-4H-1,32	this study INGV	74.810	86.097000	85.688	58.96	315.52	1.69	C12r
208-1263A-9H-4,143	this study INGV	74.720	85.857000	85.857	54.22	326.43	2.05	C12r
208-1263A-9H-4,143	this study INGV	74.720	85.857000	85.857	34.51	352.00	2.50	C12r
208-1263B-4H-1,52	this study INGV	75.010	86.313000	85.977	35.64	355.38	2.45	C12r
208-1263A-9H-5,13	this study INGV	74.920	86.047000	86.047	3.08	347.73	1.20	C12r
208-1263A-9H-5,31	this study INGV	75.100	86.235000	86.235	19.97	355.03	2.00	C12r
208-1263B-4H-1,72	this study INGV	75.210	86.529000	86.298	41.99	357.55	1.41	C12r
208-1263A-9H-5,48	this study INGV	75.270	86.413000	86.413				C12r
208-1263A-9H-5,53	this study INGV	75.320	86.465000	86.465	27.22	354.25	1.53	C12r
208-1263B-4H-1,92	this study INGV	75.410	86.746000	86.613	42.70	9.10	1.05	C12r
208-1263A-9H-5,73	this study INGV	75.520	86.674000	86.674	17.10	2.59	1.79	C12r
208-1263A-9H-5,91	this study INGV	75.700	86.862000	86.862	25.38	357.34	4.01	C12r
208-1263B-4H-1,112	this study INGV	75.610	86.962000	86.889	45.51	9.34	0.95	C12r
208-1263A-9H-5,98	this study INGV	75.770	86.935000	86.935				C12r/C13n
208-1263A-9H-5,113	this study INGV	75.920	87.065000	87.065	11.43	335.44	1.35	C12r/C13n
208-1263B-4H-1,132	this study INGV	75.810	87.140000	87.102	15.65	15.02	0.73	C12r/C13n
208-1263A-9H-5,133	this study INGV	76.120	87.232000	87.232	17.27	357.48	1.22	C12r/C13n
208-1263B-4H-2,2	this study INGV	76.010	87.315000	87.280	-9.73	7.42	1.48	C12r/C13n
208-1263A-9H-6,3	this study INGV	76.320	87.438000	87.438	6.34	354.17	0.81	C12r/C13n
208-1263B-4H-2,22	this study INGV	76.210	87.532000	87.502	-3.29	8.03	2.29	C12r/C13n
208-1263A-9H-6,16	this study INGV	76.450	87.573000	87.573				C12r/C13n
208-1263A-9H-6,23	this study INGV	76.520	87.647000	87.647	-13.55	4.83	1.16	C12r/C13n
208-1263B-4H-2,42	this study INGV	76.410	87.765000	87.740	-22.29	23.84	2.85	C12r/C13n
208-1263A-9H-6,43	this study INGV	76.720	87.855000	87.855	-6.03	356.76	1.21	C12r/C13n
208-1263B-4H-2,62	this study INGV	76.610	88.022000	88.004	-32.64	26.56	2.71	C13n
208-1263A-9H-6,58	this study INGV	76.870	88.012000	88.012				C13n
208-1263A-9H-6,63	this study INGV	76.920	88.064000	88.064	-20.29	353.95	2.16	C13n
208-1263B-4H-2,82	this study INGV	76.810	88.239000	88.228	-46.77	40.68	3.95	C13n
208-1263A-9H-6,83	this study INGV	77.120	88.273000	88.273	-8.22	352.09	2.27	C13n
208-1263A-9H-6,96	this study INGV	77.250	88.397000	88.397				C13n
208-1263B-4H-2,102	this study INGV	77.010	88.444000	88.441	-19.87	17.25	3.59	C13n
208-1263A-9H-7,3	this study INGV	77.320	88.455000	88.455	-1.78	187.53	1.06	C13n
208-1263B-4H-2,122	this study INGV	77.210	88.647000	88.647	-28.38	36.23	2.21	C13n
208-1263A-9H-7,25	this study INGV	77.540	88.630000	88.675	-44.56	359.01	1.84	C13n
208-1263B-4H-2,141	this study INGV	77.400	88.839000	88.839	-15.52	21.70	2.37	C13n
208-1263A-9H-7,43	this study INGV	77.720	88.771000	88.879	-13.40	0.27	2.50	C13n
208-1263B-4H-3,7	this study INGV	77.560	89.002000	89.002	-29.14	342.02	1.71	C13n
208-1263B-4H-3,12	this study INGV	77.610	89.052000	89.052	-12.03	9.62	1.60	C13n
