Sample label	Depth sed [m]	Depth comp r [rmcd]	Tuned time [Ma]	Foram benth δ13C [‰ PDB]	Foram benth δ18O [‰ PDB]	Foram benth	Reference	Method comm	Comment
208-1263B-5H-6,46-48	91.800	105.550	35.605154	1.2880	1.3500	CPRAE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,46-48	91.800	105.550	35.605154	0.6220	1.6570	OUMB	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,50-52	91.840	105.590	35.614077	1.2820	1.4350	CPRAE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,50-52	91.840	105.590	35.614077	0.5650	1.7550	OUMB	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,54-56	91.880	105.630	35.623000	1.2420	1.3310	CPRAE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,54-56	91.880	105.630	35.623000	0.1600	1.5100	OUMB	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,58-60	91.920	105.670	35.631923	1.1930	1.2810	CPRAE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,58-60	91.920	105.670	35.631923	0.4550	1.6900	OUMB	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,63-65	91.970	105.720	35.643077	1.2020	1.2980	CPRAE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,63-65	91.970	105.720	35.643077	0.4140	1.6030	OUMB	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,66-68	92.000	105.750	35.649769	1.3080	1.3670	CPRAE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,70-72	92.040	105.790	35.658692	1.1840	1.3930	CPRAE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,70-72	92.040	105.790	35.658692	0.4500	1.7020	OUMB	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,74-76	92.080	105.830	35.667615	1.1610	1.2530	CPRAE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,78-80	92.120	105.870	35.676538	1.1620	1.2610	CPRAE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,78-80	92.120	105.870	35.676538	0.5460	1.5050	OUMB	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,82-84	92.160	105.910	35.685462	1.1350	1.3000	CPRAE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,82-84	92.160	105.910	35.685462	0.4970	1.6790	OUMB	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,87-89	92.210	105.960	35.696615	1.1370	1.5840	CPRAE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,87-89	92.210	105.960	35.696615	0.2440	1.7460	OUMB	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,90-92	92.240	105.990	35.703308	1.1840	1.3130	CPRAE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,90-92	92.240	105.990	35.703308	0.4380	1.7180	OUMB	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1263B-5H-6,94-96	92.280	106.030	35.712231	1.0970	1.1440	CPRAE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
