Sample label	Depth sed [m] (mbsf)	Depth comp r [rmcd]	Tuned time [Ma]	Foram benth δ13C [‰ PDB] (vs. VPDB)	Foram benth δ18O [‰ PDB] (vs. VPDB)	Foram benth	Reference	Method comm	Comment (error)	Method comm
208-1264A-3H-6, 92.5-93.5	27.230	33.120	3.951720	0.69	2.58	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-3H-6, 95-96	27.255	33.145	3.954610	0.92	2.56	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-3H-6, 98-99	27.285	33.175	3.958078	0.73	2.58	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-3H-6, 99.5-100.5	27.300	33.190	3.959812	0.71	2.28	CKULL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-3H-6, 99.5-100.5	27.300	33.190	3.959812	0.77	2.89	CKULL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-3H-6, 102-103	27.325	33.215	3.962702	0.54	2.60	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-3H-6, 104.5-105.5	27.350	33.240	3.965592	0.47	2.69	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-3H-6, 107-108	27.375	33.265	3.968482	0.74	2.80	CKULL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-3H-6, 107-108	27.375	33.265	3.968482	0.43	2.34	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-3H-6, 107-108	27.375	33.265	3.968482	0.91	2.62	CKULL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-3H-6, 107-108	27.375	33.265	3.968482	0.85	2.56	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-3H-6, 109.5-110.5	27.400	33.290	3.971372	0.76	2.80	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-3H-6, 112-113	27.425	33.313	3.974054	0.64	2.58	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-3H-6, 112-113	27.425	33.313	3.974054	0.79	2.71	CKULL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-3H-6, 114.5-115.5	27.450	33.329	3.975881	0.70	2.76	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-5H-2, 112-113	40.425	49.105	4.814862	0.89	2.75	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-5H-2, 114.5-115.5	40.450	49.130	4.817211	0.89	2.76	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-5H-2, 117-118	40.475	49.155	4.819559	0.82	2.73	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-5H-2, 119.5-120.5	40.500	49.180	4.821908	0.55	2.49	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-5H-2, 122-123	40.525	49.205	4.824257	0.83	2.82	CKULL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-5H-2, 124.5-125.5	40.550	49.230	4.826605	0.89	2.83	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-5H-2, 130-131	40.605	49.285	4.831772	0.95	2.37	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-5H-2, 130-131	40.605	49.285	4.831772	0.84	2.73	CKULL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-5H-2, 132-133	40.625	49.305	4.833651	0.74	2.69	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-5H-2, 134.5-135.5	40.650	49.330	4.836000	0.91	2.44	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264A-5H-2, 137-138	40.675	49.355	4.837604	0.87	2.54	PWUEL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
208-1264B-6H-2, 69.5-70.5	47.500	53.760	5.040589	0.65	2.50	CKULL	MARUM Bremen this study	Finnigan MAT 251 with Kiel I	(Solnhofen limestone) 0.03per mil for d13C; 0.04per mil for d18O	250-500 µm
