Age	C13organic
0	-22.05
0.01	-22.03
0.15	-21.44
0.29	-22.08
0.34	-22.56
0.48	-22.62
0.62	-22.04
0.79	-22.88
0.87	-21.70
0.94	-21.70
1.04	-20.99
1.12	-20.88
1.20	-21.92
1.29	-21.90
1.37	-21.34
1.45	-22.82
1.54	-21.49
1.62	-22.19
1.70	-21.50
1.79	-21.50
1.87	-22.90
1.95	-23.03
2.04	-22.09
2.12	-23.28
2.20	-22.26
2.29	-21.44
2.37	-21.58
2.45	-22.09
2.54	-21.87
2.64	-21.41
2.77	-22.61
2.92	-23.24
3.04	-21.60
3.17	-22.75
3.31	-21.49
3.44	-22.68
3.56	-23.77
3.78	-23.04
3.97	-21.72
4.16	-21.64
4.39	-22.87
4.58	-21.10
4.77	-21.66
5.00	-23.16
5.19	-22.73
5.38	-22.09
5.61	-22.71
5.79	-21.68
5.98	-22.49
6.21	-23.65
6.40	-23.29
6.56	-22.70
6.75	-22.08
6.94	-23.37
7.17	-24.32
7.36	-22.77
7.56	-23.14
7.88	-23.39
8.05	-23.41
8.28	-23.38
8.52	-23.67
8.71	-23.14
8.87	-24.32
9.07	-23.12
9.23	-23.42
9.39	-23.78
9.58	-23.28
9.73	-24.13
9.89	-23.62
10.05	-23.27
10.18	-23.83
10.30	-23.00
10.46	-22.70
10.59	-23.31
10.75	-24.71
10.88	-23.84
11.01	-23.29
11.14	-23.28
11.29	-23.52
11.42	-24.31
11.54	-23.98
11.64	-23.59
11.73	-24.68
11.82	-24.54
11.92	-23.06
12.06	-23.17
12.21	-22.77
12.38	-23.96
12.52	-22.60
12.65	-22.83
12.82	-23.49
12.98	-22.92
13.12	-23.13
13.34	-22.53
13.52	-22.34
13.67	-22.11
13.88	-22.62
14.00	-23.87
14.43	-23.88
14.58	-22.99
14.77	-22.92
15.02	-22.60
15.25	-23.30
15.49	-22.93
15.84	-23.52
16.19	-23.30
16.49	-23.85
16.89	-22.59
17.10	-23.57
17.35	-22.39
17.65	-22.81
17.85	-22.68
18.12	-22.91
18.40	-22.87
18.60	-22.84
18.73	-24.24
20.48	-23.20
21.02	-23.47
21.38	-23.65
21.66	-23.70
21.90	-23.31
22.23	-22.18
22.47	-22.53
22.63	-22.56
22.72	-23.01
22.89	-23.18
23.11	-23.84
23.37	-22.58
23.58	-24.61
23.68	-23.78
24.07	-23.03
24.27	-23.98
24.58	-22.03
24.76	-24.60
24.83	-23.34
24.85	-24.57
26.50	-25.47
26.90	-23.49
27.22	-24.54
27.61	-23.73
28.64	-23.69
29.17	-24.84
34.31	-24.44
34.53	-24.55
35.18	-24.68
35.44	-22.49
35.56	-25.26
36.00	-24.80
36.62	-26.02
36.84	-25.22
36.98	-25.55
39.84	-25.40
40.12	-24.42
23.89	-24.33
24.46	-24.23
25.07	-24.48
25.60	-23.98
26.77	-24.26
27.31	-25.02
27.81	-25.33
