core	age_calkaBP	d18Obenth	d18Ow	sealevel
Vema 1930	0.00	2.87	0.14	-10.86
Vema 1930	1.31	2.84	0.11	-8.46
Vema 1930	2.84	2.67	-0.06	5.14
Vema 1930	3.57	2.79	0.06	-4.46
Vema 1930	4.31	2.63	-0.10	8.34
Vema 1930	5.45	2.76	0.03	-2.06
Vema 1930	6.13	2.75	0.02	-1.26
Vema 1930	6.77	2.65	-0.08	6.74
Vema 1930	7.71	2.92	0.19	-14.86
Vema 1930	8.90	2.92	0.19	-14.86
Vema 1930	9.48	2.88	0.15	-11.66
Vema 1930	10.03	2.89	0.16	-12.46
Vema 1930	10.55	2.82	0.09	-6.86
Vema 1930	10.98	2.84	0.11	-8.46
Vema 1930	11.50	2.82	0.09	-6.86
Vema 1930	11.88	3.21	0.48	-38.06
Vema 1930	12.26	3.05	0.32	-25.26
Vema 1930	12.60	3.23	0.50	-39.66
Vema 1930	12.92	2.78	0.05	-3.66
Vema 1930	13.24	3.34	0.61	-48.46
Vema 1930	13.54	3.26	0.23	-18.03
Vema 1930	13.84	3.23	0.20	-15.63
Vema 1930	14.13	3.25	0.22	-17.23
Vema 1930	14.43	3.74	0.71	-56.43
Vema 1930	14.73	3.46	0.43	-34.03
Vema 1930	15.02	3.61	0.58	-46.03
Vema 1930	15.31	3.52	0.49	-38.83
Vema 1930	15.59	3.80	0.77	-61.23
Vema 1930	15.88	4.09	1.06	-84.43
Vema 1930	16.16	4.00	0.97	-77.23
Vema 1930	16.54	4.20	1.17	-93.23
Vema 1930	16.83	4.27	1.24	-98.83
Vema 1930	17.11	4.28	1.25	-99.63
Vema 1930	17.39	4.19	1.16	-92.43
Vema 1930	17.67	4.15	1.12	-89.23
Vema 1930	17.95	4.58	1.55	-123.63
Vema 1930	18.23	4.56	1.53	-122.03
Vema 1930	18.50	4.44	1.41	-112.43
Vema 1930	18.76	4.35	1.32	-105.23
Vema 1930	19.03	4.51	1.48	-118.03
Vema 1930	19.26	4.49	1.46	-116.43
Vema 1930	19.53	4.36	1.33	-106.03
Vema 1930	19.77	4.34	1.31	-104.43
Vema 1930	20.00	4.23	1.20	-95.63
Vema 1930	20.24	4.48	1.45	-115.63
Vema 1930	20.47	4.50	1.47	-117.23
Vema 1930	20.84	4.32	1.29	-102.83
Vema 1930	21.13	4.31	1.28	-102.03
Vema 1930	21.34	4.43	1.40	-111.63
Vema 1930	21.55	4.46	1.43	-114.03
Vema 1930	21.76	4.25	1.22	-97.23
Vema 1930	21.96	4.41	1.38	-110.03
Vema 1930	22.17	4.35	1.32	-105.23
Vema 1930	22.37	4.36	1.33	-106.03
Vema 1930	22.57	4.25	1.22	-97.23
Vema 1930	22.77	4.25	1.22	-97.23
Vema 1930	22.97	4.32	1.29	-102.83
Vema 1930	23.17	4.32	1.29	-102.83
Vema 1930	23.37	4.34	1.31	-104.43
Vema 1930	23.57	4.29	1.26	-100.43
Vema 1930	23.77	4.29	1.26	-100.43
Vema 1930	23.97	4.48	1.45	-115.63
Vema 1930	24.17	4.32	1.29	-102.83
Vema 1930	24.37	4.33	1.30	-103.63
Vema 1930	24.58	4.30	1.27	-101.23
Vema 1930	24.79	4.23	1.20	-95.63
Vema 1930	25.00	4.32	1.29	-102.83
Vema 1930	25.22	4.41	1.38	-110.03
Vema 1930	25.45	4.27	1.24	-98.83
Vema 1930	25.67	4.14	1.11	-88.43
Vema 1930	25.90	4.28	1.25	-99.63
Vema 1930	26.14	4.42	1.39	-110.83
Vema 1930	26.37	4.28	1.25	-99.63
Vema 1930	26.62	4.19	1.16	-92.43
Vema 1930	26.88	4.12	1.09	-86.83
Vema 1930	27.13	4.17	1.14	-90.83
Vema 1930	27.40	4.17	1.14	-90.83
Vema 1930	27.68	4.23	1.20	-95.63
Vema 1930	27.95	4.12	1.09	-86.83
Vema 1930	28.25	4.20	1.17	-93.23
Vema 1930	28.55	4.09	1.06	-84.43
Vema 1930	28.85	3.98	0.95	-75.63
Vema 1930	29.17	3.91	0.88	-70.03
Vema 1930	29.48	3.89	0.86	-68.43
Vema 1930	29.81	4.05	1.02	-81.23
Vema 1930	30.14	4.00	0.97	-77.23
Vema 1930	30.47	4.03	1.00	-79.63
Vema 1930	30.81	3.99	0.96	-76.43
Vema 1930	31.16	3.71	0.68	-54.03
Vema 1930	31.51	3.92	0.89	-70.83
