"Order","Family","Genus","Species","Status","Country","State","Period","Epoch","overlap_percentage","Min age","Max age","Collection number","Collection authorizer","Reference","Note"
"Paucituberculata","Abderitidae","Abderites","meridionalis","extinct","Argentina","Chubut","Neogene","Miocene",100,17.5,21,176205,"J. Zijlstra","NA",NA
"Paucituberculata","Abderitidae","Abderites","meridionalis","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,11.608,15.97,27313,"J. Head","NA",NA
"Paucituberculata","Abderitidae","Abderites","meridionalis","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176565,"J. Zijlstra","NA",NA
"Paucituberculata","Abderitidae","Abderites","meridionalis","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176570,"J. Zijlstra","NA",NA
"Paucituberculata","Abderitidae","Abderites","meridionalis","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176594,"J. Zijlstra","NA",NA
"Paucituberculata","Abderitidae","Abderites","meridionalis","extinct","Chile","Aisén","Neogene","Miocene",100,15.5,16.3,139845,"C. Jaramillo","NA",NA
"Paucituberculata","Abderitidae","Abderites",NA,"extinct","Argentina","Neuquén","Neogene","Miocene",100,17.5,21,89029,"D. Croft","NA",NA
"Paucituberculata","Abderitidae","Abderites",NA,"extinct","Peru","Loreto","Paleogene","Oligocene",100,23.03,28.4,176130,"J. Zijlstra","NA",NA
"Paucituberculata","Abderitiidae","Pithiculites","chenche","extinct","Colombia","NA","Neogene","Miocene",100,15.5,16.3,13750,"J. Alroy","https://www.jstor.org/stable/1306970",NA
"Paucituberculata","Abderitidae","Pitheculites","rothi","extinct","Chile","Aisén","Neogene","Miocene",100,15.5,16.3,139845,"C. Jaramillo","NA",NA
"Paucituberculata","Abderitidae","Pitheculites",NA,"extinct","Argentina","Neuquén","Neogene","Miocene",100,17.5,21,89029,"D. Croft","NA",NA
"Rodentia","Abrocomidae","Abrocoma","antiqua","extinct","Argentina","La Pampa","Neogene","Miocene",100,6.8,9,87198,"J. Alroy","NA",NA
"Rodentia","Abrocomidae","Abrocoma","antiqua","extinct","Argentina","La Pampa","Neogene","Miocene",100,6.8,9,204598,"P. Mannion","NA",NA
"Rodentia","Abrocomidae","Abrocoma","boliviensis","extinct","Argentina","Catamarca","Neogene","Miocene",100,7.14,7.7,198543,"P. Mannion","NA",NA
"Rodentia","Abrocomidae","Abrocoma","boliviensis","extinct","Argentina","Catamarca","Neogene","Miocene",100,6.8,9,198546,"P. Mannion","NA",NA
"Rodentia","Abrocomidae","Abrocoma","boliviensis","extinct","Argentina","Catamarca","Neogene","Miocene",100,7.14,8,198547,"P. Mannion","NA",NA
"Rodentia","Abrocomidae","Ameghinomys","constans","extinct","Argentina","San Juan","Neogene","Miocene",100,16.3,17.5,197900,"P. Mannion","https://www.mindat.org/taxon-P394213.html",NA
"Rodentia","Abrocomidae","Ameghinomys","constans","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176564,"J. Zijlstra","https://www.mindat.org/taxon-P394213.html",NA
