"","Order","Family","Genus","Species","Status","Country","State","Period","Epoch","Pct_age_range_in_Epoch","Min.age","Max.age","Collection.number","Collection.authorizer","Reference"
"1",NA,"Abderitidae","Abderites","meridionalis","extinct","Argentina","Chubut","Neogene","Miocene",100,17.5,21,176205,"J. Zijlstra",NA
"2",NA,"Abderitidae","Abderites","meridionalis","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,11.608,15.97,27313,"J. Head",NA
"3",NA,"Abderitidae","Abderites","meridionalis","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176565,"J. Zijlstra",NA
"4",NA,"Abderitidae","Abderites","meridionalis","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176570,"J. Zijlstra",NA
"5",NA,"Abderitidae","Abderites","meridionalis","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176594,"J. Zijlstra",NA
"6",NA,"Abderitidae","Abderites","meridionalis","extinct","Chile","Aisén","Neogene","Miocene",100,15.5,16.3,139845,"C. Jaramillo",NA
"7",NA,"Abderitidae","Abderites",NA,"extinct","Argentina","Neuquén","Neogene","Miocene",100,17.5,21,89029,"D. Croft",NA
"8",NA,"Abderitidae","Abderites",NA,"extinct","Peru","Loreto","Paleogene","Oligocene",100,23.03,28.4,176130,"J. Zijlstra",NA
"9",NA,"Abderitidae","Pitheculites","rothi","extinct","Chile","Aisén","Neogene","Miocene",100,15.5,16.3,139845,"C. Jaramillo",NA
"10",NA,"Abderitidae","Pitheculites",NA,"extinct","Argentina","Neuquén","Neogene","Miocene",100,17.5,21,89029,"D. Croft",NA
"11",NA,"Abrocomidae","Protabrocoma","paranensis","extinct","Argentina","Entre Rios","Neogene","Miocene",100,6.8,9,55600,"M. Uhen",NA
"12",NA,"Abrocomidae","Protabrocoma",NA,"extinct","Argentina","Catamarca","Neogene","Miocene",100,6.8,9,157794,"C. Jaramillo",NA
"13",NA,"Abrocomidae","Protabrocoma",NA,"extinct","Argentina","Entre Rios","Neogene","Miocene",100,6.8,9,55600,"M. Uhen",NA
"14",NA,"Abrocomidae","Protabrocoma",NA,"extinct","Argentina","La Pampa","Neogene","Miocene",100,6.8,9,152061,"C. Jaramillo",NA
"15",NA,"Abrocomidae","Protabrocoma",NA,"extinct","Argentina","La Rioja","Neogene","Pliocene",100,4.3,4.3,152263,"C. Jaramillo",NA
"16",NA,"Abrocomidae","Protabrocoma",NA,"extinct","Argentina","Mendoza","Neogene","Pliocene",100,2.588,5.332,189520,"E. Vlachos",NA
"17",NA,"Abrocomidae","Protabrocoma",NA,"extinct","Argentina","Salta","Neogene","Miocene",100,7.246,11.608,197784,"P. Mannion",NA
"18",NA,"Abrocomidae","Protabrocoma",NA,"extinct","Bolivia","Chuquisaca","Neogene","Miocene",99.98,5.332,11.608,68792,"D. Croft",NA
"19",NA,"Acaremyidae","Acaremys","major","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176590,"J. Zijlstra",NA
"20",NA,"Acaremyidae","Acaremys","messor","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176593,"J. Zijlstra",NA
"21",NA,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Chubut","Neogene","Miocene",100,17.5,21,141368,"C. Jaramillo",NA
"22",NA,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,15.97,23.03,59324,"D. Croft",NA
"23",NA,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,15.97,23.03,59333,"D. Croft",NA
"24",NA,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,15.97,23.03,59334,"D. Croft",NA
"25",NA,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,15.97,23.03,142533,"C. Jaramillo",NA
"26",NA,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176563,"J. Zijlstra",NA
"27",NA,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176570,"J. Zijlstra",NA
"28",NA,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176589,"J. Zijlstra",NA
"29",NA,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176593,"J. Zijlstra",NA
"30",NA,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176596,"J. Zijlstra",NA
"31",NA,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176596,"J. Zijlstra",NA
"32",NA,"Acaremyidae","Acaremys","preminutus","extinct","Argentina","Chubut","Neogene","Miocene",100,17.5,21,27311,"J. Head",NA
"33",NA,"Acaremyidae","Acaremys",NA,"extinct","Argentina","Chubut","Neogene","Miocene",100,17.5,21,176205,"J. Zijlstra",NA
"34",NA,"Acaremyidae","Acaremys",NA,"extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176571,"J. Zijlstra",NA
"35",NA,"Acaremyidae","Acaremys",NA,"extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176622,"J. Zijlstra",NA
"36",NA,"Acaremyidae","Acaremys","tricarinatus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176570,"J. Zijlstra",NA
