Species	Status
?_Eocoleophorus	extinct
Abderites	extinct
Adinotherium	extinct
aff._Tarapotomys	extinct
Ashaninkacebus	extinct
Astrapotherium	extinct
Baguatherium	extinct
Balsayacuy	extinct
Baraguatherium	extinct
Cachiyacuy	extinct
Canaanimico	extinct
Canaanimys	extinct
Carodnia	extinct
cf._Cachiyacuy	extinct
cf._Eoespina	extinct
cf._Pozomys	extinct
cf._Tarapotomys	extinct
Chachapoyamys	extinct
Chambiramys	extinct
Colombitherium	extinct
Deseadomys	extinct
Eobranisamys	extinct
Eodelphomys	extinct
Eoespina	extinct
Eoincamys	extinct
Eopicure	extinct
Eopululo	extinct
Eosachacui	extinct
Eosallamys	extinct
Etayoa	extinct
Griphodon	extinct
Guiomys	extinct
Hilarcotherium	extinct
Hondonadia	extinct
Huilatherium	extinct
Incadolops	extinct
Kichkasteiromys	extinct
Kirutherium	extinct
Kiruwamaq	extinct
Lophiodolodus	extinct
Loretomys	extinct
Mayomys	extinct
Micoureus	extant
Microsteiromys	extinct
Neosaimiri	extinct
Palaeosteiromys	extinct
Parapropalaehoplophorus	extinct
Parastegosimpsonia	extinct
Parvimico	extinct
Patene	extinct
Perulestes	extinct
Perupithecus	extinct
Plesiosteiromys	extinct
Pozomys	extinct
Proadinotherium	extinct
Proargyrolagus	extinct
Protadelphomys	extinct
Protheosodon	extinct
Proticia	extinct
Pseudoprepotherium	extinct
Pseudostegotherium	extinct
Rumiodon	extinct
Sasawatsu	extinct
Scirrotherium	extinct
Scleromys	extinct
Selvamys	extinct
Shapajamys	extinct
Stegosimpsonia	extinct
Steiromys	extinct
Tarapotomys	extinct
Trigonostylops	extinct
Ucayalimys	extinct
Ucayalipithecus	extinct
Vucetichimys	extinct
Wamradolops	extinct
Wirunodon	extinct
Xenastrapotherium	extinct
Yuruatherium	extinct
