Species	Status	min_age	max_age
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	20.1	19
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Prozaedyus	extinct	24.2	29.4
Prozaedyus	extinct	24.2	29.4
Prozaedyus	extinct	24.2	33.6
Prozaedyus	extinct	16.5	18.75
Prozaedyus	extinct	20.1	21
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	24.2	29.4
Prozaedyus	extinct	24.2	29.4
Prozaedyus	extinct	24.2	29.4
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	20.1	21
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Stenotatus	extinct	24.2	29
Stenotatus	extinct	31.3	33.6
Stenotatus	extinct	24.2	29
Stenotatus	extinct	24.2	29
Stenotatus	extinct	20.1	21
Stenotatus	extinct	20.1	21
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	24.2	29
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	17.5
Stenotatus	extinct	24.2	29.4
Stenotatus	extinct	16.3	18
Stenotatus	extinct	24.2	29
Stenotatus	extinct	24.2	29
Stenotatus	extinct	20	21
Stenotatus	extinct	16.3	18
Stenotatus	extinct	20.1	21
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Clypeotherium	extinct	24.2	29.4
Glyptatelus	extinct	24.2	29.4
? Eocoleophorus	extinct	38	38.2
Asterostemma	extinct	16.3	18
Clypeotherium	extinct	24.2	29.4
Cochlops	extinct	20.1	21
Cochlops	extinct	16.3	18
Cochlops	extinct	16.3	18
Cochlops	extinct	16.3	18
Cochlops	extinct	16.3	18
Cochlops	extinct	16.3	18
Cochlops	extinct	16.3	18
Cochlops	extinct	16.3	18
Cochlops	extinct	16.3	18
Eocoleophorus	extinct	24.2	23.03
Eucinepeltus	extinct	16.3	18
Eucinepeltus	extinct	16.3	18
Eucinepeltus	extinct	16.3	18
Eucinepeltus	extinct	16.3	18
Eucinepeltus	extinct	16.3	18
Eucinepeltus	extinct	16.3	18
Glyptatelus	extinct	24.2	29.4
Glyptatelus	extinct	24.2	29.4
Glyptatelus	extinct	24.2	29.4
Glyptatelus	extinct	38	38.2
Lomaphorelus	extinct	38	38.2
Palaeopeltis	extinct	24.2	29.4
Palaeopeltis	extinct	24.2	29.4
Palaeopeltis	extinct	24.2	29.4
Parapropalaehoplophorus	extinct	20.1	21
Parapropalaehoplophorus	extinct	16.3	18
Palaeopeltis	extinct	24.2	29.4
Scirrotherium	extinct	16.3	20
Vassallia	extinct	24.2	29
Anantiosodon	extinct	16.3	18
Peltephilus	extinct	24.2	29.4
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	24.2	29.4
Peltephilus	extinct	24.2	29.4
Peltephilus	extinct	24.2	29.4
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	21
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	16.3	18
Peltephilus	extinct	30	33.6
Peltephilus	extinct	24.2	29.4
Peltephilus	extinct	24.2	29.4
Ronwolffia	extinct	24.2	29.4
Metopotoxus	extinct	16.3	18
Propalaehoplophorus	extinct	16.3	18
Propalaehoplophorus	extinct	16.3	18
Propalaehoplophorus	extinct	16.3	18
Propalaehoplophorus	extinct	16.3	18
Propalaehoplophorus	extinct	20.1	21
Propalaehoplophorus	extinct	16.3	18
Propalaehoplophorus	extinct	16.3	18
Propalaehoplophorus	extinct	16.3	18
Propalaehoplophorus	extinct	16.3	18
Stegotherium	extinct	20.1	21
Stegotherium	extinct	16.3	21
Stegotherium	extinct	20.1	21
Stegotherium	extinct	16.3	18
Stegotherium	extinct	16.3	18
Stegotherium	extinct	16.3	18
Stegotherium	extinct	16.3	21
Stegotherium	extinct	16.3	18
Stegotherium	extinct	16.3	18
Stegotherium	extinct	16.3	18
Stegotherium	extinct	16.3	21
Stegotherium	extinct	20.1	21
Proeocoleophorus	extinct	39	41.7
Saltatherium	extinct	40	46
Yuruatherium	extinct	31.3	33.6
Yuruatherium	extinct	31.3	33.6
tegotherium	extinct	47	54
Gaylordia	extinct	48.6	55.8
Gaylordia	extinct	48.6	55.8
Gaylordia	extinct	48.6	55.8
Woodburnodon	extinct	47.8	56
Acdestis	extinct	15.97	20.44
Acdestis	extinct	15.97	20.44
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	15.97	20.44
Acdestis	extinct	16.3	18
Acdestis	extinct	15.97	20.44
Acdestis	extinct	16.3	18
Acdestis	extinct	15.97	20.44
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.3	17.5
Acdestis	extinct	16.49	17.04
Acdestis	extinct	16.3	16.32
Acdestodon	extinct	24.2	29
Acdestoides	extinct	24.2	29
Antawallathentes	extinct	24.2	29
Antawallathentes	extinct	24.5	26
Carlothentes	extinct	24.2	29
Carlothentes	extinct	24.2	29
Palaeothentes	extinct	20.1	21
Palaeothentes	extinct	16.3	17.5
Palaeothentes	extinct	16.3	17.5
Palaeothentes	extinct	16.3	17.5
Palaeothentes	extinct	16.9	17.41
Palaeothentes	extinct	16.3	17.5
Palaeothentes	extinct	16.3	17.5
Palaeothentes	extinct	16.3	17.5
Palaeothentes	extinct	16.71	17.5
Palaeothentes	extinct	16.3	17.5
Palaeothentes	extinct	24.2	29
Palaeothentes	extinct	24.2	29
Palaeothentes	extinct	24.2	29
Palaeothentes	extinct	18	19
Palaeothentes	extinct	16.3	17.5
Palaeothentes	extinct	18	19
Palaeothentes	extinct	18	19
Palaeothentes	extinct	18	19
Palaeothentes	extinct	18	19
Palaeothentes	extinct	16.3	17.5
Palaeothentes	extinct	16.3	17.5
Palaeothentes	extinct	18	19
Palaeothentes	extinct	16.49	17.04
Palaeothentes	extinct	16.3	16.32
Palaeothentes	extinct	15.97	20.44
Palaeothentes	extinct	16.3	17.5
Palaeothentes	extinct	16.3	17.5
Palaeothentes	extinct	16.3	17.5
Palaeothentes	extinct	16.3	17.5
Palaeothentes	extinct	15.97	23.03
Palaeothentes	extinct	16.3	17.5
