Species	Status
Adianthus	extinct
Adiantoides	extinct
Albertogaudrya	extinct
Amilnedwardsia	extinct
Anisolambda	extinct
Anisolophus	extinct
Asmithwoodwardia	extinct
Astraponotus	extinct
Astrapothericulus	extinct
Astrapotherium	extinct
Baguatherium	extinct
Carodnia	extinct
Colombitherium	extinct
Comahuetherium	extinct
Coniopternium	extinct
Cramauchenia	extinct
Deuterotherium	extinct
Didolodus	extinct
Eoastrapostylops	extinct
Eolicaphrium	extinct
Ernestohaeckelia	extinct
Ernestokokenia	extinct
Etayoa	extinct
Griphodon	extinct
Guilielmofloweria	extinct
Heteroglyphis	extinct
Hilarcotherium	extinct
Hondonadia	extinct
Indalecia	extinct
Lambdaconus	extinct
Lamegoia	extinct
Liarthrus	extinct
Licaphrium	extinct
Licaphrops	extinct
Llullataruca	extinct
Maddenia	extinct
Miguelsoria	extinct
Notodiaphorus	extinct
Paramacrauchenia	extinct
Paranisolambda	extinct
Parastrapotherium	extinct
Paulogervaisia	extinct
Phoradiadius	extinct
Picturotherium	extinct
Polyacrodon	extinct
Polymorphis	extinct
Proadiantus	extinct
Proectocion	extinct
Proheptaconus	extinct
Prolicaphrium	extinct
Promylophis	extinct
Propyrotherium	extinct
Proterotherium	extinct
Protheosodon	extinct
Proticia	extinct
Protolipterna	extinct
Pternoconius	extinct
Pyrotherium	extinct
Ricardocifellia	extinct
Ricardolydekkeria	extinct
Rosendolops	extinct
Rutimeyeria	extinct
Salladolodus	extinct
Saltaodus	extinct
Scaglia	extinct
Sparnotheriodon	extinct
Tetragonostylops	extinct
Tetramerorhinus	extinct
Thadanius	extinct
Theosodon	extinct
Thoatherium	extinct
Tricoelodus	extinct
Trigonostylops	extinct
Umayodus	extinct
Uruguaytherium	extinct
Victorlemoineia	extinct
Xenastrapotherium	extinct
Xesmodon	extinct
