Species	Status	min_age	max_age
Ameghinomys	extinct	16.3	16.32
Ameghinomys	extinct	16.3	17.5
Ameghinomys	extinct	16.3	17.5
Ameghinomys	extinct	17.41	17.5
Ameghinomys	extinct	16.3	17.5
Ameghinomys	extinct	16.3	17.5
Ameghinomys	extinct	16.3	17.5
Ameghinomys	extinct	16.3	17.5
Ameghinomys	extinct	16.3	17.5
Acaremys	extinct	15.97	20.44
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.9	17.41
Acaremys	extinct	16.3	17.22
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.9	17.41
Acaremys	extinct	18	19
Acaremys	extinct	16.3	17.5
Acaremys	extinct	20.5	21
Acaremys	extinct	17.41	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	18	19
Acaremys	extinct	16.3	17.5
Acaremys	extinct	18	19
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	16.32
Acaremys	extinct	20.1	21
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.22
Acaremys	extinct	16.3	17.5
Changquin	extinct	24.2	28.1
Galileomys	extinct	20.1	21
Galileomys	extinct	20.1	21
Galileomys	extinct	24.2	29
Galileomys	extinct	18	19
Galileomys	extinct	18	19
Galileomys	extinct	18	19
Galileomys	extinct	18	19
Galileomys	extinct	18	19
Galileomys	extinct	18	19
Galileomys	extinct	18	19
Platypittamys	extinct	24.2	28.1
Pseudoacaremys	extinct	16.9	17.41
Pseudoacaremys	extinct	16.3	17.5
Pseudoacaremys	extinct	16.3	17.22
Eodelphomys	extinct	27.82	31.1
Eoincamys	extinct	27.82	37.71
Branisamys	extinct	24.5	26
Branisamys	extinct	24.5	26
Branisamys	extinct	24.5	26
Branisamys	extinct	24.5	26
Orthomyctera	extinct	13.82	20.44
Banderomys	extinct	20.1	21
Banderomys	extinct	20.1	21
Banderomys	extinct	20.5	21
Cephalomyopsis	extinct	24.2	29
Cephalomyopsis	extinct	24.2	29
Cephalomyopsis	extinct	16.3	17.5
Cephalomyopsis	extinct	24.2	29
Cephalomyopsis	extinct	20.1	21
Cephalomys	extinct	24.2	29
Cephalomys	extinct	23.03	27.82
Cephalomys	extinct	24.2	29
Cephalomys	extinct	24.2	29
Cephalomys	extinct	24.2	29
