Species	Status
?Sallamys	extinct
Abderites	extinct
Abderites_meridionalis	extinct
Acamana	extinct
Acamana_ambiguus	extinct
Acarechimys	extinct
Acarechimys_gracilis	extinct
Acarechimys_leucotheae	extinct
Acarechimys_minutissimus	extinct
Acarechimys_minutus	extinct
Acarechimys_pascuali	extinct
Acaremys	extinct
Acaremys_major	extinct
Acaremys_messor	extinct
Acaremys_minutissimus	extinct
Acaremys_murinus	extinct
Acaremys_preminutus	extinct
Acaremys_tricarinatus	extinct
Acdestis_lemairei	extinct
Acdestis_oweni	extinct
Acdestodon_bonapartei	extinct
Acdestoides_praecursor	extinct
Acoelodus_debilitatus	extinct
Acoelodus_oppositus	extinct
Acoelodus_proclivus	extinct
Acoelodus_terminalis	extinct
Acoelohyrax	extinct
Acoelohyrax_coalitus	extinct
Acoelohyrax_coarctatus	extinct
Acoelohyrax_complicatissimus	extinct
Acoelohyrax_coronatus	extinct
Acoelohyrax_sigma	extinct
Acrocyon_riggsi	extinct
Acrocyon_sectorius	extinct
Acyon_tricuspidatus	extinct
Adelphomys	extinct
Adelphomys_candidus	extinct
Adianthus_bucatus	extinct
Adiantoides_leali	extinct
Adiantoides_magnus	extinct
Adiastaltus_habilis	extinct
Adiastaltus_procerus	extinct
Adinotherium	extinct
Adinotherium_ovinum	extinct
Adinotherium_robustum	extinct
Albertogaudrya	extinct
Albertogaudrya_carahuasensis	extinct
Albertogaudrya_robusta	extinct
Albertogaudrya_unica	extinct
Allalmeia_atalaensis	extinct
Altitypotherium	extinct
Altitypotherium_chucalensis	extinct
Altitypotherium_paucidens	extinct
Ameghinomys_constans	extinct
Amilnedwardsia_brevicula	extinct
Amphidolops	extinct
Amphidolops_intermedius	extinct
Amphidolops_minimus	extinct
Amphidolops_serrula	extinct
Anantiosodon_rarus	extinct
Anargyrolagus_primus	extinct
Anayatherium	extinct
Anayatherium_ekecoa	extinct
Anayatherium_fortis	extinct
Ancylocoelus_frequens	extinct
Ancylocoelus_minor	extinct
Andemys_termasi	extinct
Andinogale_sallensis	extinct
Angelocabrerus_daptes	extinct
Anisolambda	extinct
Anisolambda_amel	extinct
Anisolambda_fissidens	extinct
Anisolophus	extinct
Anisolophus_floweri	extinct
Anisotemnus	extinct
Anisotemnus_distentus	extinct
Antawallathentes	extinct
Antawallathentes_illimani	extinct
Antepithecus	extinct
