Species	Status
?_Eocoleophorus_glyptodontoides	extinct
Acdestis_lemairei	extinct
Acdestis_oweni	extinct
Acdestodon_bonapartei	extinct
Acdestoides_praecursor	extinct
Adiastaltus_habilis	extinct
Adiastaltus_procerus	extinct
Amphidolops	extinct
Amphidolops_intermedius	extinct
Amphidolops_minimus	extinct
Amphidolops_serrula	extinct
Anantiosodon_rarus	extinct
Anargyrolagus_primus	extinct
Antawallathentes	extinct
Antawallathentes_illimani	extinct
Apeirodon_sorianoi	extinct
Argyromanis_patagonica	extinct
Ashaninkacebus_simpsoni	extinct
Asterostemma_depressa	extinct
Austropediomys_marshalli	extinct
Bardalestes	extinct
Bardalestes_hunco	extinct
Bergqvistherium_primigenia	extinct
Bobbschaefferia	extinct
Bobbschaefferia_fluminensis	extinct
Bonapartherium	extinct
Bonapartherium_serrensis	extinct
Branisella_boliviana	extinct
Canaanimico_amazonensis	extinct
Canchadelphys_cristata	extinct
Carlocebus_carmenensis	extinct
Carlocebus_intermedius	extinct
Carlothentes_chubutensis	extinct
Caroloameghinia	extinct
Caroloameghinia_mater	extinct
Caroloameghinia_tenuis	extinct
Carolocoutoia_ferigoloi	extinct
Carolopaulacoutoia	extinct
Carolopaulacoutoia_itaboraiensis	extinct
cf._Yuruatherium	extinct
Chilecebus_carrascoensis	extinct
Chulpasia	extinct
Chulpasia_mattaueri	extinct
Clypeotherium	extinct
Clypeotherium_magnum	extinct
Cochlops	extinct
Cochlops_debilis	extinct
Cochlops_muricatus	extinct
Coloradolops_cardonensis	extinct
Coona_gaudryi	extinct
Coona_gutierrezi	extinct
Coona_pattersoni	extinct
Derorhynchus	extinct
Derorhynchus_minutus	extinct
Derorhynchus_singularis	extinct
Didelphopsis	extinct
Didelphopsis_cabrerai	extinct
Diogenesia_brevirostris	extinct
Dolichocebus_gaimanensis	extinct
Encinepeltus_petesatus	extinct
Eocoleophorus_glyptodontoides	extinct
Epidolops	extinct
Epidolops_ameghinoi	extinct
Epiklohnia_verticalis	extinct
Eucinepeltus	extinct
Eucinepeltus_complicatus	extinct
Eudolops_tetragonus	extinct
Evolestes	extinct
Evolestes_hadrommatos	extinct
Fieratherium_sorex	extinct
Gashternia	extinct
Gashternia_carioca	extinct
Gashternia_ctalehor	extinct
Gaylordia_macrocynodonta	extinct
Gaylordia_mater	extinct
Glyptatelus	extinct
Glyptatelus_fractus	extinct
Glyptatelus_tatusinus	extinct
Guggenheimia_brasiliensis	extinct
Guggenheimia_crocheti	extinct
Guggenheimia_glykeia	extinct
Homunculus	extinct
Homunculus_patagonicus	extinct
Homunculus_vizcainoi	extinct
Hondonadia	extinct
Hondonadia_parca	extinct
Hondonadia_pittmanae	extinct
Hondonadia_praecipitia	extinct
Hondonadia_pumila	extinct
Hypodolops_sapoensis	extinct
Incadolops_ucayali	extinct
Itaboraidelphys	extinct
Itaboraidelphys_camposi	extinct
Kiruwamaq_chisu	extinct
Klohnia_charrieri	extinct
Klohnia_major	extinct
Kramadolops_abanicoi	extinct
Kramadolops_fissuratus	extinct
Kramadolops_hernandezi	extinct
Kramadolops_maximus	extinct
Kramadolops_mayoi	extinct
Kramadolops_mckennai	extinct
Lomaphorelus_depstus	extinct
Marmosopsis	extinct
Marmosopsis_juradoi	extinct
Mazzonicebus_almendrae	extinct
Mcdonaldocnus_bondesioi	extinct
Metopotoxus_laevatus	extinct
Minusculodelphis_minimus	extinct
Minusculodelphis_modicum	extinct
Monodelphopsis	extinct
Monodelphopsis_travassosi	extinct
Neosaimiri	extinct
Noatherium_emilioi	extinct
Orthoarthrus_mixtus	extinct
Palaeopeltis_inornatus	extinct
Palaeothentes	extinct
Palaeothentes_aratae	extinct
Palaeothentes_boliviensis	extinct
Palaeothentes_intermedius	extinct
Palaeothentes_lemoinei	extinct
Palaeothentes_marshalli	extinct
Palaeothentes_migueli	extinct
Palaeothentes_minutus	extinct
Palaeothentes_pascuali	extinct
Palaeothentes_smeti	extinct
Palangania	extinct
Palangania_brandmayri	extinct
Parabderites	extinct
Parabderites_bicrispatus	extinct
Parabderites_minusculus	extinct
Parapropalaehoplophorus	extinct
Parapropalaehoplophorus_septentrionalis	extinct
Parvimico_materdei	extinct
Pascualdelphys_fierroensis	extinct
Pauladelphys	extinct
Pelecyodon	extinct
Pelecyodon_cristatus	extinct
Peltephilus	extinct
Peltephilus_ferox	extinct
Peltephilus_giganteus	extinct
Peltephilus_nanus	extinct
Peltephilus_pumilus	extinct
Peltephilus_strepens	extinct
Peltephilus_undulatus	extinct
Peradectes_austrinum	extinct
Periakros_ambiguus	extinct
Periprotodidelphis_bergqvistae	extinct
Perupithecus_ucayaliensis	extinct
Phonocdromus_gracilis	extinct
Pliodolops_cf._kamektsen	extinct
Pliodolops_kamektsen	extinct
Pliodolops_primulus	extinct
Pliodolops_rothi	extinct
Pliodolops_winecage	extinct
Polydolops	extinct
Polydolops_clavulus	extinct
Polydolops_crassus	extinct
Polydolops_serra	extinct
Polydolops_thomasi	extinct
Polydolops_unicus	extinct
Praedens_aberrans	extinct
Prepidolops	extinct
Prepidolops_molinai	extinct
Proargyrolagus	extinct
Proargyrolagus_argentinus	extinct
Proargyrolagus_bolivianus	extinct
Procaroloameghinia_pricei	extinct
Proeocoleophorus_carlinii	extinct
Proeutatus	extinct
Proeutatus_oenophorum	extinct
Proeutatus_robustus	extinct
Propalaehoplophorus	extinct
Propalaehoplophorus_australis	extinct
Propalaehoplophorus_minus	extinct
Propalaeothentes_hatcheri	extinct
Propalaeothentes_lepidus	extinct
Protodidelphis	extinct
Protodidelphis_mastodontoides	extinct
Protodidelphis_vanzolinii	extinct
Prozaedius_impressus	extinct
Prozaedius_planus	extinct
Prozaedyus	extinct
Prozaedyus_aff._impressus	extinct
Prozaedyus_exilis	extinct
Prozaedyus_humilis	extinct
Prozaedyus_proximus	extinct
Pseudolops_princeps	extinct
Punadolops_alonsoi	extinct
Reigia_punae	extinct
Riolestes_capricornicus	extinct
Ronwolffia_pacifica	extinct
Rosendolops	extinct
Rosendolops_ebaios	extinct
Rosendolops_primigenium	extinct
Rumiodon	extinct
Rumiodon_inti	extinct
Saltatherium_rosaurae	extinct
Sasawatsu	extinct
Sasawatsu_mahaynaq	extinct
Schismotherium_fractum	extinct
Scirrotherium	extinct
Sillustania_quechuense	extinct
Similhapalops_nivis	extinct
Soriacebus	extinct
Soriacebus_adrianae	extinct
Soriacebus_ameghinorum	extinct
Stegotherium_caroloameghinoi	extinct
Stegotherium_notohippidensis	extinct
Stegotherium_pascuali	extinct
Stegotherium_simplex	extinct
Stegotherium_tauberi	extinct
Stegotherium_tesselatum	extinct
Stegotherium_variegatum	extinct
Stenotatus	extinct
Stenotatus_aff._nornatus	extinct
Stenotatus_centralis	extinct
Stenotatus_hesternus	extinct
Stenotatus_ornatus	extinct
Stenotatus_patagonicus	extinct
Titanothentes	extinct
Trelewthentes_rothi	extinct
Tremacebus_harringtoni	extinct
Ucayalipithecus_perdita	extinct
Vassallia	extinct
Wamradolops	extinct
Wamradolops_tsullodon	extinct
Woodburnodon	extinct
Xyophorus_atlanticus	extinct
Yuruatherium_tropicalis	extinct
Zeusdelphys_complicatus	extinct
