Species	Status
Abderites	extinct
Abderites_meridionalis	extinct
Acdestis_lemairei	extinct
Acdestis_oweni	extinct
Acdestodon_bonapartei	extinct
Acdestoides_praecursor	extinct
Acrocyon_riggsi	extinct
Acrocyon_sectorius	extinct
Acyon_tricuspidatus	extinct
Amphidolops	extinct
Amphidolops_intermedius	extinct
Amphidolops_minimus	extinct
Amphidolops_serrula	extinct
Anargyrolagus_primus	extinct
Andinogale_sallensis	extinct
Angelocabrerus_daptes	extinct
Antawallathentes	extinct
Antawallathentes_illimani	extinct
Arctodictis_munizi	extinct
Arctodictis_sinclairi	extinct
Argyrolestes_peralestinus	extinct
Arminiheringia	extinct
Arminiheringia_auceta	extinct
Arminiheringia_contigua	extinct
Australohyaena_antiqua	extinct
Bardalestes	extinct
Bardalestes_hunco	extinct
Bonapartherium	extinct
Bonapartherium_serrensis	extinct
Borhyaena_macrodonta	extinct
Borhyaena_tuberata	extinct
Caenolestoides_miocaenicus	extinct
Callistoe_vincei	extinct
Carlothentes_chubutensis	extinct
Chlorocyon_phantasma	extinct
Cladosictis	extinct
Cladosictis_centralis	extinct
Cladosictis_patagonicus	extinct
Clenia_brevis	extinct
Clenia_minuscula	extinct
Coloradolops_cardonensis	extinct
Eomakhaira_molossus	extinct
Eomicrobiotherium	extinct
Eomicrobiotherium_diluculum	extinct
Eomicrobiotherium_matutinum	extinct
Eomicrobiotherium_mykerum	extinct
Epidolops	extinct
Epidolops_ameghinoi	extinct
Eudolops_tetragonus	extinct
Evolestes	extinct
Evolestes_hadrommatos	extinct
Fredszalaya_hunteri	extinct
Gaimanlestes_pascuali	extinct
Gaylordia_macrocynodonta	extinct
Gaylordia_mater	extinct
Hypodolops_sapoensis	extinct
Incadolops_ucayali	extinct
Kirutherium_paititiensis	extinct
Klohnia_charrieri	extinct
Klohnia_major	extinct
Kramadolops_abanicoi	extinct
Kramadolops_fissuratus	extinct
Kramadolops_hernandezi	extinct
Kramadolops_maximus	extinct
Kramadolops_mayoi	extinct
Kramadolops_mckennai	extinct
Lycopsis_torresi	extinct
Micoureus_laventicus	extinct
Microbiotherium	extinct
Microbiotherium_acicula	extinct
Microbiotherium_gallegosense	extinct
Microbiotherium_patagonicum	extinct
Microbiotherium_praecursor	extinct
Microbiotherium_tehuelchum	extinct
Mirandatherium	extinct
Mirandatherium_alipioi	extinct
Nemolestes	extinct
Nemolestes_brasiliensis	extinct
Nemolestes_lagunafriensis	extinct
Nemolestes_spalacotherinus	extinct
Notogale_mitis	extinct
Oligobiotherium_divisum	extinct
Pachybiotherium_acclinum	extinct
Pachybiotherium_illuminatum	extinct
Palaeothentes	extinct
Palaeothentes_aratae	extinct
Palaeothentes_boliviensis	extinct
Palaeothentes_intermedius	extinct
Palaeothentes_lemoinei	extinct
Palaeothentes_marshalli	extinct
Palaeothentes_migueli	extinct
Palaeothentes_minutus	extinct
Palaeothentes_pascuali	extinct
Palaeothentes_smeti	extinct
Parabderites	extinct
Parabderites_bicrispatus	extinct
Parabderites_minusculus	extinct
Paraborhyaena_boliviana	extinct
Patene	extinct
Patene_campbelli	extinct
Patene_coluapiensis	extinct
Patene_simpsoni	extinct
Perathereutes_pungens	extinct
Perulestes	extinct
Perulestes_cardichi	extinct
Perulestes_fraileyi	extinct
Pharsophorus	extinct
Pharsophorus_lacerans	extinct
Pharsophorus_tenax	extinct
Phonocdromus_gracilis	extinct
Pilchenia_antiqua	extinct
Pilchenia_intermedia	extinct
Pilchenia_lucina	extinct
Pitheculites	extinct
Plesiofelis_schlosseri	extinct
Pliodolops_kamektsen	extinct
Pliodolops_primulus	extinct
Pliodolops_rothi	extinct
Pliodolops_winecage	extinct
Polydolops	extinct
Polydolops_clavulus	extinct
Polydolops_crassus	extinct
Polydolops_serra	extinct
Polydolops_thomasi	extinct
Polydolops_unicus	extinct
Prepidolops	extinct
Prepidolops_molinai	extinct
Proargyrolagus	extinct
Proargyrolagus_argentinus	extinct
Proargyrolagus_bolivianus	extinct
Proborhyaena	extinct
Proborhyaena_gigantea	extinct
Procladosictis	extinct
Procladosictis_anomala	extinct
Progarzonia_notostylopense	extinct
Propalaeothentes_hatcheri	extinct
Propalaeothentes_lepidus	extinct
Prothylacynus_patagonicus	extinct
Pseudhalmarhiphus_guaraniticus	extinct
Pseudolops_princeps	extinct
Pseudonotictis_pusillus	extinct
Pseudothylacynus_rectus	extinct
Punadolops_alonsoi	extinct
Riolestes_capricornicus	extinct
Sallacyon_hoffstetteri	extinct
Sasawatsu	extinct
Sasawatsu_mahaynaq	extinct
Sipalocyon	extinct
Sipalocyon_externus	extinct
Sipalocyon_gracilis	extinct
Sipalocyon_obusta	extinct
Stilotherium_dissimile	extinct
Stilotherium_parvum	extinct
Titanothentes	extinct
Trelewthentes_rothi	extinct
Wamradolops	extinct
Wamradolops_tsullodon	extinct
Woodburnodon	extinct
