Species	Status	min_age	max_age
Isotypotherium_annulatum	extinct	48	50
Acoelodus_debilitatus	extinct	48	50
Acoelodus_oppositus	extinct	48	50
Acoelodus_proclivus	extinct	38	41.2
Acoelodus_terminalis	extinct	48	50
Allalmeia_atalaensis	extinct	44	45
Brachystephanus_postremus	extinct	44	45
Camargomendesia	extinct	47.8	56
Camargomendesia	extinct	56	59.2
Camargomendesia	extinct	48.6	55.8
Colbertia	extinct	33.9	37.71
Colbertia	extinct	47.8	56
Colbertia	extinct	41.3	47.8
Colbertia_falui	extinct	48	50
Colbertia_lumbrerense	extinct	48	50
Colbertia_lumbrerense	extinct	48	50
Colbertia_magellanica	extinct	52	53
Dolichostylodon_saltensis	extinct	48	50
Itaboraitherium	extinct	47.8	56
Kibenikhoria	extinct	47.8	56
Kibenikhoria	extinct	37.71	55.8
Kibenikhoria	extinct	37.71	55.8
Kibenikhoria_get	extinct	55.8	56
Kibenikhoria_get	extinct	55.8	56
Kibenikhoria_get	extinct	50	51
Maxschlosseria	extinct	38	47.8
Maxschlosseria_consumata	extinct	38	41.2
Maxschlosseria_consumata	extinct	44	45
Maxschlosseria_consumata	extinct	48	50
Maxschlosseria_consumata	extinct	41.3	47.8
Maxschlosseria_expansa	extinct	48	50
Maxschlosseria_minima	extinct	48	50
Maxschlosseria_minima	extinct	41.3	47.8
Maxschlosseria_minima	extinct	48	50
Maxschlosseria_minuta	extinct	44	45
Maxschlosseria_minuta	extinct	38	47.8
Maxschlosseria_minuta	extinct	41.3	47.8
Maxschlosseria_praeterita	extinct	48	50
Maxschlosseria_praeterita	extinct	41.3	47.8
Maxschlosseria_rusticula	extinct	38	47.8
Maxschlosseria_rusticula	extinct	38	47.8
Maxschlosseria_rusticula	extinct	38	47.8
Maxschlosseria_rusticula	extinct	48	50
Maxschlosseria_septa	extinct	48	50
Oldfieldthomasia	extinct	48	50
Oldfieldthomasia	extinct	48	50
Oldfieldthomasia	extinct	38	41.2
Oldfieldthomasia_anfractuosa	extinct	48	50
Oldfieldthomasia_debilitata	extinct	38	41.2
Oldfieldthomasia_debilitata	extinct	38	41.2
Oldfieldthomasia_debilitata	extinct	38	41.2
Oldfieldthomasia_debilitata	extinct	38	41.2
Oldfieldthomasia_debilitata	extinct	38	41.2
Oldfieldthomasia_debilitata	extinct	38	41.2
Oldfieldthomasia_debilitata	extinct	48	50
Oldfieldthomasia_debilitata	extinct	38	41.2
Oldfieldthomasia_debilitata	extinct	38	41.2
Oldfieldthomasia_debilitata	extinct	38	47.8
Oldfieldthomasia_debilitata	extinct	48	50
Oldfieldthomasia_debilitata	extinct	48	50
Oldfieldthomasia_debilitata	extinct	48	50
Oldfieldthomasia_debilitata	extinct	38	41.2
Oldfieldthomasia_debilitata	extinct	38	41.2
Oldfieldthomasia_debilitata	extinct	38	41.2
Oldfieldthomasia_parvidens	extinct	38	41.2
Oldfieldthomasia_parvidens	extinct	38	41.2
Oldfieldthomasia_transversa	extinct	38	41.2
Ortholophodon_prolongus	extinct	38	38.2
Paginula_parca	extinct	48	50
Paginula_parca	extinct	48	50
Paginula_parca	extinct	48	50
Paginula_parca	extinct	38	41.2
Paginula_parca	extinct	48	50
Paginula_parca	extinct	48	50
Suniodon	extinct	33.9	37.71
Suniodon_catamarcensis	extinct	38	38
Tsamnichoria_cabrerai	extinct	38	38.2
Ultrapithecus_rutilans	extinct	38	41.2
Ultrapithecus_rutilans	extinct	48	50
Ultrapithecus_rutilans	extinct	38	38.4
Ultrapithecus_rutilans	extinct	38	41.2
Ultrapithecus_rutilans	extinct	38	41.2
Ultrapithecus_rutilans	extinct	38	41.2
Ultrapithecus_rutilans	extinct	38	41.2
Xenostephanus_chiottii	extinct	44	45
Archaeohyrax	extinct	38	38.2
Archaeohyrax	extinct	24.2	29
Archaeohyrax	extinct	24.2	29
Archaeohyrax_patagonicus	extinct	24.2	29
Archaeohyrax_patagonicus	extinct	31.3	33.6
Archaeohyrax_patagonicus	extinct	24.2	29
Archaeohyrax_patagonicus	extinct	24.2	29
Archaeohyrax_patagonicus	extinct	24.2	29
Archaeohyrax_patagonicus	extinct	24.2	29
Archaeohyrax_patagonicus	extinct	28.1	29.4
Archaeohyrax_patagonicus	extinct	24.2	29
Archaeohyrax_patagonicus	extinct	30.617	30.77
Archaeohyrax_patagonicus	extinct	24.2	29
Archaeohyrax_patagonicus	extinct	24.2	29
Archaeohyrax_suniensis	extinct	24.2	29
Archaeohyrax_suniensis	extinct	24.2	29
Archaeohyrax_suniensis	extinct	24.2	29
Archaeohyrax_suniensis	extinct	24.5	26
Archaeohyrax_suniensis	extinct	24.2	29
Archaeohyrax_suniensis	extinct	24.2	29
Archaeotypotherium	extinct	24.2	29
Archaeotypotherium	extinct	28.4	33.9
Archaeotypotherium_pattersoni	extinct	28.4	33.9
Archaeotypotherium_propheticus	extinct	31.3	33.6
Archaeotypotherium_propheticus	extinct	31.3	33.6
Archaeotypotherium_propheticus	extinct	31.3	33.6
Archaeotypotherium_propheticus	extinct	23.03	33.9
Archaeotypotherium_propheticus	extinct	31.3	33.6
Archaeotypotherium_propheticus	extinct	33.566	33.596
Archaeotypotherium_tinguiriricaense	extinct	28.4	33.9
Bryanpattersonia_nesodontoides	extinct	38	38.2
Bryanpattersonia_nesodontoides	extinct	38	38.2
Bryanpattersonia_sulcidens	extinct	28.4	33.9
Bryanpattersonia_sulcidens	extinct	38	38.2
Bryanpattersonia_sulcidens	extinct	31.3	33.6
Bryanpattersonia_sulcidens	extinct	28.1	33.9
Bryanpattersonia_sulcidens	extinct	38	38.2
Bryanpattersonia_sulcidens	extinct	28.4	33.9
Eohyrax	extinct	50	51
Eohyrax	extinct	38	38.2
Eohyrax	extinct	38	41.2
Eohyrax	extinct	38	41.2
Eohyrax	extinct	41.3	47.8
Eohyrax_isotemnoides	extinct	38	41.2
Eohyrax_isotemnoides	extinct	38	41.2
Eohyrax_isotemnoides	extinct	38	41.2
Eohyrax_isotemnoides	extinct	38	41.2
Eohyrax_isotemnoides	extinct	38	41.2
Eohyrax_platyodus	extinct	38	38.2
Eohyrax_praerusticus	extinct	38	41.2
Eohyrax_praerusticus	extinct	38	41.2
Eohyrax_rusticus	extinct	38	47.8
Eohyrax_rusticus	extinct	38	38.2
Isolophodon_cingulosus	extinct	38	38.2
Pascualhyrax_irqi	extinct	40	44
Protarchaeohyrax_intermedium	extinct	28.4	33.9
Protarchaeohyrax_minor	extinct	31.3	33.6
Protarchaeohyrax_minor	extinct	30.617	30.77
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	28.4	33.9
Pseudhyrax_eutrachytheroides	extinct	38	38.2
Pseudhyrax_eutrachytheroides	extinct	38	38.2
Pseudhyrax_eutrachytheroides	extinct	38	38.2
Pseudhyrax_eutrachytheroides	extinct	38	38.2
Pseudhyrax_eutrachytheroides	extinct	38	38.2
Pseudhyrax_eutrachytheroides	extinct	38	38.2
Pseudhyrax_eutrachytheroides	extinct	38	38.2
Pseudhyrax_eutrachytheroides	extinct	38	38.2
Pseudhyrax_eutrachytheroides	extinct	38	38.2
Pseudhyrax_eutrachytheroides	extinct	28.4	33.6
Pseudhyrax_eutrachytheroides	extinct	38	38
Pseudhyrax_eutrachytheroides	extinct	33.9	41.2
Pseudhyrax_eutrachytheroides	extinct	33.9	41.2
Pseudhyrax_eutrachytheroides	extinct	33.9	41.2
Pseudhyrax_eutrachytheroides	extinct	28.4	33.9
Pseudhyrax_eutrachytheroides	extinct	28.4	33.9
Pseudhyrax_strangulatus	extinct	38	38.4
Pseudhyrax_strangulatus	extinct	38	38.2
Pseudhyrax_strangulatus	extinct	38	38.2
Pseudhyrax_strangulatus	extinct	38	38.2
