Species	Status	min_age	max_age
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	20.1	19
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_robustus	extinct	16.3	18
Proeutatus_robustus	extinct	16.3	18
Proeutatus_robustus	extinct	16.3	18
Proeutatus_robustus	extinct	16.3	18
Proeutatus_robustus	extinct	16.3	18
Prozaedius_impressus	extinct	24.2	29.4
Prozaedius_planus	extinct	24.2	29.4
Prozaedyus	extinct	24.2	33.6
Prozaedyus	extinct	16.5	18.75
Prozaedyus	extinct	20.1	21
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus aff. impressus	extinct	24.2	29.4
Prozaedyus aff. impressus	extinct	24.2	29.4
Prozaedyus aff. impressus	extinct	24.2	29.4
Prozaedyus proximus	extinct	16.3	18
Prozaedyus_exilis	extinct	16.3	18
Prozaedyus_exilis	extinct	16.3	18
Prozaedyus_exilis	extinct	16.3	18
Prozaedyus_humilis	extinct	20.1	21
Prozaedyus_proximus	extinct	16.3	18
Prozaedyus_proximus	extinct	16.3	18
Prozaedyus_proximus	extinct	16.3	18
Prozaedyus_proximus	extinct	16.3	18
Prozaedyus_proximus	extinct	16.3	18
Stenotatus	extinct	24.2	29
Stenotatus	extinct	31.3	33.6
Stenotatus	extinct	24.2	29
Stenotatus	extinct	24.2	29
Stenotatus	extinct	20.1	21
Stenotatus	extinct	20.1	21
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	24.2	29
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	17.5
Stenotatus	extinct	24.2	29.4
Stenotatus	extinct	16.3	18
Stenotatus aff. nornatus	extinct	24.2	29
Stenotatus ornatus	extinct	24.2	29
Stenotatus_centralis	extinct	20	21
Stenotatus_hesternus	extinct	16.3	18
Stenotatus_patagonicus	extinct	20.1	21
Stenotatus_patagonicus	extinct	16.3	18
Stenotatus_patagonicus	extinct	16.3	18
Stenotatus_patagonicus	extinct	16.3	18
Stenotatus_patagonicus	extinct	16.3	18
Stenotatus_patagonicus	extinct	16.3	18
Stenotatus_patagonicus	extinct	16.3	18
Stenotatus_patagonicus	extinct	16.3	18
Stenotatus_patagonicus	extinct	16.3	18
Stenotatus_patagonicus	extinct	16.3	18
Archaeutatus	extinct	31.3	29.4
Archaeutatus	extinct	24.2	29.4
Archaeutatus_malaspinensis	extinct	31.3	33.6
Archaeutatus_malaspinensis	extinct	24.2	29.4
Archaeutatus_malaspinensis	extinct	24.2	29.4
Astegotherium	extinct	31.3	33.6
Astegotherium	extinct	31.3	33.6
Astegotherium sp. nov.	extinct	47.8	56
Barrancatatus_maddeni	extinct	31.3	33.6
Barrancatatus_rigidus	extinct	31.3	33.6
Barrancatatus_rigidus	extinct	31.3	33.6
Barrancatatus_rigidus	extinct	35	38.2
Barrancatatus_rigidus	extinct	31.3	33.6
Barrancatatus_tinguiririquensis	extinct	31.3	33.6
Proeutatus_carinatus	extinct	16.3	18
Proeutatus_deleo	extinct	16.3	18
Proeutatus_deleo	extinct	16.3	18
Proeutatus_lagena	extinct	16.3	18
Proeutatus_lagena	extinct	16.3	18
Proeutatus_lagena	extinct	16.3	18
Proeutatus_lagena	extinct	16.3	18
Kuntinaru_boliviensis	extinct	24.2	29.4
Lumbreratherium_oblitum	extinct	48	46
Machlydotherium	extinct	31.3	33.6
Machlydotherium	extinct	24.2	29.4
Machlydotherium	extinct	39	41.7
Machlydotherium_asperum	extinct	35	38.2
Machlydotherium_ater	extinct	24.2	33.6
Machlydotherium_ater	extinct	35	38.2
Machlydotherium_sparsum	extinct	35	38.2
Yuruatherium tropicalis	extinct	35	38.2
Mazzoniphractus_ingens	extinct	35	38.2
Meteutatus	extinct	24.2	29.4
Meteutatus	extinct	39	41.7
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	31.3	33.6
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	31.3	33.6
Meteutatus aff. lagenaformis	extinct	31.3	33.6
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus_lagenaformis	extinct	24.2	29.4
Meteutatus_percarinatus	extinct	24.2	33.6
Meteutatus_percarinatus	extinct	35	38.2
Meteutatus_rigidus	extinct	31.3	33.6
Meteutatus_rigidus	extinct	31.3	33.6
Meteutatus_rigidus	extinct	31.3	33.6
Meteutatus_rigidus	extinct	24.2	29.4
Meteutatus_tinguiririquensis	extinct	31.3	33.6
Sadypus_confluens	extinct	35	38.2
Sadypus_confluens	extinct	31.3	33.6
Sadypus_minutus	extinct	31.3	33.6
Sadypus_tortuosus	extinct	31.3	33.6
Parastegosimpsonia	extinct	31.3	37.2
Parastegosimpsonia_peruana	extinct	31.3	33.6
Parastegosimpsonia_peruana	extinct	31.3	33.6
Parastegosimpsonia_peruana	extinct	31.3	33.6
Parutaetus	extinct	39	41.7
Parutaetus_chicoensis	extinct	35	38.2
Parutaetus_chicoensis	extinct	35	38.2
Parutaetus_chilensis	extinct	31.3	33.6
Parutaetus_chilensis	extinct	31.3	33.6
Parutaetus_chilensis	extinct	31.3	33.6
Parutaetus_chilensis	extinct	24.2	29.4
Parutaetus_chilensis	extinct	31.3	33.6
Parutaetus_clusus	extinct	35	38.2
Parutaetus_punaensis	extinct	35	38.2
Parutaetus_punaensis	extinct	35	38.2
Parutaetus_punaensis	extinct	44	46
Parutaetus_signatus	extinct	35	38.2
Prostegotherium	extinct	35	38.2
Prostegotherium	extinct	35	38.2
Prostegotherium	extinct	48	51
Prostegotherium	extinct	39	41.7
Prostegotherium	extinct	39	41.7
Prostegotherium	extinct	35	38.2
Prostegotherium_ cf. astrifer	extinct	44	51
Prostegotherium_astrifer	extinct	44	51
Prostegotherium_astrifer	extinct	39	41.7
Prostegotherium_astrifer	extinct	39	41.7
Prostegotherium_astrifer	extinct	41.2	56
Prostegotherium_notostylopianum	extinct	35	38.2
Prostegotherium_notostylopianum	extinct	39	41.7
Pseudeutatus_circundatus	extinct	35	38.2
Pseudeutatus_clypeus	extinct	35	38.2
Pseudeutatus_cuneiformis	extinct	35	38.2
Pseudeutatus_depictus	extinct	35	38.2
Pseudeutatus_depictus	extinct	35	38.2
Pseudostegotherium_chubutanum	extinct	39	41.7
Pseudostegotherium_chubutanum	extinct	35	38.2
Pseudostegotherium_glangeaudi	extinct	20.1	21
Pucatherium_parvum	extinct	35	38.2
Pucatherium_parvum	extinct	48	51
Pucatherium_parvum	extinct	44	45
Pucatherium_parvum	extinct	39	41.7
Pucatherium_parvum	extinct	44	45
Pucatherium_parvum	extinct	48	51
Pucatherium_parvum	extinct	39	41.7
Pucatherium_parvum	extinct	35	38.2
Pucatherium_parvum	extinct	52	54
Punatherium_catamarcensis	extinct	35	38.2
Riostegotherium	extinct	50	51
Riostegotherium	extinct	47	48
Riostegotherium_yanei	extinct	52	54
Stegosimpsonia	extinct	41.3	47.8
Stegosimpsonia	extinct	47	48
Stegosimpsonia	extinct	39	41.7
Stegosimpsonia	extinct	35	38.2
Stegosimpsonia	extinct	35	38.2
Utaetus	extinct	35	38.2
Utaetus	extinct	39	41.7
Utaetus	extinct	39	41.7
Utaetus	extinct	39	41.7
Utaetus	extinct	39	41.7
Utaetus_buccatus	extinct	48	51
