Species	Status	min_age	max_age
Archaeohyrax	extinct	33.9	37.71
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	30.617	30.77
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	27.82	33.9
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeohyrax	extinct	23.03	27.82
Archaeotypotherium	extinct	23.03	27.82
Archaeotypotherium	extinct	28.4	33.9
Archaeotypotherium	extinct	28.4	33.9
Archaeotypotherium	extinct	23.03	33.9
Archaeotypotherium	extinct	27.82	33.9
Archaeotypotherium	extinct	27.82	33.9
Archaeotypotherium	extinct	27.82	33.9
Archaeotypotherium	extinct	27.82	33.9
Archaeotypotherium	extinct	27.82	33.9
Archaeotypotherium	extinct	28.4	33.9
Bryanpattersonia	extinct	33.9	37.71
Bryanpattersonia	extinct	33.9	37.71
Bryanpattersonia	extinct	28.4	33.9
Bryanpattersonia	extinct	28.1	33.9
Bryanpattersonia	extinct	33.9	37.71
Bryanpattersonia	extinct	27.82	33.9
Bryanpattersonia	extinct	33.9	37.71
Bryanpattersonia	extinct	28.4	33.9
Eohyrax	extinct	38	41.2
Eohyrax	extinct	38	41.2
Eohyrax	extinct	41.3	47.8
Eohyrax	extinct	47.8	56
Eohyrax	extinct	33.9	37.71
Eohyrax	extinct	38	41.2
Eohyrax	extinct	38	41.2
Eohyrax	extinct	38	41.2
Eohyrax	extinct	38	41.2
Eohyrax	extinct	38	41.2
Eohyrax	extinct	33.9	37.71
Eohyrax	extinct	38	41.2
Eohyrax	extinct	38	41.2
Eohyrax	extinct	38	47.8
Eohyrax	extinct	33.9	37.71
Isolophodon	extinct	33.9	37.71
Pascualhyrax	extinct	37.71	47.8
Protarchaeohyrax	extinct	28.4	33.9
Protarchaeohyrax	extinct	30.617	30.77
Protarchaeohyrax	extinct	27.82	33.9
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	28.4	33.9
Pseudhyrax	extinct	33.9	41.2
Pseudhyrax	extinct	33.9	41.2
Pseudhyrax	extinct	33.9	41.2
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	23.03	33.9
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	28.4	33.9
Pseudhyrax	extinct	28.4	33.9
Pseudhyrax	extinct	38	38.4
Pseudhyrax	extinct	48	50
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax	extinct	28.4	33.9
Punahyrax	extinct	33.9	37.71
Punahyrax	extinct	33.9	37.71
Punahyrax	extinct	33.9	37.71
Archaeopithecus	extinct	38	41.2
Archaeopithecus	extinct	38	41.2
Archaeopithecus	extinct	38	41.2
Archaeopithecus	extinct	48	50
Archaeopithecus	extinct	41.3	47.8
Archaeopithecus	extinct	41.3	47.8
Archaeopithecus	extinct	48	50
Archaeopithecus	extinct	48	50
Archaeopithecus	extinct	48	50
Archaeopithecus	extinct	51.4	56
Archaeopithecus	extinct	47.8	56
Archaeopithecus	extinct	38	47.8
Archaeopithecus	extinct	38	47.8
Archaeopithecus	extinct	38	47.8
Archaeopithecus	extinct	41.3	47.8
Archaeopithecus	extinct	48	50
Archaeopithecus	extinct	41.3	47.8
Archaeopithecus	extinct	41.3	47.8
Archaeopithecus	extinct	41.3	47.8
Archaeopithecus	extinct	48	50
Archaeopithecus	extinct	48	50
Archaeopithecus	extinct	48	50
Archaeopithecus	extinct	48	50
Archaeopithecus	extinct	47.8	56
Archaeopithecus	extinct	37.71	47.8
Teratopithecus	extinct	47.89	49.51
Teratopithecus	extinct	51.4	56
Teratopithecus	extinct	37.71	47.8
Campanorco	extinct	37.71	47.8
Campanorco	extinct	47.8	56
Hegetotheriopsis	extinct	23.03	27.82
Hegetotheriopsis	extinct	15.97	23.03
Hegetotheriopsis	extinct	15.97	23.03
Hegetotheriopsis	extinct	15.97	23.03
Hegetotheriopsis	extinct	23.03	27.82
Hegetotherium	extinct	23.03	27.82
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	20.44
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	23.03	27.82
Hegetotherium	extinct	13.82	20.44
Hegetotherium	extinct	13.82	20.44
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Hegetotherium	extinct	15.97	23.03
Medistylus	extinct	23.03	27.82
Medistylus	extinct	23.03	27.82
Medistylus	extinct	23.03	27.82
Pachyrukhos	extinct	15.97	20.44
Pachyrukhos	extinct	15.97	23.03
Pachyrukhos	extinct	15.97	23.03
Pachyrukhos	extinct	15.97	23.03
Pachyrukhos	extinct	13.82	20.44
Pachyrukhos	extinct	15.97	23.03
Pachyrukhos	extinct	15.97	23.03
Pachyrukhos	extinct	15.97	23.03
Pachyrukhos	extinct	15.97	23.03
Pachyrukhos	extinct	15.97	23.03
Prohegetotherium	extinct	28.1	33.9
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	15.97	23.03
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	15.97	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Prohegetotherium	extinct	23.03	27.82
Propachyrucos	extinct	23.03	27.82
Prosotherium	extinct	23.03	27.82
Prosotherium	extinct	23.03	27.82
Prosotherium	extinct	23.03	27.82
Prosotherium	extinct	23.03	27.82
Prosotherium	extinct	23.03	27.82
Prosotherium	extinct	23.03	27.82
Prosotherium	extinct	23.03	27.82
Pseudohegetotherium	extinct	23.03	27.82
Sallatherium	extinct	23.03	27.82
Sallatherium	extinct	23.03	27.82
Acamana	extinct	23.03	27.82
Acamana	extinct	23.03	27.82
Acamana	extinct	37.71	47.8
Henricosbornia	extinct	47.8	56
Henricosbornia	extinct	47.8	56
Henricosbornia	extinct	48.6	55.8
Henricosbornia	extinct	38	47.8
Henricosbornia	extinct	48	50
Henricosbornia	extinct	55.8	56
Henricosbornia	extinct	48	50
Henricosbornia	extinct	47	47.8
Henricosbornia	extinct	47.89	49.51
Henricosbornia	extinct	48	50
Henricosbornia	extinct	48	50
Henricosbornia	extinct	38	47.8
Henricosbornia	extinct	38	47.8
Henricosbornia	extinct	38	47.8
Henricosbornia	extinct	38	47.8
Henricosbornia	extinct	41.3	47.8
Henricosbornia	extinct	38	41.2
Henricosbornia	extinct	41.3	47.8
Henricosbornia	extinct	41.3	47.8
Henricosbornia	extinct	41.3	47.8
Henricosbornia	extinct	38	41.2
Henricosbornia	extinct	48	50
Henricosbornia	extinct	48	50
Henricosbornia	extinct	48	50
Henricosbornia	extinct	48	50
Henricosbornia	extinct	48	50
Henricosbornia	extinct	48	50
Henricosbornia	extinct	48	50
Henricosbornia	extinct	48	50
Henricosbornia	extinct	48	50
Henricosbornia	extinct	37.71	47.8
Henricosbornia	extinct	47.8	56
Henricosbornia	extinct	47.8	56
Henricosbornia	extinct	47.8	56
Henricosbornia	extinct	37.71	55.8
Henricosbornia	extinct	48	50
Nanolophodon	extinct	48.6	55.8
Orome	extinct	51.4	56
Orome	extinct	47.8	56
Othnielmarshia	extinct	47.8	56
Othnielmarshia	extinct	48	50
Othnielmarshia	extinct	47.89	49.51
Othnielmarshia	extinct	38	47.8
Othnielmarshia	extinct	48	50
Othnielmarshia	extinct	41.3	47.8
Othnielmarshia	extinct	41.3	47.8
Othnielmarshia	extinct	37.71	47.8
Othnielmarshia	extinct	48	50
Peripantostylops	extinct	47.8	56
Peripantostylops	extinct	38	47.8
Peripantostylops	extinct	38	47.8
Peripantostylops	extinct	48	50
Peripantostylops	extinct	41.3	47.8
Peripantostylops	extinct	37.71	47.8
Simpsonotus	extinct	61	61.6
Simpsonotus	extinct	56	61.6
Simpsonotus	extinct	61	61.6
Homalodontotherium	extinct	23.03	27.82
Asmodeus	extinct	33.9	37.71
Asmodeus	extinct	23.03	27.82
Asmodeus	extinct	23.03	27.82
Asmodeus	extinct	23.03	27.82
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	20.44
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Homalodotherium	extinct	15.97	23.03
Trigonolophodon	extinct	33.9	37.71
Trigonolophodon	extinct	28.4	33.9
Trigonolophodon	extinct	33.9	37.71
Antofagastia	extinct	33.9	37.71
Antofagastia	extinct	33.9	37.71
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Boleatherium	extinct	13.82	20.44
Brucemacfaddenia	extinct	23.03	27.82
Brucemacfaddenia	extinct	23.03	27.82
Brucemacfaddenia	extinct	23.03	27.82
Brucemacfaddenia	extinct	23.03	27.82
Cochilius	extinct	23.03	27.82
Cochilius	extinct	15.97	23.03
Cochilius	extinct	15.97	23.03
Cochilius	extinct	23.03	27.82
Cochilius	extinct	38	41.2
Eopachyrucos	extinct	33.9	37.71
Eopachyrucos	extinct	28.4	33.9
Eopachyrucos	extinct	28.4	33.9
Eopachyrucos	extinct	28.4	33.9
Eopachyrucos	extinct	28.4	33.9
Eopachyrucos	extinct	30.617	30.77
Eopachyrucos	extinct	28.1	33.9
Eopachyrucos	extinct	33.9	37.71
Eopachyrucos	extinct	23.03	27.82
Eopachyrucos	extinct	23.03	27.82
Federicoanaya	extinct	23.03	27.82
Federicoanaya	extinct	23.03	27.82
Fiandraia	extinct	23.03	27.82
Ignigena	extinct	48	50
Interatherium	extinct	15.97	20.44
Interatherium	extinct	13.82	20.44
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Interatherium	extinct	15.97	23.03
Johnbell	extinct	28.4	33.9
Johnbell	extinct	28.4	33.9
Johnbell	extinct	27.82	33.9
Juchuysillu	extinct	13.82	20.44
Patriarchus	extinct	15.97	23.03
Proargyrohyrax	extinct	42	50
Proargyrohyrax	extinct	27.82	33.9
Proargyrohyrax	extinct	27.82	33.9
Proargyrohyrax	extinct	23.03	33.9
Progaleopithecus	extinct	23.03	27.82
Progaleopithecus	extinct	23.03	27.82
Progaleopithecus	extinct	23.03	27.82
Progaleopithecus	extinct	23.03	27.82
Progaleopithecus	extinct	23.03	27.82
Progaleopithecus	extinct	23.03	27.82
Progaleopithecus	extinct	23.03	27.82
Progaleopithecus	extinct	23.03	27.82
Progaleopithecus	extinct	23.03	27.82
Protypotherium	extinct	15.97	20.44
Protypotherium	extinct	13.82	20.44
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	20.44
Protypotherium	extinct	15.97	20.44
Protypotherium	extinct	15.97	20.44
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	23.03	27.82
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	13.82	20.44
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	13.82	20.44
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Protypotherium	extinct	15.97	23.03
Punapithecus	extinct	33.9	37.71
Punapithecus	extinct	33.9	37.71
Santiagorothia	extinct	28.4	33.9
Santiagorothia	extinct	30.617	30.77
Santiagorothia	extinct	27.82	33.9
Santiagorothia	extinct	27.82	33.9
Santiagorothia	extinct	27.82	33.9
Santiagorothia	extinct	27.82	33.9
Santiagorothia	extinct	23.03	27.82
Santiagorothia	extinct	28.4	33.9
Acoelohyrax	extinct	33.9	37.71
Acoelohyrax	extinct	33.9	37.71
Acoelohyrax	extinct	33.9	37.71
Acoelohyrax	extinct	38	41.2
Acoelohyrax	extinct	48	50
Acoelohyrax	extinct	33.9	37.71
Anisotemnus	extinct	38	41.2
Anisotemnus	extinct	48	50
Anisotemnus	extinct	48	50
Anisotemnus	extinct	48	50
Anisotemnus	extinct	48	50
Anisotemnus	extinct	48	50
Anisotemnus	extinct	38	41.2
Anisotemnus	extinct	27.82	33.9
Calodontotherium	extinct	33.9	37.71
Coelostylodon	extinct	48	50
Coelostylodon	extinct	48	50
Colhuelia	extinct	33.9	37.71
Distylophorus	extinct	38	38.4
Distylophorus	extinct	33.9	37.71
Distylophorus	extinct	33.9	37.71
Isotemnus	extinct	47.8	56
Isotemnus	extinct	47.8	56
Isotemnus	extinct	38	47.8
Isotemnus	extinct	47.8	56
Isotemnus	extinct	55.8	56
Isotemnus	extinct	47.8	56
Isotemnus	extinct	47.8	56
Isotemnus	extinct	37.71	55.8
Isotemnus	extinct	48	50
Isotemnus	extinct	48	50
Isotemnus	extinct	38	47.8
Isotemnus	extinct	38	47.8
Isotemnus	extinct	38	47.8
Isotemnus	extinct	38	47.8
Isotemnus	extinct	48	50
Isotemnus	extinct	38	41.2
Isotemnus	extinct	38	41.2
Isotemnus	extinct	38	41.2
Isotemnus	extinct	38	41.2
Isotemnus	extinct	48	50
Isotemnus	extinct	48	50
Isotemnus	extinct	38	47.8
Isotemnus	extinct	48	50
Isotemnus	extinct	48	50
Isotemnus	extinct	38	41.2
Isotemnus	extinct	48	50
Isotemnus	extinct	48	50
Isotemnus	extinct	38	41.2
Isotemnus	extinct	37.71	47.8
Pampatemnus	extinct	46.2	47.8
Pampatemnus	extinct	46.2	47.8
Periphragnis	extinct	33.9	37.71
Periphragnis	extinct	38	41.2
Periphragnis	extinct	33.9	41.2
Periphragnis	extinct	33.9	37.71
Periphragnis	extinct	33.9	37.71
Periphragnis	extinct	28.4	33.9
Periphragnis	extinct	33.9	41.2
Periphragnis	extinct	33.9	37.71
Periphragnis	extinct	38	38.4
Periphragnis	extinct	38	41.2
Periphragnis	extinct	33.9	37.71
Periphragnis	extinct	33.9	37.71
Periphragnis	extinct	33.9	37.71
Periphragnis	extinct	33.9	37.71
Periphragnis	extinct	33.9	37.71
Periphragnis	extinct	33.9	37.71
Periphragnis	extinct	33.9	37.71
Periphragnis	extinct	33.9	37.71
Periphragnis	extinct	33.9	41.2
Periphragnis	extinct	33.9	37.71
Periphragnis	extinct	28.4	33.9
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	47.8	56
Pleurostylodon	extinct	27.82	33.9
Pleurostylodon	extinct	33.9	56
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	48	50
Pleurostylodon	extinct	38	41.2
Pleurostylodon	extinct	48	50
