Species	Status
?Sallamys	extinct
Acarechimys	extinct
Acaremys	extinct
Adelphomys	extinct
aff._Tarapotomys	extinct
Ameghinomys	extinct
Andemys	extinct
Asteromys	extinct
Australoprocta	extinct
Balsayacuy	extinct
Banderomys	extinct
Branisamyopsis	extinct
Branisamys	extinct
Cachiyacuy	extinct
Canaanimys	extinct
Caviocricetus	extinct
Cephalomyopsis	extinct
Cephalomys	extinct
cf._Cachiyacuy	extinct
cf._Eoespina	extinct
cf._Pozomys	extinct
cf._Tarapotomys	extinct
Chachapoyamys	extinct
Chambiramys	extinct
Changquin	extinct
Cholamys	extinct
Chubutomys	extinct
Deseadomys	extinct
Dicardia	extinct
Doryperimys	extinct
Draconomys	extinct
Dudumus	extinct
Eobranisamys	extinct
Eocardia	extinct
Eocardia_(Dicardia)	extinct
Eodelphomys	extinct
Eoespina	extinct
Eoincamys	extinct
Eopicure	extinct
Eopululo	extinct
Eosachacui	extinct
Eosallamys	extinct
Eosteiromys	extinct
Eoviscaccia	extinct
Ethelomys	extinct
Galileomys	extinct
Garridomys	extinct
Guiomys	extinct
Hypsosteiromys	extinct
Incamys	extinct
Kichkasteiromys	extinct
Lapazomys	extinct
Leucokephalos	extinct
Litodontomys	extinct
Llitun	extinct
Loncolicu	extinct
Loretomys	extinct
Luantus	extinct
Maruchito	extinct
Mayomys	extinct
Microsteiromys	extinct
Migraveramus	extinct
Miochinchilla	extinct
Neoreomys	extinct
Orthomyctera	extinct
Palaeosteiromys	extinct
Paradelphomys	extinct
Parasteiromys	extinct
Paulacoutomys	extinct
Perimys	extinct
Phanomys	extinct
Platypittamys	extinct
Plesiosteiromys	extinct
Pliolagostomus	extinct
Pozomys	extinct
Prolagostomus	extinct
Prospaniomys	extinct
Prostichomys	extinct
Protacaremys	extinct
Protadelphomys	extinct
Protosteiromys	extinct
Pseudoacaremys	extinct
Sallamys	extinct
Saremmys	extinct
Schistomys	extinct
Sciamys	extinct
Scleromys	extinct
Scotamys	extinct
Selvamys	extinct
Shapajamys	extinct
Soriamys	extinct
Spaniomys	extinct
Steiromys	extinct
Stichomys	extinct
Tacheria	extinct
Tarapotomys	extinct
Ucayalimys	extinct
Vallehermosomys	extinct
Vucetichimys	extinct
Willidewu	extinct
Xylechimys	extinct
