Species	Status
Acrocyon	extinct
Acyon	extinct
Andinogale	extinct
Angelocabrerus	extinct
Arctodictis	extinct
Argyrolestes	extinct
Arminiheringia	extinct
Australohyaena	extinct
Borhyaena	extinct
Callistoe	extinct
Chlorocyon	extinct
Cladosictis	extinct
Eobrasilia	extinct
Eomakhaira	extinct
Fredszalaya	extinct
Lycopsis	extinct
Micoureus	extant
Nemolestes	extinct
Notogale	extinct
Paraborhyaena	extinct
Patene	extinct
Perathereutes	extinct
Pharsophorus	extinct
Plesiofelis	extinct
Proborhyaena	extinct
Procladosictis	extinct
Prothylacynus	extinct
Pseudonotictis	extinct
Pseudothylacynus	extinct
Sallacyon	extinct
Sipalocyon	extinct
