Species	Status	min_age	max_age
Astraponotus	extinct	35	38.2
Astraponotus	extinct	35	38.2
Astraponotus	extinct	33.9	41.2
Astraponotus	extinct	33.9	41.2
Astraponotus	extinct	33.9	41.2
Astraponotus	extinct	48	50
Astraponotus	extinct	35	38.2
Astraponotus	extinct	35	38.2
Astraponotus	extinct	35	38.2
Astraponotus	extinct	35	38.2
Astrapothericulus	extinct	20.1	21
Astrapothericulus	extinct	18	19
Astrapothericulus	extinct	18	19
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	20.1	21
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	15.97	20.44
Astrapotherium	extinct	20.1	21
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	17.41	17.5
Astrapotherium	extinct	17.49	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	17.49	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	17.41	17.5
Astrapotherium	extinct	16.9	17.41
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.88	17.41
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.67	17.22
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	20.5	21
Comahuetherium	extinct	20.1	21
Hilarcotherium	extinct	13.82	20.44
Hilarcotherium	extinct	15.97	20.44
Hilarcotherium	extinct	15.97	20.44
Liarthrus	extinct	24.2	29
Liarthrus	extinct	24.2	29
Maddenia	extinct	30.617	30.77
Parastrapotherium	extinct	20.1	21
Parastrapotherium	extinct	24.2	29
Parastrapotherium	extinct	24.2	29
Parastrapotherium	extinct	20.1	21
Parastrapotherium	extinct	20.1	21
Parastrapotherium	extinct	20.5	21
Parastrapotherium	extinct	26.3	29
Parastrapotherium	extinct	24.2	29
Parastrapotherium	extinct	24.2	29
Parastrapotherium	extinct	24.2	21
Parastrapotherium	extinct	26.3	29
Parastrapotherium	extinct	20.5	21
Parastrapotherium	extinct	26.3	29
Scaglia	extinct	48	50
Scaglia	extinct	44	45
Uruguaytherium	extinct	24.2	29
Xenastrapotherium	extinct	24.2	29.4
Eoastrapostylops	extinct	56	58.7
Albertogaudrya	extinct	41.3	47.8
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	41.3	47.8
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	47.8	52.5
Albertogaudrya	extinct	35	38.2
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	48	50
Tetragonostylops	extinct	44	45
Tetragonostylops	extinct	48.6	55.8
Tetragonostylops	extinct	52	53
Trigonostylops	extinct	50	51
Trigonostylops	extinct	50	51
Trigonostylops	extinct	50	51
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	48	50
Trigonostylops	extinct	36	42
Trigonostylops	extinct	47.8	56
Trigonostylops	extinct	48	50
Trigonostylops	extinct	33.9	41.2
Trigonostylops	extinct	48.6	55.8
Trigonostylops	extinct	37.71	47.8
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	41.3	47.8
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	47.8
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	44	45
Trigonostylops	extinct	48	50
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	48	50
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	48	50
Adianthus	extinct	17.41	17.5
Adiantoides	extinct	44	45
Adiantoides	extinct	44	45
Indalecia	extinct	46.2	47.8
Proadiantus	extinct	24.2	29
Proadiantus	extinct	24.2	29
Proadiantus	extinct	24.2	29
Proheptaconus	extinct	20.1	21
Proheptaconus	extinct	20.5	21
Thadanius	extinct	24.2	29
Thadanius	extinct	24.5	26
Tricoelodus	extinct	24.2	29
Tricoelodus	extinct	24.2	29
Tricoelodus	extinct	24.2	29
Tricoelodus	extinct	24.5	26
Amilnedwardsia	extinct	44	45
Coniopternium	extinct	24.2	29
Coniopternium	extinct	24.2	29
Coniopternium	extinct	24.2	29
Coniopternium	extinct	24.2	29
Coniopternium	extinct	24.5	26
Cramauchenia	extinct	20.1	21
Cramauchenia	extinct	24.2	29
Cramauchenia	extinct	20.1	21
Cramauchenia	extinct	20.1	21
Cramauchenia	extinct	20.5	21
Ernestohaeckelia	extinct	48	50
Ernestohaeckelia	extinct	48	50
Llullataruca	extinct	13.82	20.44
Notodiaphorus	extinct	24.2	29
Pternoconius	extinct	20.5	21
Pternoconius	extinct	20.5	21
Rutimeyeria	extinct	38	41.2
Theosodon	extinct	16.3	17.5
Theosodon	extinct	16.3	17.5
Theosodon	extinct	16.3	17.5
Theosodon	extinct	20.1	21
Theosodon	extinct	20.1	21
Theosodon	extinct	16.3	17.5
Theosodon	extinct	16.3	17.5
Theosodon	extinct	16.3	17.5
Theosodon	extinct	15.97	20.44
Theosodon	extinct	16.3	17.5
Theosodon	extinct	17.41	17.5
Theosodon	extinct	16.9	17.41
Theosodon	extinct	16.3	17.5
Theosodon	extinct	15.97	20.44
Theosodon	extinct	16.3	17.5
Theosodon	extinct	16.3	17.5
Theosodon	extinct	16.3	17.5
Theosodon	extinct	16.3	17.5
Theosodon	extinct	17.41	17.5
Theosodon	extinct	15.97	23.03
Victorlemoineia	extinct	48	50
Victorlemoineia	extinct	50	51
Victorlemoineia	extinct	41.3	47.8
Victorlemoineia	extinct	47.8	56
Victorlemoineia	extinct	47.8	56
Victorlemoineia	extinct	41.3	47.8
Victorlemoineia	extinct	48	50
Victorlemoineia	extinct	48	50
Victorlemoineia	extinct	52	53
Anisolambda	extinct	50	51
Anisolambda	extinct	47.8	56
Anisolambda	extinct	48	50
Anisolambda	extinct	41.3	47.8
Anisolambda	extinct	44	45
Anisolambda	extinct	38	41.2
Anisolambda	extinct	44	45
Anisolambda	extinct	48	50
Anisolambda	extinct	48	50
Anisolambda	extinct	41.3	47.8
Anisolambda	extinct	48	50
Anisolambda	extinct	48	50
Anisolambda	extinct	38	41.2
Anisolophus	extinct	13.82	20.44
Anisolophus	extinct	16.3	17.5
Anisolophus	extinct	16.3	16.32
Anisolophus	extinct	16.3	16.32
Deuterotherium	extinct	24.2	29
Deuterotherium	extinct	24.2	29
Deuterotherium	extinct	24.2	29
Guilielmofloweria	extinct	38	41.2
Heteroglyphis	extinct	35	38.2
Lambdaconus	extinct	18	19
Lambdaconus	extinct	48	50
Lambdaconus	extinct	24.2	29
Licaphrium	extinct	16.3	17.5
Licaphrium	extinct	16.3	17.5
Licaphrium	extinct	16.3	17.5
Licaphrium	extinct	16.3	17.5
Licaphrops	extinct	20.5	21
Paramacrauchenia	extinct	18	19
Paranisolambda	extinct	52	53
Phoradiadius	extinct	44	45
Picturotherium	extinct	15.97	20.44
Picturotherium	extinct	18	19
Picturotherium	extinct	18	19
Picturotherium	extinct	18	19
Picturotherium	extinct	15.97	20.44
Polyacrodon	extinct	35	38.2
Polyacrodon	extinct	35	38.2
Polyacrodon	extinct	35	38.2
Polyacrodon	extinct	35	38.2
Polyacrodon	extinct	35	38.2
Polymorphis	extinct	35	38.2
Polymorphis	extinct	35	38.2
Polymorphis	extinct	35	38.2
Polymorphis	extinct	35	38.2
Prolicaphrium	extinct	20.5	21
Promylophis	extinct	24.2	29.4
Proterotherium	extinct	18	19
Proterotherium	extinct	17.41	17.5
Proterotherium	extinct	16.3	17.5
Proterotherium	extinct	17.49	17.5
Proterotherium	extinct	17.49	17.5
Proterotherium	extinct	16.3	17.5
Proterotherium	extinct	16.3	17.5
Proterotherium	extinct	16.3	16.32
Proterotherium	extinct	16.49	17.04
Proterotherium	extinct	16.3	17.5
Proterotherium	extinct	16.3	17.5
Proterotherium	extinct	16.3	17.5
Proterotherium	extinct	16.3	17.5
Proterotherium	extinct	16.3	17.5
Proterotherium	extinct	16.3	17.5
Proterotherium	extinct	16.3	17.5
Proterotherium	extinct	16.3	17.5
Proterotherium	extinct	16.3	17.5
Proterotherium	extinct	16.3	17.5
Proterotherium	extinct	16.3	17.5
Proterotherium	extinct	15.97	20.44
Proterotherium	extinct	24.2	29
