Species	Status
?_Eocoleophorus	extinct
Acdestis	extinct
Acdestodon	extinct
Acdestoides	extinct
Adiastaltus	extinct
Amphidolops	extinct
Anantiosodon	extinct
Anargyrolagus	extinct
Antawallathentes	extinct
Apeirodon	extinct
Argyromanis	extinct
Ashaninkacebus	extinct
Asterostemma	extinct
Austropediomys	extinct
Bardalestes	extinct
Bergqvistherium	extinct
Bobbschaefferia	extinct
Bonapartherium	extinct
Branisella	extinct
Canaanimico	extinct
Canchadelphys	extinct
Carlocebus	extinct
Carlothentes	extinct
Caroloameghinia	extinct
Carolocoutoia	extinct
Carolopaulacoutoia	extinct
Chilecebus	extinct
Chulpasia	extinct
Clypeotherium	extinct
Cochlops	extinct
Coloradolops	extinct
Coona	extinct
Derorhynchus	extinct
Didelphopsis	extinct
Diogenesia	extinct
Dolichocebus	extinct
Eocoleophorus	extinct
Epidolops	extinct
Epiklohnia	extinct
Eucinepeltus	extinct
Eudolops	extinct
Evolestes	extinct
Fieratherium	extinct
Gashternia	extinct
Gaylordia	extinct
Glyptatelus	extinct
Guggenheimia	extinct
Homunculus	extinct
Hondonadia	extinct
Hypodolops	extinct
Incadolops	extinct
Itaboraidelphys	extinct
Kiruwamaq	extinct
Klohnia	extinct
Kramadolops	extinct
Lomaphorelus	extinct
Marmosopsis	extinct
Mazzonicebus	extinct
Mcdonaldocnus	extinct
Metopotoxus	extinct
Minusculodelphis	extinct
Monodelphopsis	extinct
Neosaimiri	extinct
Orthoarthrus	extinct
Palaeopeltis	extinct
Palaeothentes	extinct
Palangania	extinct
Parabderites	extinct
Parapropalaehoplophorus	extinct
Parvimico	extinct
Pauladelphys	extinct
Pelecyodon	extinct
Peltephilus	extinct
Peradectes	extinct
Periakros	extinct
Periprotodidelphis	extinct
Perupithecus	extinct
Phonocdromus	extinct
Polydolops	extinct
Praedens	extinct
Prepidolops	extinct
Proargyrolagus	extinct
Procaroloameghinia	extinct
Proeocoleophorus	extinct
Proeutatus	extinct
Propalaehoplophorus	extinct
Propalaeothentes	extinct
Protodidelphis	extinct
Prozaedyus	extinct
Pseudolops	extinct
Punadolops	extinct
Reigia	extinct
Riolestes	extinct
Ronwolffia	extinct
Rosendolops	extinct
Rumiodon	extinct
Saltatherium	extinct
Sasawatsu	extinct
Schismotherium	extinct
Scirrotherium	extinct
Sillustania	extinct
Similhapalops	extinct
Soriacebus	extinct
Stegotherium	extinct
Stenotatus	extinct
tegotherium	extinct
Titanothentes	extinct
Trelewthentes	extinct
Tremacebus	extinct
Ucayalipithecus	extinct
Vassallia	extinct
Wamradolops	extinct
Woodburnodon	extinct
Xyophorus	extinct
Yuruatherium	extinct
Zeusdelphys	extinct
