Species	Status
?_Eocoleophorus	extinct
Adiastaltus	extinct
Anantiosodon	extinct
Archaeutatus	extinct
Argyromanis	extinct
Astegotherium	extinct
Asterostemma	extinct
Baraguatherium	extinct
Barrancatatus	extinct
cf._Hapalops	extinct
Clypeotherium	extinct
Cochlops	extinct
Deseadognathus	extinct
Eocoleophorus	extinct
Eucholoeops	extinct
Eucinepeltus	extinct
Eutatus	extinct
Glyptatelus	extinct
Hapalops	extinct
Holomegalonyx	extinct
Hyperleptus	extinct
Kuntinaru	extinct
Lomaphorelus	extinct
Lumbreratherium	extinct
Machlydotherium	extinct
Mazzoniphractus	extinct
Mcdonaldocnus	extinct
Megalonychotherium	extinct
Meteutatus	extinct
Metopotoxus	extinct
Mylodon	extinct
Nematherium	extinct
Octodontotherium	extinct
Orthoarthrus	extinct
Palaeopeltis	extinct
Parapropalaehoplophorus	extinct
Parastegosimpsonia	extinct
Paroctodontotherium	extinct
Parutaetus	extinct
Pelecyodon	extinct
Peltephilus	extinct
Planops	extinct
Prepoplanops	extinct
Prepotherium	extinct
Proeocoleophorus	extinct
Proeutatus	extinct
Propalaehoplophorus	extinct
Proschismotherium	extinct
Prostegotherium	extinct
Protamandua	extinct
Prozaedyus	extinct
Pseudeutatus	extinct
Pseudoglyptodon	extinct
Pseudoprepotherium	extinct
Pseudostegotherium	extinct
Pucatherium	extinct
Punatherium	extinct
Riostegotherium	extinct
Ronwolffia	extinct
Saltatherium	extinct
Schismotherium	extinct
Scirrotherium	extinct
Stegosimpsonia	extinct
Stegotherium	extinct
Stenotatus	extinct
tegotherium	extinct
Utaetus	extinct
Vassallia	extinct
Vetelia	extinct
Xyophorus	extinct
Yuruatherium	extinct
