Species	Status	min_age	max_age
Astraponotus	extinct	35	38.2
Astraponotus	extinct	35	38.2
Astraponotus	extinct	33.9	41.2
Astraponotus	extinct	33.9	41.2
Astraponotus	extinct	33.9	41.2
Astraponotus_assymmetrus	extinct	48	50
Astraponotus_dicksoni	extinct	35	38.2
Astraponotus_dilatatus	extinct	35	38.2
Astraponotus_holdichi	extinct	35	38.2
Astraponotus_thompsoni	extinct	35	38.2
Astrapothericulus	extinct	20.1	21
Astrapothericulus_iheringi	extinct	18	19
Astrapothericulus_iheringi	extinct	18	19
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	20.1	21
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	16.3	17.5
Astrapotherium	extinct	15.97	20.44
Astrapotherium	extinct	20.1	21
Astrapotherium	extinct	16.3	17.5
Astrapotherium_christi	extinct	16.3	17.5
Astrapotherium_magnum	extinct	17.41	17.5
Astrapotherium_magnum	extinct	17.49	17.5
Astrapotherium_magnum	extinct	16.3	17.5
Astrapotherium_magnum	extinct	17.49	17.5
Astrapotherium_magnum	extinct	16.3	17.5
Astrapotherium_magnum	extinct	17.41	17.5
Astrapotherium_magnum	extinct	16.9	17.41
Astrapotherium_magnum	extinct	16.3	17.5
Astrapotherium_magnum	extinct	16.88	17.41
Astrapotherium_magnum	extinct	16.3	17.5
Astrapotherium_magnum	extinct	16.67	17.22
Astrapotherium_magnum	extinct	16.3	17.5
Astrapotherium_magnum	extinct	16.3	17.5
Astrapotherium_magnum	extinct	16.3	17.5
Astrapotherium_magnum	extinct	16.3	17.5
Astrapotherium_ruderarium	extinct	20.5	21
Comahuetherium_coccaorum	extinct	20.1	21
Hilarcotherium_miyou	extinct	13.82	20.44
Hilarcotherium_miyou	extinct	15.97	20.44
Hilarcotherium_miyou	extinct	15.97	20.44
Liarthrus_copei	extinct	24.2	29
Liarthrus_copei	extinct	24.2	29
Maddenia_lapidaria	extinct	30.617	30.77
Parastrapotherium	extinct	20.1	21
Parastrapotherium	extinct	24.2	29
Parastrapotherium	extinct	24.2	29
Parastrapotherium	extinct	20.1	21
Parastrapotherium	extinct	20.1	21
Parastrapotherium_crassum	extinct	20.5	21
Parastrapotherium_holmbergi	extinct	26.3	29
Parastrapotherium_holmbergi	extinct	24.2	29
Parastrapotherium_holmbergi	extinct	24.2	29
Parastrapotherium_holmbergi	extinct	24.2	21
Parastrapotherium_martiale	extinct	26.3	29
Parastrapotherium_symmetrum	extinct	20.5	21
Parastrapotherium_voghti	extinct	26.3	29
Scaglia_kraglievichorum	extinct	48	50
Scaglia_kraglievichorum	extinct	44	45
Uruguaytherium_beaulieui	extinct	24.2	29
Xenastrapotherium_chaparralensis	extinct	24.2	29.4
Eoastrapostylops_riolorense	extinct	56	58.7
Albertogaudrya	extinct	41.3	47.8
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	38	41.2
Albertogaudrya_carahuasensis	extinct	47.8	52.5
Albertogaudrya_robusta	extinct	35	38.2
Albertogaudrya_unica	extinct	48	50
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	48	50
Albertogaudrya_unica	extinct	48	50
Albertogaudrya_unica	extinct	48	50
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	48	50
Tetragonostylops_apthomasi	extinct	44	45
Tetragonostylops_apthomasi	extinct	48.6	55.8
Tetragonostylops_apthomasi	extinct	52	53
Trigonostylops	extinct	50	51
Trigonostylops	extinct	50	51
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	48	50
Trigonostylops	extinct	36	42
Trigonostylops	extinct	47.8	56
Trigonostylops	extinct	48	50
Trigonostylops	extinct	33.9	41.2
Trigonostylops	extinct	48.6	55.8
Trigonostylops	extinct	37.71	47.8
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	41.3	47.8
Trigonostylops_wortmani	extinct	48	50
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	48	50
Trigonostylops_wortmani	extinct	38	47.8
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	44	45
Trigonostylops_wortmani	extinct	48	50
Trigonostylops_wortmani	extinct	48	50
Trigonostylops_wortmani	extinct	48	50
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	48	50
Mormopterus	extinct	20.1	21
Mormopterus_barrancae	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	20.1	21
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	18
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	20.1	19
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_oenophorum	extinct	16.3	18
Proeutatus_robustus	extinct	16.3	18
Proeutatus_robustus	extinct	16.3	18
Proeutatus_robustus	extinct	16.3	18
Proeutatus_robustus	extinct	16.3	18
Proeutatus_robustus	extinct	16.3	18
Prozaedius_impressus	extinct	24.2	29.4
Prozaedius_planus	extinct	24.2	29.4
Prozaedyus	extinct	24.2	33.6
Prozaedyus	extinct	16.5	18.75
Prozaedyus	extinct	20.1	21
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus	extinct	16.3	18
Prozaedyus aff. impressus	extinct	24.2	29.4
Prozaedyus aff. impressus	extinct	24.2	29.4
Prozaedyus aff. impressus	extinct	24.2	29.4
Prozaedyus proximus	extinct	16.3	18
Prozaedyus_exilis	extinct	16.3	18
Prozaedyus_exilis	extinct	16.3	18
Prozaedyus_exilis	extinct	16.3	18
Prozaedyus_humilis	extinct	20.1	21
Prozaedyus_proximus	extinct	16.3	18
Prozaedyus_proximus	extinct	16.3	18
Prozaedyus_proximus	extinct	16.3	18
Prozaedyus_proximus	extinct	16.3	18
Prozaedyus_proximus	extinct	16.3	18
Stenotatus	extinct	24.2	29
Stenotatus	extinct	31.3	33.6
Stenotatus	extinct	24.2	29
Stenotatus	extinct	24.2	29
Stenotatus	extinct	20.1	21
Stenotatus	extinct	20.1	21
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	24.2	29
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	18
Stenotatus	extinct	16.3	17.5
Stenotatus	extinct	24.2	29.4
Stenotatus	extinct	16.3	18
Stenotatus aff. nornatus	extinct	24.2	29
Stenotatus ornatus	extinct	24.2	29
Stenotatus_centralis	extinct	20	21
Stenotatus_hesternus	extinct	16.3	18
Stenotatus_patagonicus	extinct	20.1	21
Stenotatus_patagonicus	extinct	16.3	18
Stenotatus_patagonicus	extinct	16.3	18
Stenotatus_patagonicus	extinct	16.3	18
Stenotatus_patagonicus	extinct	16.3	18
Stenotatus_patagonicus	extinct	16.3	18
Stenotatus_patagonicus	extinct	16.3	18
Stenotatus_patagonicus	extinct	16.3	18
Archaeutatus	extinct	31.3	29.4
Archaeutatus	extinct	24.2	29.4
Archaeutatus_malaspinensis	extinct	31.3	33.6
Archaeutatus_malaspinensis	extinct	24.2	29.4
Archaeutatus_malaspinensis	extinct	24.2	29.4
Astegotherium	extinct	31.3	33.6
Astegotherium	extinct	31.3	33.6
Astegotherium sp. nov.	extinct	47.8	56
Barrancatatus_maddeni	extinct	31.3	33.6
Barrancatatus_rigidus	extinct	31.3	33.6
Barrancatatus_rigidus	extinct	31.3	33.6
Barrancatatus_rigidus	extinct	35	38.2
Barrancatatus_rigidus	extinct	31.3	33.6
Barrancatatus_tinguiririquensis	extinct	31.3	33.6
Proeutatus_carinatus	extinct	16.3	18
Proeutatus_deleo	extinct	16.3	18
Proeutatus_deleo	extinct	16.3	18
Proeutatus_lagena	extinct	16.3	18
Proeutatus_lagena	extinct	16.3	18
Kuntinaru_boliviensis	extinct	24.2	29.4
Lumbreratherium_oblitum	extinct	48	46
Machlydotherium	extinct	31.3	33.6
Machlydotherium	extinct	24.2	29.4
Machlydotherium	extinct	39	41.7
Machlydotherium_asperum	extinct	35	38.2
Machlydotherium_ater	extinct	24.2	33.6
Machlydotherium_ater	extinct	35	38.2
Machlydotherium_sparsum	extinct	35	38.2
Yuruatherium tropicalis	extinct	35	38.2
Mazzoniphractus_ingens	extinct	35	38.2
Meteutatus	extinct	24.2	29.4
Meteutatus	extinct	39	41.7
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	31.3	33.6
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	31.3	33.6
