Species	Status
?Sallamys	extinct
Acamana	extinct
Acamana_ambiguus	extinct
Acarechimys	extinct
Acarechimys_gracilis	extinct
Acarechimys_leucotheae	extinct
Acarechimys_minutissimus	extinct
Acarechimys_minutus	extinct
Acarechimys_pascuali	extinct
Acaremys	extinct
Acaremys_major	extinct
Acaremys_messor	extinct
Acaremys_minutissimus	extinct
Acaremys_murinus	extinct
Acaremys_preminutus	extinct
Acaremys_tricarinatus	extinct
Acoelodus_debilitatus	extinct
Acoelodus_oppositus	extinct
Acoelodus_proclivus	extinct
Acoelodus_terminalis	extinct
Acoelohyrax	extinct
Acoelohyrax_coalitus	extinct
Acoelohyrax_coarctatus	extinct
Acoelohyrax_complicatissimus	extinct
Acoelohyrax_coronatus	extinct
Acoelohyrax_sigma	extinct
Adelphomys	extinct
Adelphomys_candidus	extinct
Adianthus_bucatus	extinct
Adiantoides_leali	extinct
Adiantoides_magnus	extinct
Adinotherium	extinct
Adinotherium_ovinum	extinct
Adinotherium_robustum	extinct
aff._Eosallamys_sp.	extinct
aff._Tarapotomys	extinct
aff._Tarapotomys_sp.	extinct
Albertogaudrya	extinct
Albertogaudrya_carahuasensis	extinct
Albertogaudrya_robusta	extinct
Albertogaudrya_unica	extinct
Allalmeia_atalaensis	extinct
Altitypotherium	extinct
Altitypotherium_chucalensis	extinct
Altitypotherium_paucidens	extinct
Ameghinomys_constans	extinct
Amilnedwardsia_brevicula	extinct
Anayatherium	extinct
Anayatherium_ekecoa	extinct
Anayatherium_fortis	extinct
Ancylocoelus_frequens	extinct
Ancylocoelus_minor	extinct
Andemys_termasi	extinct
Anisolambda	extinct
Anisolambda_amel	extinct
Anisolambda_fissidens	extinct
Anisolophus	extinct
Anisolophus_floweri	extinct
Anisotemnus	extinct
Anisotemnus_distentus	extinct
Antepithecus	extinct
Antepithecus_brachystephanus	extinct
Antepithecus_innexus	extinct
Antofagastia	extinct
Antofagastia_turneri	extinct
Archaeogaia_macachaae	extinct
Archaeohyrax	extinct
Archaeohyrax_patagonicus	extinct
Archaeohyrax_suniensis	extinct
Archaeophylus_patrius	extinct
Archaeopithecus_rogeri	extinct
Archaeoplus_incipiens	extinct
Archaeotypotherium	extinct
Archaeotypotherium_pattersoni	extinct
Archaeotypotherium_propheticus	extinct
Archaeotypotherium_tinguiriricaense	extinct
Argyrohippus_boulei	extinct
Argyrohippus_praecox	extinct
Argyrohyrax	extinct
Argyrohyrax_proavus	extinct
Asmithwoodwardia	extinct
Asmithwoodwardia_scotti	extinct
Asmithwoodwardia_subtrigona	extinct
Asmodeus	extinct
Asmodeus_osborni	extinct
Asmodeus_petrasnerus	extinct
Asteromys_bolivianus	extinct
Asteromys_puelche	extinct
Asteromys_punctus	extinct
Astraponotus	extinct
Astraponotus_assymmetrus	extinct
Astraponotus_dicksoni	extinct
Astraponotus_dilatatus	extinct
Astraponotus_holdichi	extinct
Astraponotus_thompsoni	extinct
Astrapothericulus	extinct
Astrapothericulus_iheringi	extinct
Astrapotherium	extinct
Astrapotherium_christi	extinct
Astrapotherium_magnum	extinct
Astrapotherium_ruderarium	extinct
Australoprocta_fleaglei	extinct
Baguatherium_jaureguii	extinct
Balsayacuy	extinct
Balsayacuy_huallagaensis	extinct
Banderomys_leanzai	extinct
Baraguatherium_takumara	extinct
Boleatherium_praeludium	extinct
Boreastylops_lumbrerensis	extinct
Brachystephanus_postremus	extinct
Branisamyopsis_australis	extinct
Branisamyopsis_praesigmoides	extinct
Branisamys_luribayensis	extinct
Brucemacfaddenia_boliviensis	extinct
Bryanpattersonia_nesodontoides	extinct
Bryanpattersonia_sulcidens	extinct
Cachiyacuy	extinct
Cachiyacuy_cf._contamanensis	extinct
Cachiyacuy_cf._kummeli	extinct
Cachiyacuy_contamanensis	extinct
Cachiyacuy_kummeli	extinct
Cachiyacuy_sp.	extinct
Calodontotherium_varietatum	extinct
Camargomendesia	extinct
Campanorco	extinct
Campanorco_inauguralis	extinct
Canaanimys_maquiensis	extinct
Canaanimys_sp.	extinct
Carolozittelia_tapiroides	extinct
Caviocricetus_lucasi	extinct
Cephalomyopsis	extinct
Cephalomyopsis_hipselodontus	extinct
Cephalomys	extinct
Cephalomys_arcidens	extinct
Cephalomys_ceciae	extinct
cf._Cachiyacuy_kummeli	extinct
cf._Eoespina	extinct
cf._Hapalops	extinct
cf._Pozomys_ucayaliensis	extinct
cf._Tarapotomys	extinct
Chachapoyamys_cf._kathetos	extinct
Chachapoyamys_kathetos	extinct
Chambiramys_shipiborum	extinct
Chambiramys_sylvaticus	extinct
Changquin_woodi	extinct
Chilestylops_davidsoni	extinct
Cholamys_tetralophodonta	extinct
Chubutomys_leucoreios	extinct
Chubutomys_navaensis	extinct
Chubutomys_simpsoni	extinct
Cochilius	extinct
Cochilius_fumensis	extinct
Cochilius_volvens	extinct
Coelostylodon_caroloameghinoi	extinct
Coelostylodon_florentinoameghinoi	extinct
Colbertia	extinct
Colbertia_falui	extinct
Colbertia_lumbrerense	extinct
Colbertia_magellanica	extinct
Colhuelia_fruhi	extinct
Colombitherium_tolimense	extinct
Colpodon	extinct
Colpodon_antucoensis	extinct
Colpodon_distinctus	extinct
Comahuetherium_coccaorum	extinct
Coniopternium	extinct
Coniopternium_andinum	extinct
Coniopternium_primitivum	extinct
Coquenia	extinct
Coquenia_bondi	extinct
Coresodon	extinct
Coresodon_scalpridens	extinct
Cramauchenia	extinct
Cramauchenia_normalis	extinct
Deseadognathus_riggsi	extinct
Deseadomys_arambourgi	extinct
Deuterotherium	extinct
Deuterotherium_distichum	extinct
Diadiaphorus_caniadensis	extinct
Diadiaphorus_majusculus	extinct
Diadiaphorus_robustus	extinct
Dicardia_fissa	extinct
Distylophorus_alouatinus	extinct
Dolichostylodon_saltensis	extinct
Doryperimys_olsacheri	extinct
Draconomys_verai	extinct
Dudumus	extinct
Dudumus_ruigomezi	extinct
Edvardotrouessartia_sola	extinct
Elmerriggsia_fieldia	extinct
Eoastrapostylops_riolorense	extinct
Eobranisamys	extinct
Eobranisamys_javierpradoi	extinct
Eobranisamys_riverai	extinct
Eobranisamys_romeropittmanae	extinct
Eocardia	extinct
Eocardia_(Dicardia)	extinct
Eocardia_montana	extinct
Eocardia_robusta	extinct
Eodelphomys_almeidacomposi	extinct
Eoespina	extinct
Eoespina_woodi	extinct
Eohyrax	extinct
Eohyrax_isotemnoides	extinct
Eohyrax_platyodus	extinct
Eohyrax_praerusticus	extinct
Eohyrax_rusticus	extinct
Eoincamys	extinct
Eoincamys_aff._pascuali	extinct
Eoincamys_ameghinoi	extinct
Eoincamys_cf._pascuali	extinct
Eoincamys_parvus	extinct
Eoincamys_pascuali	extinct
Eoincamys_sp.	extinct
Eoincamys_valverdei	extinct
Eolicaphrium_primarium	extinct
Eomorphippus	extinct
Eomorphippus_bondi	extinct
Eomorphippus_neilopdykei	extinct
Eomorphippus_obscurus	extinct
Eopachyrucos	extinct
Eopachyrucos_pliciferus	extinct
Eopachyrucos_pliciformis	extinct
Eopachyrucos_ranchoverdensis	extinct
Eopicure_kraglievichi	extinct
Eopululo_sp.	extinct
Eopululo_wigmorei	extinct
Eosachacui_lavocati	extinct
Eosallamys_paulacoutoi	extinct
Eosallamys_simpsoni	extinct
Eosteiromys	extinct
Eosteiromys_annectens	extinct
Eosteiromys_homogenidens	extinct
Eosteiromys_segregatus	extinct
Eotypotherium_chico	extinct
Eoviscaccia	extinct
Eoviscaccia_australis	extinct
Eoviscaccia_boliviana	extinct
Eoviscaccia_frassinettii	extinct
Ernestohaeckelia_aculeata	extinct
Ernestohaeckelia_acutidens	extinct
Ethelomys	extinct
Eucholoeops	extinct
Eucholoeops_fronto	extinct
Eucholoeops_ingens	extinct
Eurygenium_latirostris	extinct
Eurygenium_pacegnum	extinct
Eurystephanodon_cattanii	extinct
Eutrachytherus_grandis	extinct
Eutrachytherus_modestus	extinct
Federicoanaya_sallaensis	extinct
Fiandraia	extinct
Galileomys_antelucanus	extinct
Galileomys_baios	extinct
Galileomys_eurygnathus	extinct
Garridomys_curunuquem	extinct
Griphodon	extinct
Griphodon_peruvianus	extinct
Griphotherion_peiranoi	extinct
Gualta_cuyana	extinct
Guilielmofloweria_plicata	extinct
Guilielmoscottia	extinct
Guilielmoscottia_plicifera	extinct
Guiomys	extinct
Hapalops	extinct
Hapalops_angustipalatus	extinct
Hapalops_cf._elongatus	extinct
Hapalops_elongatus	extinct
Hapalops_gracilidens	extinct
Hapalops_indifferens	extinct
Hapalops_longiceps	extinct
Hapalops_longipes	extinct
Hapalops_platycephalus	extinct
Hapalops_ponderosus	extinct
Hapalops_rectangularis	extinct
Hapalops_rutimeyeri	extinct
Hegetotheriopsis_sulcatus	extinct
Hegetotherium	extinct
Hegetotherium_cerdasensis	extinct
Hegetotherium_mirabile	extinct
Hegetotherium_novum	extinct
Henricofilholia_lustrata	extinct
Henricofilholia_vucetichia	extinct
Henricosbornia	extinct
Henricosbornia_ampla	extinct
Henricosbornia_lophodonta	extinct
Henricosbornia_minuta	extinct
Heteroglyphis_dewoletzky	extinct
Heterolophodon_ampliatus	extinct
Hilarcotherium_miyou	extinct
Holomegalonyx	extinct
Homalodontotherium	extinct
Homalodotherium	extinct
Homalodotherium_cunninghami	extinct
Homalodotherium_segoviae	extinct
Homalostylops	extinct
Homalostylops_atavus	extinct
Homalostylops_parvus	extinct
Huilatherium	extinct
Hyperleptus	extinct
Hypsosteiromys	extinct
Hypsosteiromys_axiculus	extinct
Hypsosteiromys_nectus	extinct
Ignigena_minisculus	extinct
Incamys_bolivianus	extinct
Incamys_menniorum	extinct
