Species	Status
?_Eocoleophorus_glyptodontoides	extinct
Adiastaltus_habilis	extinct
Adiastaltus_procerus	extinct
Anantiosodon_rarus	extinct
Archaeutatus	extinct
Archaeutatus_malaspinensis	extinct
Argyromanis_patagonica	extinct
Astegotherium	extinct
Astegotherium_sp._nov.	extinct
Asterostemma_depressa	extinct
Baraguatherium_takumara	extinct
Barrancatatus_maddeni	extinct
Barrancatatus_rigidus	extinct
Barrancatatus_tinguiririquensis	extinct
cf._Hapalops	extinct
cf._Yuruatherium	extinct
Clypeotherium	extinct
Clypeotherium_magnum	extinct
Cochlops	extinct
Cochlops_debilis	extinct
Cochlops_muricatus	extinct
Deseadognathus_riggsi	extinct
Encinepeltus_petesatus	extinct
Eocoleophorus_glyptodontoides	extinct
Eucholoeops	extinct
Eucholoeops_fronto	extinct
Eucholoeops_ingens	extinct
Eucinepeltus	extinct
Eucinepeltus_complicatus	extinct
Glyptatelus	extinct
Glyptatelus_fractus	extinct
Glyptatelus_tatusinus	extinct
Hapalops	extinct
Hapalops_angustipalatus	extinct
Hapalops_cf._elongatus	extinct
Hapalops_elongatus	extinct
Hapalops_gracilidens	extinct
Hapalops_indifferens	extinct
Hapalops_longiceps	extinct
Hapalops_longipes	extinct
Hapalops_platycephalus	extinct
Hapalops_ponderosus	extinct
Hapalops_rectangularis	extinct
Hapalops_rutimeyeri	extinct
Holomegalonyx	extinct
Hyperleptus	extinct
Kuntinaru_boliviensis	extinct
Lomaphorelus_depstus	extinct
Lumbreratherium_oblitum	extinct
Machlydotherium	extinct
Machlydotherium_asperum	extinct
Machlydotherium_ater	extinct
Machlydotherium_sparsum	extinct
Mazzoniphractus_ingens	extinct
Mcdonaldocnus_bondesioi	extinct
Megalonychotherium_atavus	extinct
Meteutatus	extinct
Meteutatus_aff._lagenaformis	extinct
Meteutatus_lagenaformis	extinct
Meteutatus_percarinatus	extinct
Meteutatus_rigidus	extinct
Meteutatus_tinguiririquensis	extinct
Metopotoxus_laevatus	extinct
Mylodon	extinct
Nematherium	extinct
Nematherium_angulatum	extinct
Nematherium_birdi	extinct
Nematherium_longirostris	extinct
Noatherium_emilioi	extinct
Octodontotherium	extinct
Orthoarthrus_mixtus	extinct
Palaeopeltis_inornatus	extinct
Parapropalaehoplophorus	extinct
Parapropalaehoplophorus_septentrionalis	extinct
Parastegosimpsonia	extinct
Parastegosimpsonia_peruana	extinct
Paroctodontotherium_calleorum	extinct
Parutaetus	extinct
Parutaetus_chicoensis	extinct
Parutaetus_chilensis	extinct
Parutaetus_clusus	extinct
Parutaetus_punaensis	extinct
Parutaetus_signatus	extinct
Pelecyodon	extinct
Pelecyodon_cristatus	extinct
Peltephilus	extinct
Peltephilus_ferox	extinct
Peltephilus_giganteus	extinct
Peltephilus_nanus	extinct
Peltephilus_pumilus	extinct
Peltephilus_strepens	extinct
Peltephilus_undulatus	extinct
Planops_magnus	extinct
Prepoplanops_boleadorensis	extinct
Prepotherium_filholi	extinct
Prepotherium_potens	extinct
Proeocoleophorus_carlinii	extinct
Proeutatus	extinct
Proeutatus_carinatus	extinct
Proeutatus_deleo	extinct
Proeutatus_lagena	extinct
Proeutatus_oenophorum	extinct
Proeutatus_robustus	extinct
Propalaehoplophorus	extinct
Propalaehoplophorus_australis	extinct
Propalaehoplophorus_minus	extinct
Proschismotherium_oppositum	extinct
Prostegotherium	extinct
Prostegotherium__cf._astrifer	extinct
Prostegotherium_astrifer	extinct
Prostegotherium_notostylopianum	extinct
Protamandua_rothi	extinct
Prozaedius_impressus	extinct
Prozaedius_planus	extinct
Prozaedyus	extinct
Prozaedyus_aff._impressus	extinct
Prozaedyus_exilis	extinct
Prozaedyus_humilis	extinct
Prozaedyus_proximus	extinct
Pseudeutatus_circundatus	extinct
Pseudeutatus_clypeus	extinct
Pseudeutatus_cuneiformis	extinct
Pseudeutatus_depictus	extinct
Pseudoglyptodon	extinct
Pseudoglyptodon_cf._chilensis	extinct
Pseudoglyptodon_chilensis	extinct
Pseudoglyptodon_sallaensis	extinct
Pseudoprepotherium	extinct
Pseudostegotherium_chubutanum	extinct
Pseudostegotherium_glangeaudi	extinct
Pucatherium_parvum	extinct
Punatherium_catamarcensis	extinct
Riostegotherium	extinct
Riostegotherium_yanei	extinct
Ronwolffia_pacifica	extinct
Sadypus_confluens	extinct
Sadypus_minutus	extinct
Sadypus_tortuosus	extinct
Saltatherium_rosaurae	extinct
Schismotherium_fractum	extinct
Scirrotherium	extinct
Stegosimpsonia	extinct
Stegotherium_caroloameghinoi	extinct
Stegotherium_notohippidensis	extinct
Stegotherium_pascuali	extinct
Stegotherium_simplex	extinct
Stegotherium_tauberi	extinct
Stegotherium_tesselatum	extinct
Stegotherium_variegatum	extinct
Stenotatus	extinct
Stenotatus_aff._nornatus	extinct
Stenotatus_centralis	extinct
Stenotatus_hesternus	extinct
Stenotatus_ornatus	extinct
Stenotatus_patagonicus	extinct
Utaetus	extinct
Utaetus_buccatus	extinct
Utaetus_deustus	extinct
Utaetus_lenis	extinct
Utaetus_magnum	extinct
Vassallia	extinct
Vetelia_puncta	extinct
Xyophorus_atlanticus	extinct
Yuruatherium_tropicalis	extinct
