Species	Status
?_Eocoleophorus	extinct
?Sallamys	extinct
Abderites	extinct
Acamana	extinct
Acarechimys	extinct
Acaremys	extinct
Acdestis	extinct
Acdestodon	extinct
Acdestoides	extinct
Acoelodus	extinct
Acoelohyrax	extinct
Acrocyon	extinct
Acyon	extinct
Adelphomys	extinct
Adianthus	extinct
Adiantoides	extinct
Adiastaltus	extinct
Adinotherium	extinct
aff._Tarapotomys	extinct
Albertogaudrya	extinct
Allalmeia	extinct
Altitypotherium	extinct
Ameghinomys	extinct
Amilnedwardsia	extinct
Amphidolops	extinct
Anantiosodon	extinct
Anargyrolagus	extinct
Anayatherium	extinct
Ancylocoelus	extinct
Andemys	extinct
Andinogale	extinct
Angelocabrerus	extinct
Anisolambda	extinct
Anisolophus	extinct
Anisotemnus	extinct
Antawallathentes	extinct
Antepithecus	extinct
Antofagastia	extinct
Apeirodon	extinct
Archaeogaia	extinct
Archaeohyrax	extinct
Archaeophylus	extinct
Archaeopithecus	extinct
Archaeoplus	extinct
Archaeotypotherium	extinct
Archaeutatus	extinct
Arctodictis	extinct
Argyrohippus	extinct
Argyrohyrax	extinct
Argyrolestes	extinct
Argyromanis	extinct
Arminiheringia	extinct
Ashaninkacebus	extinct
Asmithwoodwardia	extinct
Asmodeus	extinct
Astegotherium	extinct
Asteromys	extinct
Asterostemma	extinct
Astraponotus	extinct
Astrapothericulus	extinct
Astrapotherium	extinct
Australohyaena	extinct
Australoprocta	extinct
Austropediomys	extinct
Baguatherium	extinct
Balsayacuy	extinct
Banderomys	extinct
Baraguatherium	extinct
Bardalestes	extinct
Barrancatatus	extinct
Bergqvistherium	extinct
Bobbschaefferia	extinct
Boleatherium	extinct
Bonapartherium	extinct
Boreastylops	extinct
Borhyaena	extinct
Brachystephanus	extinct
Branisamyopsis	extinct
Branisamys	extinct
Branisella	extinct
Brucemacfaddenia	extinct
Cachiyacuy	extinct
Caenolestoides	extinct
Callistoe	extinct
Calodontotherium	extinct
Camargomendesia	extinct
Campanorco	extinct
Canaanimico	extinct
Canaanimys	extinct
Canchadelphys	extinct
Carlocebus	extinct
Carlothentes	extinct
Carodnia	extinct
Caroloameghinia	extinct
Carolocoutoia	extinct
Carolopaulacoutoia	extinct
Carolozittelia	extinct
Caviocricetus	extinct
Cephalomyopsis	extinct
Cephalomys	extinct
cf._Abderites	extinct
cf._Cachiyacuy	extinct
cf._Eoespina	extinct
cf._Griphodon_1	extinct
cf._Griphodon_2	extinct
cf._Griphodon_3	extinct
cf._Griphodon_4	extinct
cf._Hapalops	extinct
cf._Perulestes_1	extinct
cf._Perulestes_2	extinct
cf._Pozomys	extinct
cf._Proargyrolagus_1	extinct
cf._Proargyrolagus_2	extinct
cf._Tarapotomys	extinct
Chachapoyamys	extinct
Chambiramys	extinct
Changquin	extinct
Chilecebus	extinct
Chilestylops	extinct
Chlorocyon	extinct
Cholamys	extinct
Chubutomys	extinct
Chulpasia	extinct
Cladosictis	extinct
Clenia	extinct
Clypeotherium	extinct
Cochilius	extinct
Cochlops	extinct
Coelostylodon	extinct
Colbertia	extinct
Colhuelia	extinct
Colombitherium	extinct
Coloradolops	extinct
Colpodon	extinct
Comahuetherium	extinct
Coniopternium	extinct
Coona	extinct
Coquenia	extinct
Coresodon	extinct
Cramauchenia	extinct
Derorhynchus	extinct
Deseadognathus	extinct
Deseadomys	extinct
Deuterotherium	extinct
Dicardia	extinct
Didelphopsis	extinct
Didolodus	extinct
Diogenesia	extinct
Distylophorus	extinct
Dolichocebus	extinct
Dolichostylodon	extinct
Doryperimys	extinct
Draconomys	extinct
Dudumus	extinct
Edvardotrouessartia	extinct
Elmerriggsia	extinct
Eoastrapostylops	extinct
Eobranisamys	extinct
Eobrasilia	extinct
Eocardia	extinct
Eocardia_(Dicardia)	extinct
Eocoleophorus	extinct
Eodelphomys	extinct
Eoespina	extinct
Eohyrax	extinct
Eoincamys	extinct
Eolicaphrium	extinct
Eomakhaira	extinct
Eomicrobiotherium	extinct
Eomorphippus	extinct
Eopachyrucos	extinct
Eopicure	extinct
Eopululo	extinct
Eosachacui	extinct
Eosallamys	extinct
Eosteiromys	extinct
Eotypotherium	extinct
Eoviscaccia	extinct
Epidolops	extinct
Epiklohnia	extinct
Ernestohaeckelia	extinct
Ernestokokenia	extinct
Etayoa	extinct
Ethelomys	extinct
Eucholoeops	extinct
Eucinepeltus	extinct
Eudolops	extinct
Eurygenium	extinct
Eurystephanodon	extinct
Eutatus	extinct
Eutrochodon	extinct
Evolestes	extinct
Federicoanaya	extinct
Fiandraia	extinct
Fieratherium	extinct
Florentinoameghinia	extinct
Fredszalaya	extinct
Gaimanlestes	extinct
Galileomys	extinct
Garridomys	extinct
Gashternia	extinct
Gaylordia	extinct
Glyptatelus	extinct
Greniodon	extinct
Griphodon	extinct
Griphotherion	extinct
Groeberia	extinct
Gualta	extinct
Guggenheimia	extinct
Guilielmofloweria	extinct
Guilielmoscottia	extinct
Guiomys	extinct
Hapalops	extinct
Hegetotheriopsis	extinct
Hegetotherium	extinct
Henricofilholia	extinct
Henricosbornia	extinct
Heteroglyphis	extinct
Heterolophodon	extinct
Hilarcotherium	extinct
Holomegalonyx	extinct
Homalodontotherium	extinct
Homalodotherium	extinct
Homalostylops	extinct
Homunculus	extinct
Hondonadia	extinct
Huilatherium	extinct
Hyperleptus	extinct
Hypodolops	extinct
Hypsosteiromys	extinct
Ignigena	extinct
Incadolops	extinct
Incamys	extinct
Indalecia	extinct
Interatherium	extinct
Isolophodon	extinct
Isotemnus	extinct
Isotypotherium	extinct
Itaboraidelphys	extinct
Itaboraitherium	extinct
Johnbell	extinct
Juchuysillu	extinct
Kibenikhoria	extinct
Kichkasteiromys	extinct
Kirutherium	extinct
Kiruwamaq	extinct
Klohnia	extinct
Kramadolops	extinct
Kuntinaru	extinct
Lambdaconus	extinct
Lamegoia	extinct
Lapazomys	extinct
Leontinia	extinct
Leucokephalos	extinct
Liarthrus	extinct
Licaphrium	extinct
Licaphrops	extinct
Litodontomys	extinct
Llitun	extinct
Llullataruca	extinct
Lomaphorelus	extinct
Loncolicu	extinct
Lophiodolodus	extinct
Loretomys	extinct
Luantus	extinct
Lumbreratherium	extinct
Lycopsis	extinct
Machlydotherium	extinct
Maddenia	extinct
Marmosopsis	extinct
Martinmiguelia	extinct
Maruchito	extinct
Maxschlosseria	extinct
Mayomys	extinct
Mazzonicebus	extinct
Mazzoniphractus	extinct
Mcdonaldocnus	extinct
Medistylus	extinct
Megalonychotherium	extinct
Mendozahippus	extinct
Meteutatus	extinct
Metopotoxus	extinct
Micoureus	extant
Microbiotherium	extinct
Microsteiromys	extinct
Microtypotherium	extinct
Migraveramus	extinct
Miguelsoria	extinct
Minusculodelphis	extinct
Miochinchilla	extinct
Mirandatherium	extinct
Monodelphopsis	extinct
Moqueguahippus	extinct
Mormopterus	extinct
Morphippus	extinct
Mylodon	extinct
Nanolophodon	extinct
Nematherium	extinct
Nemolestes	extinct
Neoreomys	extinct
Neosaimiri	extinct
Nesodon	extinct
Notodiaphorus	extinct
Notogale	extinct
Notohippus	extinct
Notopithecus	extinct
Notostylops	extinct
Octodontotherium	extinct
Oldfieldthomasia	extinct
Oligobiotherium	extinct
Orome	extinct
Orthoarthrus	extinct
Orthogeniops	extinct
Ortholophodon	extinct
Orthomyctera	extinct
Othnielmarshia	extinct
Otrhonia	extinct
Pachybiotherium	extinct
Pachyrukhos	extinct
Paginula	extinct
Palaeocladosictis	extinct
Palaeopeltis	extinct
Palaeosteiromys	extinct
Palaeothentes	extinct
Palangania	extinct
Palyeidodon	extinct
Pampahippus	extinct
Pampatemnus	extinct
Parabderites	extinct
Paraborhyaena	extinct
Paradelphomys	extinct
Paramacrauchenia	extinct
Paranisolambda	extinct
Parapropalaehoplophorus	extinct
Parastegosimpsonia	extinct
Parasteiromys	extinct
Parastrapotherium	extinct
Paroctodontotherium	extinct
Parutaetus	extinct
Parvimico	extinct
Pascualhyrax	extinct
Pascualihippus	extinct
Patagonhippus	extinct
Patagonia	extinct
Patene	extinct
Patriarchus	extinct
Paulacoutomys	extinct
Pauladelphys	extinct
Paulogervaisia	extinct
Pelecyodon	extinct
Peltephilus	extinct
Peradectes	extinct
Perathereutes	extinct
Periakros	extinct
Perimys	extinct
Peripantostylops	extinct
Periphragnis	extinct
Periprotodidelphis	extinct
Perulestes	extinct
Perupithecus	extinct
Perutherium	extinct
Phanomys	extinct
Pharsophorus	extinct
Phonocdromus	extinct
Phoradiadius	extinct
Picturotherium	extinct
Picunia	extinct
Pilchenia	extinct
Pitheculites	extinct
Plagiocoelus	extinct
Planops	extinct
Platypittamys	extinct
Plesiofelis	extinct
Plesiosteiromys	extinct
Plesiotypotherium	extinct
Pleurostylodon	extinct
Pliolagostomus	extinct
Polyacrodon	extinct
Polydolops	extinct
Polymorphis	extinct
