Species	Status
?Sallamys	extinct
Abderites	extinct
Acamana	extinct
Acarechimys	extinct
Acaremys	extinct
Acdestis	extinct
Acdestodon	extinct
Acdestoides	extinct
Acoelodus	extinct
Acoelohyrax	extinct
Acrocyon	extinct
Acyon	extinct
Adelphomys	extinct
Adianthus	extinct
Adiantoides	extinct
Adiastaltus	extinct
Adinotherium	extinct
Albertogaudrya	extinct
Allalmeia	extinct
Altitypotherium	extinct
Ameghinomys	extinct
Amilnedwardsia	extinct
Amphidolops	extinct
Anantiosodon	extinct
Anargyrolagus	extinct
Anayatherium	extinct
Ancylocoelus	extinct
Andemys	extinct
Andinogale	extinct
Angelocabrerus	extinct
Anisolambda	extinct
Anisolophus	extinct
Anisotemnus	extinct
Antawallathentes	extinct
Antepithecus	extinct
Antofagastia	extinct
Apeirodon	extinct
Archaeogaia	extinct
Archaeohyrax	extinct
Archaeophylus	extinct
Archaeopithecus	extinct
Archaeoplus	extinct
Archaeotypotherium	extinct
Archaeutatus	extinct
Arctodictis	extinct
Argyrohippus	extinct
Argyrohyrax	extinct
Argyrolestes	extinct
Argyromanis	extinct
Arminiheringia	extinct
Asmithwoodwardia	extinct
Asmodeus	extinct
Astegotherium	extinct
Asteromys	extinct
Asterostemma	extinct
Astraponotus	extinct
Astrapothericulus	extinct
Astrapotherium	extinct
Australohyaena	extinct
Australoprocta	extinct
Austropediomys	extinct
Banderomys	extinct
Bardalestes	extinct
Barrancatatus	extinct
Bergqvistherium	extinct
Bobbschaefferia	extinct
Boleatherium	extinct
Bonapartherium	extinct
Boreastylops	extinct
Borhyaena	extinct
Brachystephanus	extinct
Branisamyopsis	extinct
Branisamys	extinct
Branisella	extinct
Brucemacfaddenia	extinct
Bryanpattersonia	extinct
Caenolestoides	extinct
Callistoe	extinct
Calodontotherium	extinct
Camargomendesia	extinct
Campanorco	extinct
Canchadelphys	extinct
Carlocebus	extinct
Carlothentes	extinct
Carodnia	extinct
Caroloameghinia	extinct
Carolocoutoia	extinct
Carolopaulacoutoia	extinct
Carolozittelia	extinct
Caviocricetus	extinct
Cephalomyopsis	extinct
Cephalomys	extinct
cf._Hapalops	extinct
Changquin	extinct
Chilecebus	extinct
Chilestylops	extinct
Chlorocyon	extinct
Cholamys	extinct
Chubutomys	extinct
Chulpasia	extinct
Cladosictis	extinct
Clenia	extinct
Clypeotherium	extinct
