Species	Status
?Sallamys	extinct
Acamana	extinct
Acarechimys	extinct
Acaremys	extinct
Acoelodus	extinct
Acoelohyrax	extinct
Adelphomys	extinct
Adianthus	extinct
Adiantoides	extinct
Adinotherium	extinct
aff._Tarapotomys	extinct
Albertogaudrya	extinct
Allalmeia	extinct
Altitypotherium	extinct
Ameghinomys	extinct
Amilnedwardsia	extinct
Anayatherium	extinct
Ancylocoelus	extinct
Andemys	extinct
Anisolambda	extinct
Anisolophus	extinct
Anisotemnus	extinct
Antepithecus	extinct
Antofagastia	extinct
Archaeogaia	extinct
Archaeohyrax	extinct
Archaeophylus	extinct
Archaeopithecus	extinct
Archaeoplus	extinct
Archaeotypotherium	extinct
Argyrohippus	extinct
Argyrohyrax	extinct
Asmithwoodwardia	extinct
Asmodeus	extinct
Asteromys	extinct
Astraponotus	extinct
Astrapothericulus	extinct
Astrapotherium	extinct
Australoprocta	extinct
Baguatherium	extinct
Balsayacuy	extinct
Banderomys	extinct
Baraguatherium	extinct
Boleatherium	extinct
Boreastylops	extinct
Brachystephanus	extinct
Branisamyopsis	extinct
Branisamys	extinct
Brucemacfaddenia	extinct
Bryanpattersonia	extinct
Cachiyacuy	extinct
Calodontotherium	extinct
Camargomendesia	extinct
Campanorco	extinct
Canaanimys	extinct
Carolozittelia	extinct
Caviocricetus	extinct
Cephalomyopsis	extinct
Cephalomys	extinct
cf._Cachiyacuy	extinct
cf._Eoespina	extinct
cf._Hapalops	extinct
cf._Pozomys	extinct
cf._Tarapotomys	extinct
Chachapoyamys	extinct
Chambiramys	extinct
Changquin	extinct
Chilestylops	extinct
Cholamys	extinct
Chubutomys	extinct
Cochilius	extinct
Coelostylodon	extinct
Colbertia	extinct
Colhuelia	extinct
Colombitherium	extinct
Colpodon	extinct
Comahuetherium	extinct
Coniopternium	extinct
Coquenia	extinct
Coresodon	extinct
Cramauchenia	extinct
Deseadognathus	extinct
Deseadomys	extinct
Deuterotherium	extinct
Dicardia	extinct
Distylophorus	extinct
Dolichostylodon	extinct
Doryperimys	extinct
Draconomys	extinct
Dudumus	extinct
Edvardotrouessartia	extinct
Elmerriggsia	extinct
Eoastrapostylops	extinct
Eobranisamys	extinct
Eocardia	extinct
Eocardia_(Dicardia)	extinct
Eodelphomys	extinct
Eoespina	extinct
Eohyrax	extinct
Eoincamys	extinct
Eolicaphrium	extinct
Eomorphippus	extinct
Eopachyrucos	extinct
Eopicure	extinct
Eopululo	extinct
Eosachacui	extinct
Eosallamys	extinct
Eosteiromys	extinct
Eotypotherium	extinct
Eoviscaccia	extinct
Ernestohaeckelia	extinct
Ethelomys	extinct
Eucholoeops	extinct
Eurygenium	extinct
Eurystephanodon	extinct
Federicoanaya	extinct
Fiandraia	extinct
Galileomys	extinct
Garridomys	extinct
Griphodon	extinct
Griphotherion	extinct
Gualta	extinct
Guilielmofloweria	extinct
Guilielmoscottia	extinct
Guiomys	extinct
Hapalops	extinct
Hegetotheriopsis	extinct
Hegetotherium	extinct
Henricofilholia	extinct
Henricosbornia	extinct
Heteroglyphis	extinct
Heterolophodon	extinct
Hilarcotherium	extinct
Holomegalonyx	extinct
Homalodontotherium	extinct
Homalodotherium	extinct
Homalostylops	extinct
Huilatherium	extinct
Hyperleptus	extinct
Hypsosteiromys	extinct
Ignigena	extinct
Incamys	extinct
Indalecia	extinct
Interatherium	extinct
Isolophodon	extinct
Isotemnus	extinct
Isotypotherium	extinct
Itaboraitherium	extinct
Johnbell	extinct
Juchuysillu	extinct
Kibenikhoria	extinct
Kichkasteiromys	extinct
Lambdaconus	extinct
Lapazomys	extinct
Leontinia	extinct
Leucokephalos	extinct
Liarthrus	extinct
Licaphrium	extinct
Licaphrops	extinct
Litodontomys	extinct
Llitun	extinct
Llullataruca	extinct
Loncolicu	extinct
Loretomys	extinct
Luantus	extinct
Maddenia	extinct
Martinmiguelia	extinct
Maruchito	extinct
Maxschlosseria	extinct
Mayomys	extinct
Medistylus	extinct
Megalonychotherium	extinct
Mendozahippus	extinct
Microsteiromys	extinct
Microtypotherium	extinct
Migraveramus	extinct
Miguelsoria	extinct
Miochinchilla	extinct
Moqueguahippus	extinct
Morphippus	extinct
Mylodon	extinct
Nanolophodon	extinct
Nematherium	extinct
Neoreomys	extinct
Nesodon	extinct
Notodiaphorus	extinct
Notohippus	extinct
Notopithecus	extinct
Notostylops	extinct
Octodontotherium	extinct
Oldfieldthomasia	extinct
Orome	extinct
Orthogeniops	extinct
Ortholophodon	extinct
Orthomyctera	extinct
Othnielmarshia	extinct
Otrhonia	extinct
Pachyrukhos	extinct
Paginula	extinct
Palaeosteiromys	extinct
Palyeidodon	extinct
Pampahippus	extinct
Pampatemnus	extinct
Paradelphomys	extinct
Paramacrauchenia	extinct
Paranisolambda	extinct
Parasteiromys	extinct
Parastrapotherium	extinct
Paroctodontotherium	extinct
Pascualhyrax	extinct
Pascualihippus	extinct
Patagonhippus	extinct
Patagonia	extinct
Patriarchus	extinct
Paulacoutomys	extinct
Perimys	extinct
Peripantostylops	extinct
Periphragnis	extinct
Perutherium	extinct
Phanomys	extinct
Phoradiadius	extinct
Picturotherium	extinct
Planops	extinct
Platypittamys	extinct
Plesiosteiromys	extinct
Plesiotypotherium	extinct
Pleurostylodon	extinct
Pliolagostomus	extinct
Polyacrodon	extinct
Polymorphis	extinct
Pozomys	extinct
Prepoplanops	extinct
Prepotherium	extinct
Proadiantus	extinct
Proadinotherium	extinct
Proargyrohyrax	extinct
Progaleopithecus	extinct
Prohegetotherium	extinct
Proheptaconus	extinct
Prolagostomus	extinct
Prolicaphrium	extinct
Promylophis	extinct
Propachyrucos	extinct
Propyrotherium	extinct
Proschismotherium	extinct
Prosotherium	extinct
Prospaniomys	extinct
Prostichomys	extinct
Protacaremys	extinct
Protadelphomys	extinct
Protarchaeohyrax	extinct
Proterotherium	extinct
Protheosodon	extinct
Proticia	extinct
Protolipterna	extinct
Protosteiromys	extinct
Protypotherium	extinct
Pseudhyrax	extinct
Pseudoacaremys	extinct
Pseudoglyptodon	extinct
Pseudohegetotherium	extinct
Pseudopachyrucos	extinct
Pseudoprepotherium	extinct
Pternoconius	extinct
Puelia	extinct
Punahyrax	extinct
Punapithecus	extinct
Pyrotherium	extinct
Rhynchippus	extinct
Rhyphodon	extinct
Ricardolydekkeria	extinct
Rosendo	extinct
Rusconitherium	extinct
Rutimeyeria	extinct
Sallamys	extinct
Sallatherium	extinct
Santiagorothia	extinct
Saremmys	extinct
Scaglia	extinct
Scarrittia	extinct
Schistomys	extinct
Sciamys	extinct
Scleromys	extinct
Scotamys	extinct
Selvamys	extinct
Shapajamys	extinct
Simpsonotus	extinct
Soriamys	extinct
Spaniomys	extinct
Sparnotheriodon	extinct
Steiromys	extinct
Stichomys	extinct
Suniodon	extinct
Tacheria	extinct
Tarapotomys	extinct
Taubatherium	extinct
Teratopithecus	extinct
Termastherium	extinct
Tetragonostylops	extinct
Tetramerorhinus	extinct
Teushentherium	extinct
Thadanius	extinct
Theosodon	extinct
Thoatherium	extinct
Thomashuxleya	extinct
Trachytherus	extinct
Transpithecus	extinct
Tricoelodus	extinct
Trigonolophodon	extinct
Trigonostylops	extinct
Trimerostephanos	extinct
Tsamnichoria	extinct
Ucayalimys	extinct
Ultrapithecus	extinct
Uruguaytherium	extinct
Vallehermosomys	extinct
Victorlemoineia	extinct
Vucetichimys	extinct
Willidewu	extinct
Xenastrapotherium	extinct
Xenostephanus	extinct
Xesmodon	extinct
Xylechimys	extinct
