Species	Status
Abderites	extinct
Acdestis	extinct
Acdestodon	extinct
Acdestoides	extinct
Acrocyon	extinct
Acyon	extinct
Amphidolops	extinct
Anargyrolagus	extinct
Andinogale	extinct
Angelocabrerus	extinct
Antawallathentes	extinct
Arctodictis	extinct
Argyrolestes	extinct
Arminiheringia	extinct
Australohyaena	extinct
Bardalestes	extinct
Bonapartherium	extinct
Borhyaena	extinct
Caenolestoides	extinct
Callistoe	extinct
Carlothentes	extinct
Chlorocyon	extinct
Cladosictis	extinct
Clenia	extinct
Coloradolops	extinct
Eomakhaira	extinct
Eomicrobiotherium	extinct
Epidolops	extinct
Eudolops	extinct
Evolestes	extinct
Fredszalaya	extinct
Gaimanlestes	extinct
Gaylordia	extinct
Hypodolops	extinct
Incadolops	extinct
Kirutherium	extinct
Klohnia	extinct
Kramadolops	extinct
Lycopsis	extinct
Micoureus	extant
Microbiotherium	extinct
Mirandatherium	extinct
Nemolestes	extinct
Notogale	extinct
Oligobiotherium	extinct
Pachybiotherium	extinct
Palaeothentes	extinct
Parabderites	extinct
Paraborhyaena	extinct
Patene	extinct
Perathereutes	extinct
Perulestes	extinct
Pharsophorus	extinct
Phonocdromus	extinct
Pilchenia	extinct
Pitheculites	extinct
Plesiofelis	extinct
Polydolops	extinct
Prepidolops	extinct
Proargyrolagus	extinct
Proborhyaena	extinct
Procladosictis	extinct
Progarzonia	extinct
Propalaeothentes	extinct
Prothylacynus	extinct
Pseudhalmarhiphus	extinct
Pseudolops	extinct
Pseudonotictis	extinct
Pseudothylacynus	extinct
Punadolops	extinct
Riolestes	extinct
Sallacyon	extinct
Sasawatsu	extinct
Sipalocyon	extinct
Stilotherium	extinct
Titanothentes	extinct
Trelewthentes	extinct
Wamradolops	extinct
Woodburnodon	extinct
