Species	Status	min_age	max_age
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Proeutatus	extinct	15.97	23.03
Prozaedyus	extinct	23.03	27.82
Prozaedyus	extinct	23.03	27.82
Prozaedyus	extinct	16.5	18.75
Prozaedyus	extinct	23.03	33.9
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	23.03	27.82
Prozaedyus	extinct	23.03	27.82
Prozaedyus	extinct	23.03	27.82
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Prozaedyus	extinct	15.97	23.03
Stenotatus	extinct	23.03	27.82
Stenotatus	extinct	27.82	33.9
Stenotatus	extinct	23.03	27.82
Stenotatus	extinct	23.03	27.82
Stenotatus	extinct	15.97	23.03
Stenotatus	extinct	15.97	23.03
Stenotatus	extinct	15.97	23.03
Stenotatus	extinct	15.97	23.03
Stenotatus	extinct	15.97	23.03
Stenotatus	extinct	15.97	23.03
Stenotatus	extinct	23.03	27.82
Stenotatus	extinct	15.97	23.03
Stenotatus	extinct	15.97	23.03
Stenotatus	extinct	15.97	23.03
Stenotatus	extinct	23.03	27.82
Stenotatus	extinct	15.97	23.03
Stenotatus	extinct	23.03	27.82
Stenotatus	extinct	23.03	27.82
Stenotatus	extinct	20	21
Stenotatus	extinct	15.97	23.03
Stenotatus	extinct	15.97	23.03
Stenotatus	extinct	15.97	23.03
Stenotatus	extinct	15.97	23.03
