Species	Status
Archaeutatus	extinct
Archaeutatus_malaspinensis	extinct
Astegotherium	extinct
Astegotherium_sp._nov.	extinct
Barrancatatus_maddeni	extinct
Barrancatatus_rigidus	extinct
Barrancatatus_tinguiririquensis	extinct
Caenolestoides_miocaenicus	extinct
Carodnia_feruglioi	extinct
Carodnia_inexpectans	extinct
Carodnia_vieirai	extinct
Clenia_brevis	extinct
Clenia_minuscula	extinct
Didolodus	extinct
Didolodus_latigonus	extinct
Didolodus_magnus	extinct
Didolodus_minor	extinct
Didolodus_multicuspis	extinct
Eomicrobiotherium	extinct
Eomicrobiotherium_diluculum	extinct
Eomicrobiotherium_matutinum	extinct
Eomicrobiotherium_mykerum	extinct
Ernestokokenia	extinct
Ernestokokenia_chaishoer	extinct
Ernestokokenia_nitida	extinct
Ernestokokenia_patagonica	extinct
Ernestokokenia_trigonalis	extinct
Ernestokokenia_yirunhor	extinct
Etayoa_bacatensis	extinct
Eutrochodon_inceptus	extinct
Florentinoameghinia_mystica	extinct
Gaimanlestes_pascuali	extinct
Greniodon_sylvaticus	extinct
Groeberia_minoprioi	extinct
Groeberia_pattersoni	extinct
Kirutherium_paititiensis	extinct
Kuntinaru_boliviensis	extinct
Lamegoia_conodonta	extinct
Lophiodolodus_chaparralensis	extinct
Lumbreratherium_oblitum	extinct
Machlydotherium	extinct
Machlydotherium_asperum	extinct
Machlydotherium_ater	extinct
Machlydotherium_sparsum	extinct
Mazzoniphractus_ingens	extinct
Meteutatus	extinct
Meteutatus_aff._lagenaformis	extinct
Meteutatus_lagenaformis	extinct
Meteutatus_percarinatus	extinct
Meteutatus_rigidus	extinct
Meteutatus_tinguiririquensis	extinct
Microbiotherium	extinct
Microbiotherium_acicula	extinct
Microbiotherium_gallegosense	extinct
Microbiotherium_patagonicum	extinct
Microbiotherium_praecursor	extinct
Microbiotherium_tehuelchum	extinct
Mirandatherium	extinct
Mirandatherium_alipioi	extinct
Mormopterus	extinct
Mormopterus_barrancae	extinct
Oligobiotherium_divisum	extinct
Palaeocladosictis_mosesi	extinct
Parastegosimpsonia	extinct
Parastegosimpsonia_peruana	extinct
Parutaetus	extinct
Parutaetus_chicoensis	extinct
Parutaetus_chilensis	extinct
Parutaetus_clusus	extinct
Parutaetus_punaensis	extinct
Parutaetus_signatus	extinct
Paulogervaisia_inusta	extinct
Paulogervaisia_mamma	extinct
Paulogervaisia_porca	extinct
Perulestes	extinct
Perulestes_cardichi	extinct
Perulestes_fraileyi	extinct
Picunia_nitida	extinct
Pilchenia_antiqua	extinct
Pilchenia_intermedia	extinct
Pilchenia_lucina	extinct
Plagiocoelus_obliquus	extinct
Proectocion_argentinus	extinct
Proectocion_praecursor	extinct
Proectocion_precisus	extinct
Proeutatus_carinatus	extinct
Proeutatus_deleo	extinct
Proeutatus_lagena	extinct
Progarzonia_notostylopense	extinct
Prostegotherium	extinct
Prostegotherium__cf._astrifer	extinct
Prostegotherium_astrifer	extinct
Prostegotherium_notostylopianum	extinct
Protamandua_rothi	extinct
Pseudeutatus_circundatus	extinct
Pseudeutatus_clypeus	extinct
Pseudeutatus_cuneiformis	extinct
Pseudeutatus_depictus	extinct
Pseudhalmarhiphus_guaraniticus	extinct
Pseudostegotherium_chubutanum	extinct
Pseudostegotherium_glangeaudi	extinct
Pucatherium_parvum	extinct
Punatherium_catamarcensis	extinct
Ricardocifellia_protocenica	extinct
Riostegotherium	extinct
Riostegotherium_yanei	extinct
Sadypus_confluens	extinct
Sadypus_minutus	extinct
Sadypus_tortuosus	extinct
Salladolodus	extinct
Salladolodus_deuterotherioides	extinct
Saltaodus_sirolli	extinct
Stegosimpsonia	extinct
Stilotherium_dissimile	extinct
Stilotherium_parvum	extinct
Trilobodon_brancoi	extinct
Umayodus_raimondi	extinct
Utaetus	extinct
Utaetus_buccatus	extinct
Utaetus_deustus	extinct
Utaetus_lenis	extinct
Utaetus_magnum	extinct
Vetelia_puncta	extinct
Wirunodon_chanku	extinct
Yuruatherium_tropicalis	extinct
