Species	Status
Archaeutatus	extinct
Astegotherium	extinct
Barrancatatus	extinct
Carodnia	extinct
Clenia	extinct
Didolodus	extinct
Eomicrobiotherium	extinct
Ernestokokenia	extinct
Eutrochodon	extinct
Florentinoameghinia	extinct
Greniodon	extinct
Groeberia	extinct
Kirutherium	extinct
Kuntinaru	extinct
Lamegoia	extinct
Lumbreratherium	extinct
Machlydotherium	extinct
Mazzoniphractus	extinct
Meteutatus	extinct
Microbiotherium	extinct
Mirandatherium	extinct
Palaeocladosictis	extinct
Parastegosimpsonia	extinct
Parutaetus	extinct
Paulogervaisia	extinct
Perulestes	extinct
Picunia	extinct
Pilchenia	extinct
Proectocion	extinct
Progarzonia	extinct
Prostegotherium	extinct
Pseudeutatus	extinct
Pseudhalmarhiphus	extinct
Pseudostegotherium	extinct
Pucatherium	extinct
Punatherium	extinct
Ricardocifellia	extinct
Riostegotherium	extinct
Salladolodus	extinct
Saltaodus	extinct
Stegosimpsonia	extinct
Trilobodon	extinct
Umayodus	extinct
Utaetus	extinct
Wirunodon	extinct
