Species	Status
Abderites	extinct
Acdestodon	extinct
Acdestoides	extinct
Amphidolops	extinct
Andinogale	extinct
Angelocabrerus	extinct
Antawallathentes	extinct
Argyrolestes	extinct
Arminiheringia	extinct
Australohyaena	extinct
Bardalestes	extinct
Bonapartherium	extinct
Callistoe	extinct
Carlothentes	extinct
Chlorocyon	extinct
Clenia	extinct
Coloradolops	extinct
Eomakhaira	extinct
Eomicrobiotherium	extinct
Epidolops	extinct
Eudolops	extinct
Evolestes	extinct
Fredszalaya	extinct
Gaylordia	extinct
Hypodolops	extinct
Incadolops	extinct
Kirutherium	extinct
Klohnia	extinct
Kramadolops	extinct
Microbiotherium	extinct
Mirandatherium	extinct
Nemolestes	extinct
Notogale	extinct
Palaeothentes	extinct
Parabderites	extinct
Paraborhyaena	extinct
Patene	extinct
Perulestes	extinct
Pharsophorus	extinct
Pilchenia	extinct
Plesiofelis	extinct
Polydolops	extinct
Prepidolops	extinct
Proargyrolagus	extinct
Proborhyaena	extinct
Procladosictis	extinct
Progarzonia	extinct
Pseudhalmarhiphus	extinct
Pseudolops	extinct
Punadolops	extinct
Riolestes	extinct
Sallacyon	extinct
Sasawatsu	extinct
Trelewthentes	extinct
Wamradolops	extinct
Woodburnodon	extinct
