Species	Status	min_age	max_age
Gaylordia_macrocynodonta	extinct	48.6	55.8
Gaylordia_macrocynodonta	extinct	48.6	55.8
Gaylordia_mater	extinct	48.6	55.8
Clenia_brevis	extinct	33.3	35
Eomicrobiotherium	extinct	47.8	56
Eomicrobiotherium_diluculum	extinct	41.2	56
Eomicrobiotherium_matutinum	extinct	29	29.2
Eomicrobiotherium_matutinum	extinct	33.3	33.9
Kirutherium_paititiensis	extinct	28.1	37.71
Microbiotherium	extinct	31.3	33.6
Mirandatherium	extinct	47.8	56
Mirandatherium_alipioi	extinct	52	53
Mirandatherium_alipioi	extinct	52	53
Woodburnodon	extinct	47.8	56
Abderites	extinct	23.03	27.82
Abderites	extinct	23.03	27.82
Abderites	extinct	23.03	27.82
Perulestes	extinct	37.71	47.8
Perulestes	extinct	37.71	47.8
Perulestes	extinct	37.71	47.8
Perulestes	extinct	33.9	37.2
Perulestes_cardichi	extinct	28.1	37.71
Perulestes_fraileyi	extinct	28.1	37.71
Pilchenia_antiqua	extinct	33.566	33.596
Pilchenia_intermedia	extinct	30.617	30.77
Pilchenia_lucina	extinct	24.2	29
Pilchenia_lucina	extinct	24.2	29
Progarzonia_notostylopense	extinct	38	41.2
Pseudhalmarhiphus_guaraniticus	extinct	48	50
Acdestodon_bonapartei	extinct	24.2	29
Acdestoides_praecursor	extinct	24.2	29
Antawallathentes	extinct	24.2	29
Antawallathentes_illimani	extinct	24.5	26
Carlothentes_chubutensis	extinct	24.2	29
Carlothentes_chubutensis	extinct	24.2	29
Palaeothentes_boliviensis	extinct	24.2	29
Palaeothentes_boliviensis	extinct	24.2	29
Palaeothentes_boliviensis	extinct	24.2	29
Palaeothentes_marshalli	extinct	28.1	33.9
Palaeothentes_migueli	extinct	28.1	33.9
Parabderites_minusculus	extinct	24.2	29
Sasawatsu	extinct	37.71	47.8
Sasawatsu_mahaynaq	extinct	28.1	37.71
Trelewthentes_rothi	extinct	28.1	33.9
Bardalestes	extinct	47.8	56
Bardalestes_hunco	extinct	47	47.8
Evolestes	extinct	28.1	33.9
Evolestes_hadrommatos	extinct	24.2	29
Evolestes_hadrommatos	extinct	24.5	26
Riolestes_capricornicus	extinct	52	53
Klohnia_charrieri	extinct	28.4	33.9
Klohnia_charrieri	extinct	28.4	33.9
Klohnia_major	extinct	31.3	33.6
Klohnia_major	extinct	31.3	33.6
Proargyrolagus	extinct	28.4	33.9
Proargyrolagus	extinct	33.9	37.2
Proargyrolagus	extinct	33.9	37.2
