Species	Status	min_age	max_age
Astraponotus	extinct	38	38.2
Astraponotus	extinct	38	38.2
Astraponotus	extinct	33.9	41.2
Astraponotus	extinct	33.9	41.2
Astraponotus	extinct	33.9	41.2
Astraponotus_assymmetrus	extinct	48	50
Astraponotus_dicksoni	extinct	38	38.2
Astraponotus_dilatatus	extinct	38	38.2
Astraponotus_holdichi	extinct	38	38.2
Astraponotus_thompsoni	extinct	38	38.2
Liarthrus_copei	extinct	24.2	29
Liarthrus_copei	extinct	24.2	29
Maddenia_lapidaria	extinct	30.617	30.77
Parastrapotherium	extinct	24.2	29
Parastrapotherium	extinct	24.2	29
Parastrapotherium_holmbergi	extinct	26.3	29
Parastrapotherium_holmbergi	extinct	24.2	29
Parastrapotherium_holmbergi	extinct	24.2	29
Parastrapotherium_holmbergi	extinct	24.2	21
Parastrapotherium_martiale	extinct	26.3	29
Parastrapotherium_voghti	extinct	26.3	29
Scaglia_kraglievichorum	extinct	48	50
Scaglia_kraglievichorum	extinct	44	45
Uruguaytherium_beaulieui	extinct	24.2	29
Xenastrapotherium_chaparralensis	extinct	24.2	29.4
Albertogaudrya	extinct	41.3	47.8
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	41.3	47.8
Albertogaudrya	extinct	38	41.2
Albertogaudrya_carahuasensis	extinct	47.8	52.5
Albertogaudrya_robusta	extinct	38	38.2
Albertogaudrya_unica	extinct	48	50
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	48	50
Albertogaudrya_unica	extinct	48	50
Albertogaudrya_unica	extinct	48	50
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	48	50
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	48	50
Tetragonostylops_apthomasi	extinct	44	45
Tetragonostylops_apthomasi	extinct	48.6	55.8
Tetragonostylops_apthomasi	extinct	52	53
Trigonostylops	extinct	50	51
Trigonostylops	extinct	50	51
Trigonostylops	extinct	50	51
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	48	50
Trigonostylops	extinct	36	42
Trigonostylops	extinct	47.8	56
Trigonostylops	extinct	48	50
Trigonostylops	extinct	33.9	41.2
Trigonostylops	extinct	48.6	55.8
Trigonostylops	extinct	37.71	47.8
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	41.3	47.8
Trigonostylops_wortmani	extinct	48	50
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	48	50
Trigonostylops_wortmani	extinct	38	47.8
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	44	45
Trigonostylops_wortmani	extinct	48	50
Trigonostylops_wortmani	extinct	48	50
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	48	50
Trigonostylops_wortmani	extinct	48	50
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	48	50
Adiantoides_leali	extinct	44	45
Adiantoides_magnus	extinct	44	45
Indalecia_grandensis	extinct	46.2	47.8
Proadiantus_excavatus	extinct	24.2	29
Proadiantus_excavatus	extinct	24.2	29
Proadiantus_excavatus	extinct	24.2	29
Thadanius_hoffstetteri	extinct	24.2	29
Thadanius_hoffstetteri	extinct	24.5	26
Tricoelodus_bicuspidatus	extinct	24.2	29
Tricoelodus_bicuspidatus	extinct	24.2	29
Tricoelodus_boliviensis	extinct	24.2	29
Tricoelodus_boliviensis	extinct	24.5	26
Didolodus	extinct	41.3	47.8
Didolodus	extinct	48	50
Didolodus	extinct	48	50
Didolodus_latigonus	extinct	38	47.8
Didolodus_magnus	extinct	38	41.2
Didolodus_minor	extinct	38	41.2
Didolodus_minor	extinct	41.3	47.8
Didolodus_minor	extinct	41.3	47.8
Didolodus_multicuspis	extinct	38	41.2
Didolodus_multicuspis	extinct	38	41.2
Didolodus_multicuspis	extinct	38	41.2
Didolodus_multicuspis	extinct	48	50
Didolodus_multicuspis	extinct	38	47.8
Didolodus_multicuspis	extinct	38	41.2
Didolodus_multicuspis	extinct	38	41.2
Didolodus_multicuspis	extinct	48	50
Didolodus_multicuspis	extinct	48	50
Didolodus_multicuspis	extinct	48	50
Didolodus_multicuspis	extinct	48	50
Didolodus_multicuspis	extinct	38	41.2
Ernestokokenia	extinct	33.9	37.71
Ernestokokenia	extinct	47.8	56
Ernestokokenia	extinct	41.3	47.8
Ernestokokenia	extinct	48	50
Ernestokokenia_chaishoer	extinct	50	51
Ernestokokenia_nitida	extinct	38	41.2
Ernestokokenia_nitida	extinct	38	47.8
Ernestokokenia_nitida	extinct	38	41.2
Ernestokokenia_nitida	extinct	48	50
Ernestokokenia_nitida	extinct	48	50
Ernestokokenia_patagonica	extinct	38	41.2
Ernestokokenia_trigonalis	extinct	38	41.2
Ernestokokenia_yirunhor	extinct	50	51
Ernestokokenia_yirunhor	extinct	50	51
Lamegoia_conodonta	extinct	48.6	55.8
Paulogervaisia_inusta	extinct	38	41.2
Paulogervaisia_inusta	extinct	38	38.2
Paulogervaisia_mamma	extinct	38	41.2
Paulogervaisia_porca	extinct	38	41.2
Proectocion_argentinus	extinct	38	41.2
Proectocion_praecursor	extinct	48	50
Proectocion_precisus	extinct	38	41.2
Ricardocifellia_protocenica	extinct	48.6	55.8
Salladolodus	extinct	24.2	29
Salladolodus_deuterotherioides	extinct	24.2	29
Saltaodus_sirolli	extinct	41.3	56
Umayodus_raimondi	extinct	47.8	59.2
