Species	Status
?_Eocoleophorus	extinct
Abderites	extinct
aff._Tarapotomys	extinct
Baguatherium	extinct
Balsayacuy	extinct
Cachiyacuy	extinct
Canaanimico	extinct
Canaanimys	extinct
Carodnia	extinct
cf._Cachiyacuy	extinct
cf._Eoespina	extinct
cf._Pozomys	extinct
cf._Tarapotomys	extinct
Chachapoyamys	extinct
Chambiramys	extinct
Colombitherium	extinct
Deseadomys	extinct
Eobranisamys	extinct
Eodelphomys	extinct
Eoespina	extinct
Eoincamys	extinct
Eopicure	extinct
Eopululo	extinct
Eosachacui	extinct
Eosallamys	extinct
Griphodon	extinct
Hondonadia	extinct
Incadolops	extinct
Kichkasteiromys	extinct
Kirutherium	extinct
Kiruwamaq	extinct
Loretomys	extinct
Mayomys	extinct
Palaeosteiromys	extinct
Parastegosimpsonia	extinct
Patene	extinct
Perulestes	extinct
Perupithecus	extinct
Plesiosteiromys	extinct
Pozomys	extinct
Proargyrolagus	extinct
Proticia	extinct
Pseudostegotherium	extinct
Rumiodon	extinct
Sasawatsu	extinct
Scleromys	extinct
Selvamys	extinct
Shapajamys	extinct
Stegosimpsonia	extinct
Steiromys	extinct
Tarapotomys	extinct
Trigonostylops	extinct
Ucayalimys	extinct
Ucayalipithecus	extinct
Vucetichimys	extinct
Wamradolops	extinct
Wirunodon	extinct
Xenastrapotherium	extinct
Yuruatherium	extinct
