Species	Status
?_Eocoleophorus_glyptodontoides	extinct
Acdestodon_bonapartei	extinct
Acdestoides_praecursor	extinct
Amphidolops	extinct
Amphidolops_intermedius	extinct
Amphidolops_minimus	extinct
Amphidolops_serrula	extinct
Antawallathentes	extinct
Antawallathentes_illimani	extinct
Apeirodon_sorianoi	extinct
Austropediomys_marshalli	extinct
Bardalestes	extinct
Bardalestes_hunco	extinct
Bergqvistherium_primigenia	extinct
Bobbschaefferia	extinct
Bobbschaefferia_fluminensis	extinct
Bonapartherium	extinct
Bonapartherium_serrensis	extinct
Branisella_boliviana	extinct
Canaanimico_amazonensis	extinct
Canchadelphys_cristata	extinct
Carlothentes_chubutensis	extinct
Caroloameghinia	extinct
Caroloameghinia_mater	extinct
Caroloameghinia_tenuis	extinct
Carolocoutoia_ferigoloi	extinct
Carolopaulacoutoia	extinct
Carolopaulacoutoia_itaboraiensis	extinct
cf._Yuruatherium	extinct
Chulpasia	extinct
Chulpasia_mattaueri	extinct
Clypeotherium	extinct
Clypeotherium_magnum	extinct
Coloradolops_cardonensis	extinct
Coona_gaudryi	extinct
Coona_gutierrezi	extinct
Coona_pattersoni	extinct
Derorhynchus	extinct
Derorhynchus_minutus	extinct
Derorhynchus_singularis	extinct
Didelphopsis	extinct
Didelphopsis_cabrerai	extinct
Diogenesia_brevirostris	extinct
Epidolops	extinct
Epidolops_ameghinoi	extinct
Epiklohnia_verticalis	extinct
Eudolops_tetragonus	extinct
Evolestes	extinct
Evolestes_hadrommatos	extinct
Fieratherium_sorex	extinct
Gashternia	extinct
Gashternia_carioca	extinct
Gashternia_ctalehor	extinct
Gaylordia_macrocynodonta	extinct
Gaylordia_mater	extinct
Glyptatelus	extinct
Glyptatelus_fractus	extinct
Glyptatelus_tatusinus	extinct
Guggenheimia_brasiliensis	extinct
Guggenheimia_crocheti	extinct
Guggenheimia_glykeia	extinct
Hondonadia	extinct
Hondonadia_parca	extinct
Hondonadia_pittmanae	extinct
Hondonadia_praecipitia	extinct
Hondonadia_pumila	extinct
Hypodolops_sapoensis	extinct
Incadolops_ucayali	extinct
Itaboraidelphys	extinct
Itaboraidelphys_camposi	extinct
Kiruwamaq_chisu	extinct
Klohnia_charrieri	extinct
Klohnia_major	extinct
Kramadolops_abanicoi	extinct
Kramadolops_fissuratus	extinct
Kramadolops_hernandezi	extinct
Kramadolops_maximus	extinct
Kramadolops_mayoi	extinct
Kramadolops_mckennai	extinct
Lomaphorelus_depstus	extinct
Marmosopsis	extinct
Marmosopsis_juradoi	extinct
Minusculodelphis_minimus	extinct
Minusculodelphis_modicum	extinct
Monodelphopsis	extinct
Monodelphopsis_travassosi	extinct
Noatherium_emilioi	extinct
Palaeopeltis_inornatus	extinct
Palaeothentes_boliviensis	extinct
Palaeothentes_marshalli	extinct
Palaeothentes_migueli	extinct
Palangania	extinct
Palangania_brandmayri	extinct
Parabderites_minusculus	extinct
Pascualdelphys_fierroensis	extinct
Pauladelphys	extinct
Peltephilus	extinct
Peltephilus_undulatus	extinct
Peradectes_austrinum	extinct
Periakros_ambiguus	extinct
Periprotodidelphis_bergqvistae	extinct
Perupithecus_ucayaliensis	extinct
Pliodolops_cf._kamektsen	extinct
Pliodolops_kamektsen	extinct
Pliodolops_primulus	extinct
Pliodolops_rothi	extinct
Pliodolops_winecage	extinct
Polydolops	extinct
Polydolops_clavulus	extinct
Polydolops_crassus	extinct
Polydolops_serra	extinct
Polydolops_thomasi	extinct
Polydolops_unicus	extinct
Praedens_aberrans	extinct
Prepidolops	extinct
Prepidolops_molinai	extinct
Proargyrolagus	extinct
Proargyrolagus_bolivianus	extinct
Procaroloameghinia_pricei	extinct
Proeocoleophorus_carlinii	extinct
Protodidelphis	extinct
Protodidelphis_mastodontoides	extinct
Protodidelphis_vanzolinii	extinct
Prozaedius_impressus	extinct
Prozaedius_planus	extinct
Prozaedyus	extinct
Prozaedyus_aff._impressus	extinct
Pseudolops_princeps	extinct
Punadolops_alonsoi	extinct
Reigia_punae	extinct
Riolestes_capricornicus	extinct
Ronwolffia_pacifica	extinct
Rosendolops	extinct
Rosendolops_ebaios	extinct
Rosendolops_primigenium	extinct
Rumiodon	extinct
Rumiodon_inti	extinct
Saltatherium_rosaurae	extinct
Sasawatsu	extinct
Sasawatsu_mahaynaq	extinct
Sillustania_quechuense	extinct
Similhapalops_nivis	extinct
Stenotatus	extinct
Stenotatus_aff._nornatus	extinct
Stenotatus_ornatus	extinct
Trelewthentes_rothi	extinct
Ucayalipithecus_perdita	extinct
Vassallia	extinct
Wamradolops	extinct
Wamradolops_tsullodon	extinct
Woodburnodon	extinct
Yuruatherium_tropicalis	extinct
Zeusdelphys_complicatus	extinct
