Species	Status
Abderites	extinct
Acdestodon_bonapartei	extinct
Acdestoides_praecursor	extinct
Amphidolops	extinct
Amphidolops_intermedius	extinct
Amphidolops_minimus	extinct
Amphidolops_serrula	extinct
Andinogale_sallensis	extinct
Angelocabrerus_daptes	extinct
Antawallathentes	extinct
Antawallathentes_illimani	extinct
Argyrolestes_peralestinus	extinct
Arminiheringia	extinct
Arminiheringia_auceta	extinct
Arminiheringia_contigua	extinct
Australohyaena_antiqua	extinct
Bardalestes	extinct
Bardalestes_hunco	extinct
Bonapartherium	extinct
Bonapartherium_serrensis	extinct
Callistoe_vincei	extinct
Carlothentes_chubutensis	extinct
Chlorocyon_phantasma	extinct
Clenia_brevis	extinct
Coloradolops_cardonensis	extinct
Eomakhaira_molossus	extinct
Eomicrobiotherium	extinct
Eomicrobiotherium_diluculum	extinct
Eomicrobiotherium_matutinum	extinct
Epidolops	extinct
Epidolops_ameghinoi	extinct
Eudolops_tetragonus	extinct
Evolestes	extinct
Evolestes_hadrommatos	extinct
Fredszalaya_hunteri	extinct
Gaylordia_macrocynodonta	extinct
Gaylordia_mater	extinct
Hypodolops_sapoensis	extinct
Incadolops_ucayali	extinct
Kirutherium_paititiensis	extinct
Klohnia_charrieri	extinct
Klohnia_major	extinct
Kramadolops_abanicoi	extinct
Kramadolops_fissuratus	extinct
Kramadolops_hernandezi	extinct
Kramadolops_maximus	extinct
Kramadolops_mayoi	extinct
Kramadolops_mckennai	extinct
Microbiotherium	extinct
Mirandatherium	extinct
Mirandatherium_alipioi	extinct
Nemolestes	extinct
Nemolestes_brasiliensis	extinct
Nemolestes_lagunafriensis	extinct
Nemolestes_spalacotherinus	extinct
Notogale_mitis	extinct
Palaeothentes_boliviensis	extinct
Palaeothentes_marshalli	extinct
Palaeothentes_migueli	extinct
Parabderites_minusculus	extinct
Paraborhyaena_boliviana	extinct
Patene	extinct
Patene_campbelli	extinct
Patene_coluapiensis	extinct
Patene_simpsoni	extinct
Perulestes	extinct
Perulestes_cardichi	extinct
Perulestes_fraileyi	extinct
Pharsophorus	extinct
Pharsophorus_lacerans	extinct
Pharsophorus_tenax	extinct
Pilchenia_antiqua	extinct
Pilchenia_intermedia	extinct
Pilchenia_lucina	extinct
Plesiofelis_schlosseri	extinct
Pliodolops_kamektsen	extinct
Pliodolops_primulus	extinct
Pliodolops_rothi	extinct
Pliodolops_winecage	extinct
Polydolops	extinct
Polydolops_clavulus	extinct
Polydolops_crassus	extinct
Polydolops_serra	extinct
Polydolops_thomasi	extinct
Polydolops_unicus	extinct
Prepidolops	extinct
Prepidolops_molinai	extinct
Proargyrolagus	extinct
Proargyrolagus_bolivianus	extinct
Proborhyaena	extinct
Proborhyaena_gigantea	extinct
Procladosictis	extinct
Procladosictis_anomala	extinct
Progarzonia_notostylopense	extinct
Pseudhalmarhiphus_guaraniticus	extinct
Pseudolops_princeps	extinct
Punadolops_alonsoi	extinct
Riolestes_capricornicus	extinct
Sallacyon_hoffstetteri	extinct
Sasawatsu	extinct
Sasawatsu_mahaynaq	extinct
Trelewthentes_rothi	extinct
Wamradolops	extinct
Wamradolops_tsullodon	extinct
Woodburnodon	extinct
