Species	Status
?_Eocoleophorus_glyptodontoides	extinct
Abderites	extinct
aff._Eosallamys_sp.	extinct
aff._Tarapotomys	extinct
aff._Tarapotomys_sp.	extinct
Baguatherium_jaureguii	extinct
Balsayacuy	extinct
Balsayacuy_huallagaensis	extinct
Cachiyacuy_cf._contamanensis	extinct
Cachiyacuy_cf._kummeli	extinct
Cachiyacuy_contamanensis	extinct
Cachiyacuy_kummeli	extinct
Cachiyacuy_sp.	extinct
Canaanimico_amazonensis	extinct
Canaanimys_maquiensis	extinct
Canaanimys_sp.	extinct
Carodnia_inexpectans	extinct
cf._Cachiyacuy_kummeli	extinct
cf._Eoespina	extinct
cf._Pozomys_ucayaliensis	extinct
cf._Tarapotomys	extinct
cf._Yuruatherium	extinct
Chachapoyamys_cf._kathetos	extinct
Chachapoyamys_kathetos	extinct
Chambiramys_shipiborum	extinct
Chambiramys_sylvaticus	extinct
Colombitherium_tolimense	extinct
Deseadomys_arambourgi	extinct
Eobranisamys	extinct
Eobranisamys_javierpradoi	extinct
Eobranisamys_riverai	extinct
Eobranisamys_romeropittmanae	extinct
Eodelphomys_almeidacomposi	extinct
Eoespina	extinct
Eoespina_woodi	extinct
Eoincamys	extinct
Eoincamys_aff._pascuali	extinct
Eoincamys_ameghinoi	extinct
Eoincamys_cf._pascuali	extinct
Eoincamys_parvus	extinct
Eoincamys_pascuali	extinct
Eoincamys_sp.	extinct
Eoincamys_valverdei	extinct
Eopicure_kraglievichi	extinct
Eopululo_sp.	extinct
Eopululo_wigmorei	extinct
Eosachacui_lavocati	extinct
Eosallamys_paulacoutoi	extinct
Eosallamys_simpsoni	extinct
Griphodon	extinct
Griphodon_peruvianus	extinct
Hondonadia_pittmanae	extinct
Incadolops_ucayali	extinct
Kichkasteiromys_raimondii	extinct
Kirutherium_paititiensis	extinct
Kiruwamaq_chisu	extinct
Loretomys_minutus	extinct
Mayomys_confluens	extinct
Palaeosteiromys_amazonensis	extinct
Parastegosimpsonia	extinct
Parastegosimpsonia_peruana	extinct
Patene_campbelli	extinct
Perulestes	extinct
Perulestes_cardichi	extinct
Perulestes_fraileyi	extinct
Perupithecus_ucayaliensis	extinct
Plesiosteiromys_newelli	extinct
Pozomys	extinct
Pozomys_ucayaliensis	extinct
Proargyrolagus	extinct
Proticia_venezuelensis	extinct
Pseudostegotherium_chubutanum	extinct
Rumiodon	extinct
Rumiodon_inti	extinct
Sasawatsu	extinct
Sasawatsu_mahaynaq	extinct
Scleromys_praecursor	extinct
Selvamys_paulus	extinct
Shapajamys_labocensis	extinct
Shapajamys_minor	extinct
Stegosimpsonia	extinct
Steiromys	extinct
Tarapotomys_mayoensis	extinct
Tarapotomys_subandinus	extinct
Trigonostylops	extinct
Ucayalimys_amahuacensis	extinct
Ucayalimys_crassidens	extinct
Ucayalipithecus_perdita	extinct
Vucetichimys_pretrilophodonica	extinct
Wamradolops	extinct
Wamradolops_tsullodon	extinct
Wirunodon_chanku	extinct
Xenastrapotherium_chaparralensis	extinct
Yuruatherium_tropicalis	extinct
