Species	Status
?_Eocoleophorus	extinct
Acdestodon	extinct
Acdestoides	extinct
Amphidolops	extinct
Antawallathentes	extinct
Apeirodon	extinct
Austropediomys	extinct
Bardalestes	extinct
Bergqvistherium	extinct
Bobbschaefferia	extinct
Bonapartherium	extinct
Branisella	extinct
Canaanimico	extinct
Canchadelphys	extinct
Carlothentes	extinct
Caroloameghinia	extinct
Carolocoutoia	extinct
Carolopaulacoutoia	extinct
Chulpasia	extinct
Clypeotherium	extinct
Coloradolops	extinct
Coona	extinct
Derorhynchus	extinct
Didelphopsis	extinct
Diogenesia	extinct
Epidolops	extinct
Epiklohnia	extinct
Eudolops	extinct
Evolestes	extinct
Fieratherium	extinct
Gashternia	extinct
Gaylordia	extinct
Glyptatelus	extinct
Guggenheimia	extinct
Hondonadia	extinct
Hypodolops	extinct
Incadolops	extinct
Itaboraidelphys	extinct
Kiruwamaq	extinct
Klohnia	extinct
Kramadolops	extinct
Lomaphorelus	extinct
Marmosopsis	extinct
Minusculodelphis	extinct
Monodelphopsis	extinct
Palaeopeltis	extinct
Palaeothentes	extinct
Palangania	extinct
Parabderites	extinct
Pauladelphys	extinct
Peltephilus	extinct
Peradectes	extinct
Periakros	extinct
Periprotodidelphis	extinct
Perupithecus	extinct
Polydolops	extinct
Praedens	extinct
Prepidolops	extinct
Proargyrolagus	extinct
Procaroloameghinia	extinct
Proeocoleophorus	extinct
Protodidelphis	extinct
Prozaedyus	extinct
Pseudolops	extinct
Punadolops	extinct
Reigia	extinct
Riolestes	extinct
Ronwolffia	extinct
Rosendolops	extinct
Rumiodon	extinct
Saltatherium	extinct
Sasawatsu	extinct
Sillustania	extinct
Similhapalops	extinct
Stenotatus	extinct
tegotherium	extinct
Trelewthentes	extinct
Ucayalipithecus	extinct
Vassallia	extinct
Wamradolops	extinct
Woodburnodon	extinct
Yuruatherium	extinct
Zeusdelphys	extinct
