Species	Status	min_age	max_age
Astraponotus	extinct	38	38.2
Astraponotus	extinct	38	38.2
Astraponotus	extinct	33.9	41.2
Astraponotus	extinct	33.9	41.2
Astraponotus	extinct	33.9	41.2
Astraponotus	extinct	48	50
Astraponotus	extinct	38	38.2
Astraponotus	extinct	38	38.2
Astraponotus	extinct	38	38.2
Astraponotus	extinct	38	38.2
Liarthrus	extinct	24.2	29
Liarthrus	extinct	24.2	29
Maddenia	extinct	30.617	30.77
Parastrapotherium	extinct	24.2	29
Parastrapotherium	extinct	24.2	29
Parastrapotherium	extinct	26.3	29
Parastrapotherium	extinct	24.2	29
Parastrapotherium	extinct	24.2	29
Parastrapotherium	extinct	24.2	21
Parastrapotherium	extinct	26.3	29
Parastrapotherium	extinct	26.3	29
Scaglia	extinct	48	50
Scaglia	extinct	44	45
Uruguaytherium	extinct	24.2	29
Xenastrapotherium	extinct	24.2	29.4
Albertogaudrya	extinct	41.3	47.8
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	41.3	47.8
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	47.8	52.5
Albertogaudrya	extinct	38	38.2
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	48	50
Tetragonostylops	extinct	44	45
Tetragonostylops	extinct	48.6	55.8
Tetragonostylops	extinct	52	53
Trigonostylops	extinct	50	51
Trigonostylops	extinct	50	51
Trigonostylops	extinct	50	51
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	48	50
Trigonostylops	extinct	36	42
Trigonostylops	extinct	47.8	56
Trigonostylops	extinct	48	50
Trigonostylops	extinct	33.9	41.2
Trigonostylops	extinct	48.6	55.8
Trigonostylops	extinct	37.71	47.8
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	41.3	47.8
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	47.8
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	44	45
Trigonostylops	extinct	48	50
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	48	50
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	48	50
Adiantoides	extinct	44	45
Adiantoides	extinct	44	45
Indalecia	extinct	46.2	47.8
Proadiantus	extinct	24.2	29
Proadiantus	extinct	24.2	29
Proadiantus	extinct	24.2	29
Thadanius	extinct	24.2	29
Thadanius	extinct	24.5	26
Tricoelodus	extinct	24.2	29
Tricoelodus	extinct	24.2	29
Tricoelodus	extinct	24.2	29
Tricoelodus	extinct	24.5	26
Amilnedwardsia	extinct	44	45
Coniopternium	extinct	24.2	29
Coniopternium	extinct	24.2	29
Coniopternium	extinct	24.2	29
Coniopternium	extinct	24.2	29
Coniopternium	extinct	24.5	26
Cramauchenia	extinct	24.2	29
Ernestohaeckelia	extinct	48	50
Ernestohaeckelia	extinct	48	50
Notodiaphorus	extinct	24.2	29
Rutimeyeria	extinct	38	41.2
Victorlemoineia	extinct	48	50
Victorlemoineia	extinct	50	51
Victorlemoineia	extinct	41.3	47.8
Victorlemoineia	extinct	47.8	56
Victorlemoineia	extinct	47.8	56
Victorlemoineia	extinct	41.3	47.8
Victorlemoineia	extinct	48	50
Victorlemoineia	extinct	48	50
Victorlemoineia	extinct	52	53
Anisolambda	extinct	50	51
Anisolambda	extinct	47.8	56
Anisolambda	extinct	48	50
Anisolambda	extinct	41.3	47.8
Anisolambda	extinct	44	45
Anisolambda	extinct	38	41.2
Anisolambda	extinct	44	45
Anisolambda	extinct	48	50
Anisolambda	extinct	48	50
Anisolambda	extinct	41.3	47.8
Anisolambda	extinct	48	50
Anisolambda	extinct	48	50
Anisolambda	extinct	38	41.2
Deuterotherium	extinct	24.2	29
Deuterotherium	extinct	24.2	29
Deuterotherium	extinct	24.2	29
Guilielmofloweria	extinct	38	41.2
Heteroglyphis	extinct	38	38.2
Lambdaconus	extinct	48	50
Lambdaconus	extinct	24.2	29
Paranisolambda	extinct	52	53
Phoradiadius	extinct	44	45
Polyacrodon	extinct	38	38.2
Polyacrodon	extinct	38	38.2
Polyacrodon	extinct	38	38.2
Polyacrodon	extinct	38	38.2
Polyacrodon	extinct	38	38.2
Polymorphis	extinct	38	38.2
Polymorphis	extinct	38	38.2
Polymorphis	extinct	38	38.2
Polymorphis	extinct	38	38.2
Promylophis	extinct	24.2	29.4
Proterotherium	extinct	24.2	29
Protheosodon	extinct	24.2	29
Ricardolydekkeria	extinct	50	51
Ricardolydekkeria	extinct	48	50
Ricardolydekkeria	extinct	48	50
Ricardolydekkeria	extinct	38	41.2
Ricardolydekkeria	extinct	48	50
Ricardolydekkeria	extinct	38	41.2
Xesmodon	extinct	38	38.2
Xesmodon	extinct	38	38.2
Asmithwoodwardia	extinct	41.3	47.8
Asmithwoodwardia	extinct	47.8	56
Asmithwoodwardia	extinct	52	53
Asmithwoodwardia	extinct	41.3	47.8
Asmithwoodwardia	extinct	41.3	47.8
Asmithwoodwardia	extinct	47.8	47.89
Asmithwoodwardia	extinct	38	47.8
Asmithwoodwardia	extinct	44	45
Asmithwoodwardia	extinct	48	50
Miguelsoria	extinct	52	53
Protolipterna	extinct	52	53
Sparnotheriodon	extinct	44	45
Eolicaphrium	extinct	48	50
Isotypotherium	extinct	48	50
Acoelodus	extinct	48	50
