Species	Status	min_age	max_age
Prozaedius_impressus	extinct	24.2	29.4
Prozaedius_planus	extinct	24.2	29.4
Prozaedyus	extinct	24.2	33.6
Prozaedyus aff. impressus	extinct	24.2	29.4
Prozaedyus aff. impressus	extinct	24.2	29.4
Prozaedyus aff. impressus	extinct	24.2	29.4
Stenotatus	extinct	24.2	29
Stenotatus	extinct	31.3	33.6
Stenotatus	extinct	24.2	29
Stenotatus	extinct	24.2	29
Stenotatus	extinct	24.2	29
Stenotatus	extinct	24.2	29.4
Stenotatus aff. nornatus	extinct	24.2	29
Stenotatus ornatus	extinct	24.2	29
Archaeutatus	extinct	31.3	29.4
Archaeutatus	extinct	24.2	29.4
Archaeutatus_malaspinensis	extinct	31.3	33.6
Archaeutatus_malaspinensis	extinct	24.2	29.4
Archaeutatus_malaspinensis	extinct	24.2	29.4
Astegotherium	extinct	31.3	33.6
Astegotherium	extinct	31.3	33.6
Astegotherium sp. nov.	extinct	47.8	56
Barrancatatus_maddeni	extinct	31.3	33.6
Barrancatatus_rigidus	extinct	31.3	33.6
Barrancatatus_rigidus	extinct	31.3	33.6
Barrancatatus_rigidus	extinct	38	38.2
Barrancatatus_rigidus	extinct	31.3	33.6
Barrancatatus_tinguiririquensis	extinct	31.3	33.6
Kuntinaru_boliviensis	extinct	24.2	29.4
Lumbreratherium_oblitum	extinct	48	46
Machlydotherium	extinct	31.3	33.6
Machlydotherium	extinct	24.2	29.4
Machlydotherium	extinct	39	41.7
Machlydotherium_asperum	extinct	38	38.2
Machlydotherium_ater	extinct	24.2	33.6
Machlydotherium_ater	extinct	38	38.2
Machlydotherium_sparsum	extinct	38	38.2
Yuruatherium tropicalis	extinct	38	38.2
Mazzoniphractus_ingens	extinct	38	38.2
Meteutatus	extinct	24.2	29.4
Meteutatus	extinct	39	41.7
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	31.3	33.6
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	31.3	33.6
Meteutatus aff. lagenaformis	extinct	31.3	33.6
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus aff. lagenaformis	extinct	24.2	29.4
Meteutatus_lagenaformis	extinct	24.2	29.4
Meteutatus_percarinatus	extinct	24.2	33.6
Meteutatus_percarinatus	extinct	38	38.2
Meteutatus_rigidus	extinct	31.3	33.6
Meteutatus_rigidus	extinct	31.3	33.6
Meteutatus_rigidus	extinct	31.3	33.6
Meteutatus_rigidus	extinct	24.2	29.4
Meteutatus_tinguiririquensis	extinct	31.3	33.6
Sadypus_confluens	extinct	38	38.2
Sadypus_confluens	extinct	31.3	33.6
Sadypus_minutus	extinct	31.3	33.6
Sadypus_tortuosus	extinct	31.3	33.6
Parastegosimpsonia	extinct	31.3	37.2
Parastegosimpsonia_peruana	extinct	31.3	33.6
Parastegosimpsonia_peruana	extinct	31.3	33.6
Parastegosimpsonia_peruana	extinct	31.3	33.6
Parutaetus	extinct	39	41.7
Parutaetus_chicoensis	extinct	38	38.2
Parutaetus_chicoensis	extinct	38	38.2
Parutaetus_chilensis	extinct	31.3	33.6
Parutaetus_chilensis	extinct	31.3	33.6
