Species	Status	min_age	max_age
Astraponotus	extinct	33.9	41.2
Astraponotus	extinct	33.9	41.2
Astraponotus	extinct	33.9	41.2
Astraponotus	extinct	37.71	47.8
Astraponotus	extinct	37.71	47.8
Astraponotus_assymmetrus	extinct	48	50
Astraponotus_dicksoni	extinct	37.71	47.8
Astraponotus_dilatatus	extinct	37.71	47.8
Astraponotus_holdichi	extinct	37.71	47.8
Astraponotus_thompsoni	extinct	37.71	47.8
Liarthrus_copei	extinct	23.03	27.82
Liarthrus_copei	extinct	23.03	27.82
Maddenia_lapidaria	extinct	30.617	30.77
Parastrapotherium	extinct	23.03	27.82
Parastrapotherium	extinct	23.03	27.82
Parastrapotherium_holmbergi	extinct	24.2	21
Parastrapotherium_holmbergi	extinct	23.03	27.82
Parastrapotherium_holmbergi	extinct	23.03	27.82
Parastrapotherium_holmbergi	extinct	23.03	27.82
Parastrapotherium_martiale	extinct	23.03	27.82
Parastrapotherium_voghti	extinct	23.03	27.82
Scaglia_kraglievichorum	extinct	48	50
Scaglia_kraglievichorum	extinct	37.71	47.8
Uruguaytherium_beaulieui	extinct	23.03	27.82
Albertogaudrya	extinct	41.3	47.8
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	41.3	47.8
Albertogaudrya	extinct	38	41.2
Albertogaudrya_carahuasensis	extinct	47.8	52.5
Albertogaudrya_robusta	extinct	37.71	47.8
Albertogaudrya_unica	extinct	48	50
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	48	50
Albertogaudrya_unica	extinct	48	50
Albertogaudrya_unica	extinct	48	50
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	48	50
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_unica	extinct	48	50
Tetragonostylops_apthomasi	extinct	37.71	47.8
Tetragonostylops_apthomasi	extinct	48.6	55.8
Tetragonostylops_apthomasi	extinct	47.8	56
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	48	50
Trigonostylops	extinct	36	42
Trigonostylops	extinct	47.8	56
Trigonostylops	extinct	48	50
Trigonostylops	extinct	33.9	41.2
Trigonostylops	extinct	47.8	56
Trigonostylops	extinct	47.8	56
Trigonostylops	extinct	47.8	56
Trigonostylops	extinct	48.6	55.8
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_wortmani	extinct	38	41.2
